RunID,ExperimentID,FamilyID,PairID,Variant,FindingID,Title,SourceCSV,SourceRowKey,SourceCSV_SHA256,Metric,Aggregation,ObservedValue,SourceRows,SourceRowsPass,ExecutionBackend,ApproximationMode,TruthQualified,Status
pdsch_dlsch_impact_20260726T142845Z,DL-F01-E01,F01,DL-F01,baseline,DL-001,Declared production matrix execution,pdsch_declared_coverage_results.csv,COV-001,fc2938bb04901b8cd77552d96e0a23d98169067b2d0b44e0a86a93f82a0dd274,ProductionTXExecuted,truth_fraction,0.42857,7,1,verified_production_pdsch_dlsch_artifacts,comparative_component_campaign_not_waveform_truth,0,PASS
pdsch_dlsch_impact_20260726T142845Z,DL-F01-E02,F01,DL-F01,treatment,DL-001,Declared production matrix execution,pdsch_declared_coverage_results.csv,COV-008,fc2938bb04901b8cd77552d96e0a23d98169067b2d0b44e0a86a93f82a0dd274,ProductionTXExecuted,truth_fraction,0.42857,7,1,verified_production_pdsch_dlsch_artifacts,comparative_component_campaign_not_waveform_truth,0,PASS
pdsch_dlsch_impact_20260726T142845Z,DL-F01-E03,F01,DL-F01,stress,DL-001,Declared production matrix execution,pdsch_declared_coverage_results.csv,COV-016,fc2938bb04901b8cd77552d96e0a23d98169067b2d0b44e0a86a93f82a0dd274,ProductionTXExecuted,truth_fraction,0.42857,7,1,verified_production_pdsch_dlsch_artifacts,comparative_component_campaign_not_waveform_truth,0,PASS
pdsch_dlsch_impact_20260726T142845Z,DL-F02-E01,F02,DL-F02,baseline,DL-002,Frequency-selective PRG precoding,pdsch_precoding_application.csv,PREC-001,065b173015fe55a5725bbd46c3e0b87dc7d2d6a714def93d22080f435eccc66d,PowerRelativeError,numeric_mean,0,1,1,verified_production_pdsch_dlsch_artifacts,comparative_component_campaign_not_waveform_truth,0,PASS
pdsch_dlsch_impact_20260726T142845Z,DL-F02-E02,F02,DL-F02,treatment,DL-002,Frequency-selective PRG precoding,pdsch_precoding_application.csv,PREC-008,065b173015fe55a5725bbd46c3e0b87dc7d2d6a714def93d22080f435eccc66d,PowerRelativeError,numeric_mean,6.854e-17,12,1,verified_production_pdsch_dlsch_artifacts,comparative_component_campaign_not_waveform_truth,0,PASS
pdsch_dlsch_impact_20260726T142845Z,DL-F02-E03,F02,DL-F02,stress,DL-002,Frequency-selective PRG precoding,pdsch_precoding_application.csv,PREC-009,065b173015fe55a5725bbd46c3e0b87dc7d2d6a714def93d22080f435eccc66d,PowerRelativeError,numeric_mean,9.5619e-16,1,1,verified_production_pdsch_dlsch_artifacts,comparative_component_campaign_not_waveform_truth,0,PASS
pdsch_dlsch_impact_20260726T142845Z,DL-F03-E01,F03,DL-F03,baseline,DL-003,Preserved DM-RS port configuration,pdsch_dmrs_matrix.csv,DMRS-005,6c3d5b92cbc3c6b8baef1a1f3b39223ba504504613dccb577993941b32281ed2,DMRSRECount,numeric_mean,4,1,1,verified_production_pdsch_dlsch_artifacts,comparative_component_campaign_not_waveform_truth,0,PASS
pdsch_dlsch_impact_20260726T142845Z,DL-F03-E02,F03,DL-F03,treatment,DL-003,Preserved DM-RS port configuration,pdsch_dmrs_matrix.csv,DMRS-026,6c3d5b92cbc3c6b8baef1a1f3b39223ba504504613dccb577993941b32281ed2,DMRSRECount,numeric_mean,12,1,1,verified_production_pdsch_dlsch_artifacts,comparative_component_campaign_not_waveform_truth,0,PASS
pdsch_dlsch_impact_20260726T142845Z,DL-F03-E03,F03,DL-F03,stress,DL-003,Preserved DM-RS port configuration,pdsch_dmrs_matrix.csv,DMRS-174,6c3d5b92cbc3c6b8baef1a1f3b39223ba504504613dccb577993941b32281ed2,DMRSRECount,numeric_mean,24,1,1,verified_production_pdsch_dlsch_artifacts,comparative_component_campaign_not_waveform_truth,0,PASS
pdsch_dlsch_impact_20260726T142845Z,DL-F04-E01,F04,DL-F04,baseline,DL-004,Exact DM-RS mapping combinations,pdsch_dmrs_matrix.csv,DMRS-005,6c3d5b92cbc3c6b8baef1a1f3b39223ba504504613dccb577993941b32281ed2,IndexMismatchCount,numeric_mean,0,1,1,verified_production_pdsch_dlsch_artifacts,comparative_component_campaign_not_waveform_truth,0,PASS
pdsch_dlsch_impact_20260726T142845Z,DL-F04-E02,F04,DL-F04,treatment,DL-004,Exact DM-RS mapping combinations,pdsch_dmrs_matrix.csv,DMRS-073,6c3d5b92cbc3c6b8baef1a1f3b39223ba504504613dccb577993941b32281ed2,IndexMismatchCount,numeric_mean,0,1,1,verified_production_pdsch_dlsch_artifacts,comparative_component_campaign_not_waveform_truth,0,PASS
pdsch_dlsch_impact_20260726T142845Z,DL-F04-E03,F04,DL-F04,stress,DL-004,Exact DM-RS mapping combinations,pdsch_dmrs_matrix.csv,DMRS-174,6c3d5b92cbc3c6b8baef1a1f3b39223ba504504613dccb577993941b32281ed2,IndexMismatchCount,numeric_mean,0,1,1,verified_production_pdsch_dlsch_artifacts,comparative_component_campaign_not_waveform_truth,0,PASS
pdsch_dlsch_impact_20260726T142845Z,DL-F05-E01,F05,DL-F05,baseline,DL-005,Immutable precoder application,pdsch_precoding_application.csv,PREC-001,065b173015fe55a5725bbd46c3e0b87dc7d2d6a714def93d22080f435eccc66d,TXApplicationCount,numeric_mean,1,1,1,verified_production_pdsch_dlsch_artifacts,comparative_component_campaign_not_waveform_truth,0,PASS
pdsch_dlsch_impact_20260726T142845Z,DL-F05-E02,F05,DL-F05,treatment,DL-005,Immutable precoder application,pdsch_precoding_application.csv,PREC-005,065b173015fe55a5725bbd46c3e0b87dc7d2d6a714def93d22080f435eccc66d,TXApplicationCount,numeric_mean,1,4,1,verified_production_pdsch_dlsch_artifacts,comparative_component_campaign_not_waveform_truth,0,PASS
pdsch_dlsch_impact_20260726T142845Z,DL-F05-E03,F05,DL-F05,stress,DL-005,Immutable precoder application,pdsch_precoding_application.csv,PREC-009,065b173015fe55a5725bbd46c3e0b87dc7d2d6a714def93d22080f435eccc66d,TXApplicationCount,numeric_mean,1,1,1,verified_production_pdsch_dlsch_artifacts,comparative_component_campaign_not_waveform_truth,0,PASS
