RunID,ExperimentID,FamilyID,Variant,Metric,ObservedValue,SourceRows,SourceCSV_SHA256,Status
pdsch_dlsch_impact_20260726T142845Z,DL-F06-E01,F06,baseline,G,168,1,95f1184cb7ac37d5d5e9dd61688d2c0056943c59396c78e3b0f650b207b73bbc,PASS
pdsch_dlsch_impact_20260726T142845Z,DL-F06-E02,F06,treatment,G,324,1,95f1184cb7ac37d5d5e9dd61688d2c0056943c59396c78e3b0f650b207b73bbc,PASS
pdsch_dlsch_impact_20260726T142845Z,DL-F06-E03,F06,stress,G,69696,1,95f1184cb7ac37d5d5e9dd61688d2c0056943c59396c78e3b0f650b207b73bbc,PASS
