relative_path,extension,bytes,sha256,decode_ok,format,width_px,height_px,mode,grayscale_min,grayscale_max,grayscale_stddev,blank_or_constant,issue
analytics/image/contract__random-access-prach-analytics__retry-count-distribution.png,.png,39106,a8539ce89ad728e2e73db74ab383339744065d26a4773edd4ae101790eb2ffcd,True,PNG,1280,720,RGBA,23,255,49.925656098931704,False,
analytics/image/contract__random-access-prach-analytics__timing-advance-distribution.png,.png,40770,f1d9819fce643251f342dd4c9d24ae509c562c96e46fcf4c14f7c03afef0bfcf,True,PNG,1280,720,RGBA,23,255,50.209199557062547,False,
analytics/image/contract__resource-grid-re-occupancy-analytics__csi-rs-map.png,.png,59386,9ead15f9d36d05598fe9e03291f66997ebb5eb3986c9db719b74d6ed264cda4a,True,PNG,1280,720,RGBA,23,255,49.576567811606331,False,
analytics/image/contract__resource-grid-re-occupancy-analytics__dmrs-ptrs-occupancy-map.png,.png,47817,f0e699875a4321ce9fae68dbad7c86ad937f0ece0624f01c094d84e1f79ec2a1,True,PNG,1280,720,RGBA,23,255,51.963510326031965,False,
analytics/image/contract__resource-grid-re-occupancy-analytics__pbch-ssb-map.png,.png,48349,14e89fc725e9b8313aa5201e604f27fe979559fd4534007d1b990e4e62c45ec5,True,PNG,1280,720,RGBA,23,255,58.408288679411378,False,
analytics/image/contract__resource-grid-re-occupancy-analytics__pdcch-map.png,.png,49496,9a759ab03e41ceb2706485be604722b8dd8f46a67661a3c3c875629d54cf120d,True,PNG,1280,720,RGBA,23,255,49.731730739429409,False,
analytics/image/contract__resource-grid-re-occupancy-analytics__pdsch-map.png,.png,29683,21b1fb46b432d180373df7d6c97b35a2873ae14d9c3964f99e6fa934b7644dc5,True,PNG,1180,760,RGBA,23,255,51.977797686619056,False,
analytics/image/contract__resource-grid-re-occupancy-analytics__prach-opportunity-map.png,.png,42852,dfc2a459e380b9640d5698c78a0321a32af0e84de192c0ecf5b9f119ccb39e25,True,PNG,1280,720,RGBA,23,255,50.099892477549027,False,
analytics/image/contract__resource-grid-re-occupancy-analytics__prb-heatmap.png,.png,30089,888d833c0f01e06abe601aa225889fdbcf7b8338aa5f23273de77d6bfca45560,True,PNG,1180,760,RGBA,23,255,52.053645956860287,False,
analytics/image/contract__resource-grid-re-occupancy-analytics__pucch-map.png,.png,49681,50d0862b2cec1ab83e73ee2f989e6e7bc7debfbef980c82e2cf16b8fcbe9f345,True,PNG,1280,720,RGBA,23,255,57.071726744344609,False,
analytics/image/contract__resource-grid-re-occupancy-analytics__pusch-map.png,.png,28393,6d14887f13cb5ad1dc1cfe23347692542c744dcf82b616118afb4dedebee423c,True,PNG,1180,760,RGBA,23,255,58.397862144790906,False,
analytics/image/contract__resource-grid-re-occupancy-analytics__re-occupancy-heatmap.png,.png,45657,a848d4543d4fd79af2b471591a3837c0e3dc56ed33c4728b49e8809719a86a3e,True,PNG,1180,760,RGBA,23,255,51.072491351873715,False,
analytics/image/contract__resource-grid-re-occupancy-analytics__srs-map.png,.png,52338,372a0dacf1ddfbaa04d95e0fad4e4d187eed0b00b2160486dccdf3caf0834d60,True,PNG,1280,720,RGBA,23,255,49.642436444913983,False,
analytics/image/contract__runtime-compute-complexity-parallelism-analytics__block-execution-time.png,.png,43461,80899f71b00aef218fd7708074dbc985b6864d13f982e0a931dcc562017ed49f,True,PNG,1280,720,RGBA,23,255,27.631028967204077,False,
analytics/image/contract__runtime-compute-complexity-parallelism-analytics__compute-latency.png,.png,50445,7d7f141c2f273bcba51161a47bb98a8f580bc51c237826ec4d0909b2a96f5082,True,PNG,1280,720,RGBA,23,255,24.223743766488695,False,
analytics/image/contract__runtime-compute-complexity-parallelism-analytics__decode-latency.png,.png,53398,ea3b5ce6f10e51fd654411826b1cdbbe10f04a4691a206c99f71d1d09ac4745c,True,PNG,1280,720,RGBA,23,255,24.079182257030357,False,
