RunID,ExperimentID,FamilyID,Channel,SNRdB,DopplerHz,CFOHz,TimingOffsetSamples,PhaseNoiseLevel,DetectionProbability,CFOErrorHz,TimingErrorSamples,Status,ExecutionBackend,ApproximationMode,EvidenceClass
PDCCH_IMPACT_R18,PDCCH-EXP-0001,F01,AWGN,0,0,0,0,0,1,0,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,PDCCH-EXP-0002,F01,AWGN,0,0,0,0,1,1,0,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,PDCCH-EXP-0003,F01,TDL-A,2,70,0,0,2,1,0,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,PDCCH-EXP-0004,F01,TDL-A,2,70,0,0,3,1,0,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,PDCCH-EXP-0005,F01,TDL-C,4,300,0,0,0,1,0,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,PDCCH-EXP-0006,F01,TDL-C,4,300,0,0,1,1,0,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,PDCCH-EXP-0007,F01,CDL-A,6,500,0,0,2,1,0,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,PDCCH-EXP-0008,F01,CDL-A,6,500,0,0,3,1,0,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,PDCCH-EXP-0009,F01,AWGN,-2,0,0,0,0,1,0,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,PDCCH-EXP-0010,F01,AWGN,-2,0,0,0,1,1,0,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,PDCCH-EXP-0011,F01,TDL-C,8,300,0,0,2,1,0,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,PDCCH-EXP-0012,F01,TDL-C,8,300,0,0,3,1,0,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,PDCCH-EXP-0013,F02,AWGN,0,0,0,0,0,1,0,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,PDCCH-EXP-0014,F02,AWGN,0,0,0,0,1,1,0,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,PDCCH-EXP-0015,F02,TDL-A,2,70,0,0,2,1,0,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,PDCCH-EXP-0016,F02,TDL-A,2,70,0,0,3,1,0,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,PDCCH-EXP-0017,F02,TDL-C,4,300,0,0,0,1,0,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,PDCCH-EXP-0018,F02,TDL-C,4,300,0,0,1,1,0,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,PDCCH-EXP-0019,F02,CDL-A,6,500,0,0,2,1,0,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,PDCCH-EXP-0020,F02,CDL-A,6,500,0,0,3,1,0,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
