RunID,FamilyID,PairID,OperatingPointKey,Metric,BaselineValue,TreatmentValue,AbsoluteEffect,RelativeEffect,CILower,CIUpper,PValue,AdjustedPValue,EffectSize,Conclusion,Status,ExecutionBackend,ApproximationMode,EvidenceClass
PDCCH_IMPACT_R18,F01,F01-P01,F01-P01:paired,DetectionProbability,1,1,0,0,0,0,1,1,0,equivalent_within_predeclared_margin,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,F02,F02-P01,F02-P01:paired,DetectionProbability,1,1,0,0,0,0,1,1,0,equivalent_within_predeclared_margin,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,F03,F03-P01,F03-P01:paired,DetectionProbability,1,1,0,0,0,0,1,1,0,equivalent_within_predeclared_margin,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,F04,F04-P01,F04-P01:paired,DetectionProbability,1,1,0,0,0,0,1,1,0,equivalent_within_predeclared_margin,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,F05,F05-P01,F05-P01:paired,DetectionProbability,1,1,0,0,0,0,1,1,0,equivalent_within_predeclared_margin,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,F06,F06-P01,F06-P01:paired,DetectionProbability,1,1,0,0,0,0,1,1,0,equivalent_within_predeclared_margin,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,F07,F07-P01,F07-P01:paired,DetectionProbability,1,1,0,0,0,0,1,1,0,equivalent_within_predeclared_margin,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,F08,F08-P01,F08-P01:paired,DetectionProbability,1,1,0,0,0,0,1,1,0,equivalent_within_predeclared_margin,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,F09,F09-P01,F09-P01:paired,DetectionProbability,1,1,0,0,0,0,1,1,0,equivalent_within_predeclared_margin,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,F10,F10-P01,F10-P01:paired,DetectionProbability,1,1,0,0,0,0,1,1,0,equivalent_within_predeclared_margin,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,F11,F11-P01,F11-P01:paired,DetectionProbability,1,1,0,0,0,0,1,1,0,equivalent_within_predeclared_margin,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,F12,F12-P01,F12-P01:paired,DetectionProbability,1,1,0,0,0,0,1,1,0,equivalent_within_predeclared_margin,PASS,analytical_component_evaluation,component_proxy,study_not_truth
