RunID,ExperimentID,FamilyID,MutationType,ConfiguredOracleChanged,DecodedBitsChanged,AssignmentDigestChanged,WaveformDigestChanged,UnexpectedGrantCount,Status,ExecutionBackend,ApproximationMode,EvidenceClass
PDCCH_IMPACT_R18,PDCCH-EXP-0001,F01,configured_oracle,true,false,false,false,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,PDCCH-EXP-0002,F01,baseline,false,false,false,false,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,PDCCH-EXP-0003,F01,decoded_bits,false,true,true,true,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,PDCCH-EXP-0004,F01,configured_oracle,true,false,false,false,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,PDCCH-EXP-0005,F01,baseline,false,false,false,false,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,PDCCH-EXP-0006,F01,decoded_bits,false,true,true,true,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,PDCCH-EXP-0007,F01,configured_oracle,true,false,false,false,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,PDCCH-EXP-0008,F01,baseline,false,false,false,false,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,PDCCH-EXP-0009,F01,decoded_bits,false,true,true,true,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,PDCCH-EXP-0010,F01,configured_oracle,true,false,false,false,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
