RunID,ExperimentID,FamilyID,RNTITypeTx,RNTITypeHypothesis,SignalPresent,Trials,FalseAlarms,FalseAlarmProbability,FalseAlarmCIUpper,Status,ExecutionBackend,ApproximationMode,EvidenceClass
PDCCH_IMPACT_R18,PDCCH-EXP-0001,F01,C-RNTI,C-RNTI,true,1000,0,0,0.003834,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,PDCCH-EXP-0002,F01,C-RNTI,CS-RNTI,false,1000,0,0,0.003834,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,PDCCH-EXP-0003,F01,C-RNTI,MCS-C-RNTI,true,1000,0,0,0.003834,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,PDCCH-EXP-0004,F01,C-RNTI,TC-RNTI,false,1000,0,0,0.003834,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,PDCCH-EXP-0005,F01,C-RNTI,SI-RNTI,true,1000,0,0,0.003834,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,PDCCH-EXP-0006,F01,C-RNTI,P-RNTI,false,1000,0,0,0.003834,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,PDCCH-EXP-0007,F01,C-RNTI,RA-RNTI,true,1000,0,0,0.003834,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,PDCCH-EXP-0008,F01,C-RNTI,MsgB-RNTI,false,1000,0,0,0.003834,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,PDCCH-EXP-0009,F01,SI-RNTI,SP-CSI-RNTI,true,1000,0,0,0.003834,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,PDCCH-EXP-0010,F01,SI-RNTI,SFI-RNTI,false,1000,0,0,0.003834,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,PDCCH-EXP-0011,F01,C-RNTI,INT-RNTI,true,1000,0,0,0.003834,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,PDCCH-EXP-0012,F01,C-RNTI,TPC-PUSCH-RNTI,false,1000,0,0,0.003834,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,PDCCH-EXP-0013,F02,C-RNTI,TPC-PUCCH-RNTI,true,1000,0,0,0.003834,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,PDCCH-EXP-0014,F02,C-RNTI,TPC-SRS-RNTI,false,1000,0,0,0.003834,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,PDCCH-EXP-0015,F02,C-RNTI,CI-RNTI,true,1000,0,0,0.003834,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,PDCCH-EXP-0016,F02,C-RNTI,PS-RNTI,false,1000,0,0,0.003834,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,PDCCH-EXP-0017,F02,C-RNTI,PEI-RNTI,true,1000,0,0,0.003834,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,PDCCH-EXP-0018,F02,C-RNTI,G-RNTI,false,1000,0,0,0.003834,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,PDCCH-EXP-0019,F02,C-RNTI,G-CS-RNTI,true,1000,0,0,0.003834,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,PDCCH-EXP-0020,F02,C-RNTI,MCCH-RNTI,false,1000,0,0,0.003834,PASS,analytical_component_evaluation,component_proxy,study_not_truth
