ImageFile,SourceCSV,Width,Height,AxesCount,SeriesCount,FinitePointCount,ExpectedTitleToken,ActualTitle,ExpectedXLabel,ActualXLabel,ExpectedYLabel,ActualYLabel,SourceCSV_SHA256,PNG_SHA256,Status
pdcch_impact_payload_size.png,pdcch_impact_dci_schema.csv,1200,760,1,2,10,DCI payload size,DCI payload size — contracted evidence,BWP size (PRB),BWP size (PRB),Payload bits,Payload bits,96d1039575011f584db648f794e93a7df07b572de7f793b522722843b0acd6c9,3773db58cf900d50e8e20bee39d252cdcb1460a437fdb3635b8340855f10e970,PASS
pdcch_impact_alignment.png,pdcch_impact_dci_schema.csv,1200,760,1,2,10,DCI size alignment,DCI size alignment — contracted evidence,DCI context,DCI context,Aligned bits,Aligned bits,96d1039575011f584db648f794e93a7df07b572de7f793b522722843b0acd6c9,b0658822e49bc3daa54c25b323c421251f0f83a6118974ddd324adfa3c71e101,PASS
pdcch_impact_polar_rate.png,pdcch_impact_dci_schema.csv,1200,760,1,2,10,PDCCH polar code rate,PDCCH polar code rate — contracted evidence,Aggregation level,Aggregation level,Code rate,Code rate,96d1039575011f584db648f794e93a7df07b572de7f793b522722843b0acd6c9,d37c2c8ea8685a124e3dead28e32ffcbfc713dd7f60309d01dca213c2dabeb3d,PASS
pdcch_impact_al_detection.png,pdcch_impact_operating_points.csv,1200,760,1,2,10,Aggregation level detection,Aggregation level detection — contracted evidence,SNR (dB),SNR (dB),Detection probability,Detection probability,ab379c71ab042dd2cfce305e40a34d307b4e6e7df1e8cab795351c73d9cd5459,c662aca2b41f55a6bbd39d59b6898b900542fdfdfd016e8dfe8116ed608b9306,PASS
pdcch_impact_candidate_complexity.png,pdcch_impact_runtime.csv,1200,760,1,2,10,Candidate monitoring complexity,Candidate monitoring complexity — contracted evidence,Candidates tested,Candidates tested,Runtime (ms),Runtime (ms),a9cfb58be9609f24f2aca3bdeeb728d6f85d721e9990d00a085d2bba92b4688e,a3ce9931e999cf4b9dfcab4816573f7cdcc8e883925a8563a11a5c4cd734eb03,PASS
pdcch_impact_coreset_duration.png,pdcch_impact_coreset_searchspace.csv,1200,760,1,2,10,CORESET duration impact,CORESET duration impact — contracted evidence,CORESET duration (symbols),CORESET duration (symbols),Detection probability,Detection probability,36b304638c2bd20e050dfd1f3ef4cd0df3d69203f4e9e491c8b9f0816d2ebc81,b91135db862d4d7fc2f6d11b1b464b36ceeeea5a2a34d06ab11b3a9f1366cb82,PASS
pdcch_impact_coreset_bandwidth.png,pdcch_impact_coreset_searchspace.csv,1200,760,1,2,10,CORESET bandwidth impact,CORESET bandwidth impact — contracted evidence,CORESET RBs,CORESET RBs,Detection probability,Detection probability,36b304638c2bd20e050dfd1f3ef4cd0df3d69203f4e9e491c8b9f0816d2ebc81,00d4428d2452b3f4c08bfbf2d253c9aeac1e5d70cd010bbfb5d7888063d291a7,PASS
pdcch_impact_interleaving.png,pdcch_impact_coreset_searchspace.csv,1200,760,1,2,10,CCE REG interleaving,CCE REG interleaving — contracted evidence,Mapping configuration,Mapping configuration,Detection probability,Detection probability,36b304638c2bd20e050dfd1f3ef4cd0df3d69203f4e9e491c8b9f0816d2ebc81,d9df9f259c05f2270339aef69fcdffbd515bc64690e36e89a6b9bd359bb55aee,PASS
pdcch_impact_searchspace_load.png,pdcch_impact_coreset_searchspace.csv,1200,760,1,2,10,Search space monitoring load,Search space monitoring load — contracted evidence,Periodicity (slots),Periodicity (slots),Monitoring load,Monitoring load,36b304638c2bd20e050dfd1f3ef4cd0df3d69203f4e9e491c8b9f0816d2ebc81,5c70dc963f5772f850e980cd939cffec061cedfa23dd5a5d17db7bff34f17de3,PASS
pdcch_impact_candidate_distribution.png,pdcch_impact_coreset_searchspace.csv,1200,760,1,2,10,PDCCH candidate distribution,PDCCH candidate distribution — contracted evidence,First CCE,First CCE,Count,Count,36b304638c2bd20e050dfd1f3ef4cd0df3d69203f4e9e491c8b9f0816d2ebc81,1eb54ae8024650cb4e69a836d61f7a4bbea03bc8d5c8797a682aa845a42df1b3,PASS
pdcch_impact_type0_coreset.png,pdcch_impact_type0.csv,1200,760,1,2,10,Type0 CORESET0,Type0 CORESET0 — contracted evidence,ControlResourceSetZero,ControlResourceSetZero,CORESET offset (RB),CORESET offset (RB),1a6c7efd16a9265969c37b79e0e6590b5e4494e09056f6f918629f99c3bcb397,57db5cbb240f6c4d7f3471252565432b2f1ce1a54408ad796a228d363c769038,PASS
pdcch_impact_type0_monitoring.png,pdcch_impact_type0.csv,1200,760,1,2,10,Type0 monitoring latency,Type0 monitoring latency — contracted evidence,SearchSpaceZero,SearchSpaceZero,Monitoring latency (slots),Monitoring latency (slots),1a6c7efd16a9265969c37b79e0e6590b5e4494e09056f6f918629f99c3bcb397,ed9f09f7c661cc893f03efb04c183431e30dc5ca606792b791b80ba4c93df16a,PASS
pdcch_impact_rnti_false_alarm.png,pdcch_impact_rnti_false_alarm.csv,1200,760,1,2,10,RNTI false alarm,RNTI false alarm — contracted evidence,RNTI hypothesis,RNTI hypothesis,False alarm probability,False alarm probability,4976f785e2f86260869b2e76ab277cfb75ce4d645de474ef0d5de45c02479680,44154a1de777e2dd9398ac1cfc171546396523649fef5cedde465e36e9a08127,PASS
pdcch_impact_no_signal_bound.png,pdcch_impact_rnti_false_alarm.csv,1200,760,1,2,10,No signal false alarm bound,No signal false alarm bound — contracted evidence,Trials,Trials,False alarm upper bound,False alarm upper bound,4976f785e2f86260869b2e76ab277cfb75ce4d645de474ef0d5de45c02479680,09407934c60fff9c01a262a0978e669c3517416fe973f67246e0c088ee43ae92,PASS
pdcch_impact_format_confusion.png,pdcch_impact_rnti_false_alarm.csv,1200,760,1,2,10,DCI format confusion,DCI format confusion — contracted evidence,Transmitted format,Transmitted format,Decoded format,Decoded format,4976f785e2f86260869b2e76ab277cfb75ce4d645de474ef0d5de45c02479680,d435db65375d6fea7e1153a1f22af80431d44f6a55849390760108a7d0068b38,PASS
pdcch_impact_delay_spread.png,pdcch_impact_channel_sync.csv,1200,760,1,2,10,Delay spread impact,Delay spread impact — contracted evidence,Delay spread profile,Delay spread profile,Detection probability,Detection probability,d39f08bb40ccbb057567ee3589a0a11587a7ad9a802aac53ce453bbabd498b27,c986f56736c0839878b425ae29fdd402cb1a4e4d0a8bdad2615981a0ce248244,PASS
pdcch_impact_doppler.png,pdcch_impact_channel_sync.csv,1200,760,1,2,10,Doppler impact,Doppler impact — contracted evidence,Doppler (Hz),Doppler (Hz),Detection probability,Detection probability,d39f08bb40ccbb057567ee3589a0a11587a7ad9a802aac53ce453bbabd498b27,bc333146fd16e9e31930a2bcca2737abd80507c047962fdc87c8c1ec38e2112a,PASS
pdcch_impact_cfo.png,pdcch_impact_channel_sync.csv,1200,760,1,2,10,CFO impact,CFO impact — contracted evidence,CFO (Hz),CFO (Hz),Detection probability,Detection probability,d39f08bb40ccbb057567ee3589a0a11587a7ad9a802aac53ce453bbabd498b27,ff3927e3b105d0951a0a349658e21f92de497db4c51d7caf5b5f30c27ca3e5f5,PASS
pdcch_impact_timing.png,pdcch_impact_channel_sync.csv,1200,760,1,2,10,Timing acquisition,Timing acquisition — contracted evidence,Timing offset (samples),Timing offset (samples),Detection probability,Detection probability,d39f08bb40ccbb057567ee3589a0a11587a7ad9a802aac53ce453bbabd498b27,dbba7b544cc926b1ecee5cd25f9b27171b9409d11d14da161e48d6f746a9e298,PASS
pdcch_impact_phase_noise.png,pdcch_impact_channel_sync.csv,1200,760,1,2,10,Phase noise impact,Phase noise impact — contracted evidence,Phase noise level,Phase noise level,Detection probability,Detection probability,d39f08bb40ccbb057567ee3589a0a11587a7ad9a802aac53ce453bbabd498b27,19c759280ae60dbc3010737fcc18d1c6fa9a2901476ddcf2d9df12682c0c4990,PASS
pdcch_impact_beam_mismatch.png,pdcch_impact_beam_bwp_ca.csv,1200,760,1,2,10,PDCCH beam mismatch,PDCCH beam mismatch — contracted evidence,Beam mismatch (dB),Beam mismatch (dB),Detection probability,Detection probability,261225fb97ab2d7e352ec67e3b884522609f0a2d4a676fdebf6d9f78843fa668,5b7e069ae78b63e7712bb8b6daa55260c9d790e1ec30a9f261a837cc67ed03b6,PASS
pdcch_impact_beam_recovery.png,pdcch_impact_beam_bwp_ca.csv,1200,760,1,2,10,PDCCH beam recovery,PDCCH beam recovery — contracted evidence,Absolute slot,Absolute slot,Recovery state,Recovery state,261225fb97ab2d7e352ec67e3b884522609f0a2d4a676fdebf6d9f78843fa668,2cf6773d5d8126369b2c90b755a7c49da83240cdfefba300ab60d5745a4adf43,PASS
pdcch_impact_bwp_switch.png,pdcch_impact_beam_bwp_ca.csv,1200,760,1,2,10,PDCCH BWP switching,PDCCH BWP switching — contracted evidence,Absolute slot,Absolute slot,Active BWP,Active BWP,261225fb97ab2d7e352ec67e3b884522609f0a2d4a676fdebf6d9f78843fa668,00a822a6d7539fa8a0f3eab6deaa84cf7f8013f1dac4716fd6c1ba0538f7c43d,PASS
pdcch_impact_cross_carrier.png,pdcch_impact_beam_bwp_ca.csv,1200,760,1,2,10,Cross carrier scheduling,Cross carrier scheduling — contracted evidence,Control carrier,Control carrier,Scheduled carrier,Scheduled carrier,261225fb97ab2d7e352ec67e3b884522609f0a2d4a676fdebf6d9f78843fa668,0ecd93fefd0fb4f53e55d6553df54ad1649f3fc9491e5af6ba9ed8d618326c79,PASS
pdcch_impact_authority.png,pdcch_impact_authority.csv,1200,760,1,2,10,Decoded DCI authority,Decoded DCI authority — contracted evidence,Mutation type,Mutation type,Assignment digest changed,Assignment digest changed,29a81da5e7502abab47ad8d1ae7c2f08d9bbf747bae4c67cd90f0ad0eced8c0b,671f4e8e3dbfac19306c679657f2503b8bb76656b0d813a9311e00e2b44df318,PASS
pdcch_impact_blind_penalty.png,pdcch_impact_pairwise_effects.csv,1200,760,1,2,10,Blind search penalty,Blind search penalty — contracted evidence,Operating point,Operating point,SNR penalty (dB),SNR penalty (dB),7ae44acf8782fecd461f4a570def1ba2b2eafb75e462dc4d564406828367f409,2a17cfba2bf28897c20a92d9cf19b565c9b8634a4b634970e6d2c5a5a0f82d96,PASS
pdcch_impact_runtime_scaling.png,pdcch_impact_runtime.csv,1200,760,1,2,10,PDCCH runtime scaling,PDCCH runtime scaling — contracted evidence,Candidates tested,Candidates tested,Runtime (ms),Runtime (ms),a9cfb58be9609f24f2aca3bdeeb728d6f85d721e9990d00a085d2bba92b4688e,183e6714d275610c354dcb2b220b7f350df328cff7013ef30acf55d2ec77f895,PASS
