RunID,ExperimentID,FamilyID,CORESETDuration,CORESETRBs,MappingType,REGBundleSize,InterleaverSize,CandidateCount,MonitoringLoad,DetectionProbability,Status,ExecutionBackend,ApproximationMode,EvidenceClass
PDCCH_IMPACT_R18,PDCCH-EXP-0001,F01,2,48,nonInterleaved,6,0,16,0.16667,1,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,PDCCH-EXP-0002,F01,2,48,nonInterleaved,6,0,16,0.16667,1,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,PDCCH-EXP-0003,F01,2,24,interleaved,2,2,8,0.16667,1,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,PDCCH-EXP-0004,F01,2,24,interleaved,2,2,8,0.16667,1,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,PDCCH-EXP-0005,F01,1,96,interleaved,2,2,16,0.16667,1,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,PDCCH-EXP-0006,F01,1,96,interleaved,2,2,16,0.16667,1,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,PDCCH-EXP-0007,F01,3,48,interleaved,2,2,24,0.16667,1,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,PDCCH-EXP-0008,F01,3,48,interleaved,2,2,24,0.16667,1,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,PDCCH-EXP-0009,F01,2,96,nonInterleaved,6,0,32,0.16667,1,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,PDCCH-EXP-0010,F01,2,96,nonInterleaved,6,0,32,0.16667,1,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,PDCCH-EXP-0011,F01,1,24,interleaved,2,2,4,0.16667,1,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,PDCCH-EXP-0012,F01,1,24,interleaved,2,2,4,0.16667,1,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,PDCCH-EXP-0013,F02,2,48,nonInterleaved,6,0,16,0.16667,1,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,PDCCH-EXP-0014,F02,2,48,nonInterleaved,6,0,16,0.16667,1,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,PDCCH-EXP-0015,F02,2,24,interleaved,2,2,8,0.16667,1,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,PDCCH-EXP-0016,F02,2,24,interleaved,2,2,8,0.16667,1,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,PDCCH-EXP-0017,F02,1,96,interleaved,2,2,16,0.16667,1,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,PDCCH-EXP-0018,F02,1,96,interleaved,2,2,16,0.16667,1,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,PDCCH-EXP-0019,F02,3,48,interleaved,2,2,24,0.16667,1,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,PDCCH-EXP-0020,F02,3,48,interleaved,2,2,24,0.16667,1,PASS,analytical_component_evaluation,component_proxy,study_not_truth
