RunID,ExperimentID,FamilyID,PairID,Variant,FactorName,FactorValue,BaselineFactorValue,ChannelRealizationID,NoiseRealizationID,PayloadID,Seed,Trial,SignalPresent,CorrectDetection,FalseAlarm,MissedDetection,MeasuredSINRdB,RuntimeMs,MemoryMB,Status,ExecutionBackend,ApproximationMode,EvidenceClass
PDCCH_IMPACT_R18,PDCCH-EXP-0001,F01,F01-P01,baseline,ActiveBWPSizePRB,24,24,1ae929fe1f702358b2c3a2fc40498e506ae880e7abcbb083c1f4ff92dd0bb61a,83eed0da0b9e225157a49fb3471ba52d459a89b283fef6e3b01be3ee973409b7,5f51ef7e89b74883b02a17727ff320a91a3fc58447ac48362f761e85c4150d6c,11,1,true,true,false,false,0,0.291,48.1,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,PDCCH-EXP-0002,F01,F01-P01,treatment,ActiveBWPSizePRB,52,24,1ae929fe1f702358b2c3a2fc40498e506ae880e7abcbb083c1f4ff92dd0bb61a,83eed0da0b9e225157a49fb3471ba52d459a89b283fef6e3b01be3ee973409b7,5f51ef7e89b74883b02a17727ff320a91a3fc58447ac48362f761e85c4150d6c,11,1,true,true,false,false,0,0.292,48.2,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,PDCCH-EXP-0003,F01,F01-P02,baseline,ActiveBWPSizePRB,52,52,5b3d1ef3fe6dc1c6ba376b3ddea5b5ca4b3a04437a5c2a9238d033a46a812088,b42c3a18befb4a97a9edd686655d05b6b2f131abade6a1f922367d618f05d40f,0f50a863b8350b157c965ae2ac1ac8d84ce2f7e9bda93a4e73fd8fdc59b9dfbd,11,1,true,true,false,false,2,0.273,48.3,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,PDCCH-EXP-0004,F01,F01-P02,treatment,ActiveBWPSizePRB,106,52,5b3d1ef3fe6dc1c6ba376b3ddea5b5ca4b3a04437a5c2a9238d033a46a812088,b42c3a18befb4a97a9edd686655d05b6b2f131abade6a1f922367d618f05d40f,0f50a863b8350b157c965ae2ac1ac8d84ce2f7e9bda93a4e73fd8fdc59b9dfbd,11,1,true,true,false,false,2,0.274,48.4,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,PDCCH-EXP-0005,F01,F01-P03,baseline,ActiveBWPSizePRB,106,106,c7a7cc38f1039fa13e052cf121c16fc05af59a18b7c01b820a60742dc6b9dfad,d2531477433279d15d96b2b52dbd61d269e414b902011ecb4eba89aa2ff24687,6c6d813bb169f7c609fc781cae5cc3d998b402a640565874b856f18dbc7a05b1,11,1,true,true,false,false,4,0.335,48.5,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,PDCCH-EXP-0006,F01,F01-P03,treatment,ActiveBWPSizePRB,273,106,c7a7cc38f1039fa13e052cf121c16fc05af59a18b7c01b820a60742dc6b9dfad,d2531477433279d15d96b2b52dbd61d269e414b902011ecb4eba89aa2ff24687,6c6d813bb169f7c609fc781cae5cc3d998b402a640565874b856f18dbc7a05b1,11,1,true,true,false,false,4,0.336,48.6,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,PDCCH-EXP-0007,F01,F01-P04,baseline,ActiveBWPSizePRB,24,24,24753eaddb505cb6ec6f118d4f070d4c13efb8b4dfaf72d4ef2b57c6b17b1c2e,39d170b440204a5758bf64dcf37f57751595258c6d96f53e205d3870df1372ce,2e5f7cf52cf438a5e1fcf07af2b6d948ac761a69a14e248dd55ee05ae33557fa,11,1,true,true,false,false,6,0.297,48.7,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,PDCCH-EXP-0008,F01,F01-P04,treatment,ActiveBWPSizePRB,273,24,24753eaddb505cb6ec6f118d4f070d4c13efb8b4dfaf72d4ef2b57c6b17b1c2e,39d170b440204a5758bf64dcf37f57751595258c6d96f53e205d3870df1372ce,2e5f7cf52cf438a5e1fcf07af2b6d948ac761a69a14e248dd55ee05ae33557fa,11,1,true,true,false,false,6,0.298,48.8,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,PDCCH-EXP-0009,F01,F01-P05,baseline,ActiveBWPSizePRB,48,48,3dbf3bce40d34a9a8ababb21c37e23912037a7a4b7ddcb764da7db5ad654caef,02fbfe238003cf2aab766c01879410fd08cb7163784220934253dea6b1c93a26,b92644fcf38912a27aee8a4d9e204bd19d7a76f2f449ca77c627758df938e2ad,11,1,true,true,false,false,-2,0.419,48.9,PASS,analytical_component_evaluation,component_proxy,study_not_truth
PDCCH_IMPACT_R18,PDCCH-EXP-0010,F01,F01-P05,treatment,ActiveBWPSizePRB,96,48,3dbf3bce40d34a9a8ababb21c37e23912037a7a4b7ddcb764da7db5ad654caef,02fbfe238003cf2aab766c01879410fd08cb7163784220934253dea6b1c93a26,b92644fcf38912a27aee8a4d9e204bd19d7a76f2f449ca77c627758df938e2ad,11,1,true,true,false,false,-2,0.42,49,PASS,analytical_component_evaluation,component_proxy,study_not_truth
