Case,SignalPresent,DetectionMetric,DetectionThreshold,ReceiverDTX,FeedbackOutcome,FeedbackOutcomeReason,FalseAck,FalseNack,MissedFeedback,ReceiverFalseAlarm,Source
ACK,1,0.999999999980482,0.2,0,ACK,decoded_uci_bit,0,0,0,0,isolated_pucch_rx_and_declared_mac_unit_fixture
NACK,1,0.999999999983909,0.2,0,NACK,decoded_uci_bit,0,1,0,0,isolated_pucch_rx_and_declared_mac_unit_fixture
NO_SIGNAL_1,0,0.437715456059183,0.2,0,ACK,decoded_uci_bit,0,0,0,1,isolated_pucch_rx_and_declared_mac_unit_fixture
NO_SIGNAL_2,0,0.32562913498734,0.2,0,NACK,decoded_uci_bit,0,1,0,1,isolated_pucch_rx_and_declared_mac_unit_fixture
NO_SIGNAL_3,0,0.309761233942343,0.2,0,NACK,decoded_uci_bit,0,1,0,1,isolated_pucch_rx_and_declared_mac_unit_fixture
NO_SIGNAL_4,0,0.36087753340495,0.2,0,NACK,decoded_uci_bit,0,1,0,1,isolated_pucch_rx_and_declared_mac_unit_fixture
NO_SIGNAL_5,0,0.238961875233552,0.2,0,ACK,decoded_uci_bit,0,0,0,1,isolated_pucch_rx_and_declared_mac_unit_fixture
NO_SIGNAL_6,0,0.361697304258454,0.2,0,NACK,decoded_uci_bit,0,1,0,1,isolated_pucch_rx_and_declared_mac_unit_fixture
NO_SIGNAL_7,0,0.37844724461958,0.2,0,NACK,decoded_uci_bit,0,1,0,1,isolated_pucch_rx_and_declared_mac_unit_fixture
NO_SIGNAL_8,0,0.374511946299897,0.2,0,ACK,decoded_uci_bit,0,0,0,1,isolated_pucch_rx_and_declared_mac_unit_fixture
NO_SIGNAL_9,0,0.289692562691138,0.2,0,NACK,decoded_uci_bit,0,1,0,1,isolated_pucch_rx_and_declared_mac_unit_fixture
NO_SIGNAL_10,0,0.298650243050343,0.2,0,ACK,decoded_uci_bit,0,0,0,1,isolated_pucch_rx_and_declared_mac_unit_fixture
NO_SIGNAL_11,0,0.301351820486762,0.2,0,ACK,decoded_uci_bit,0,0,0,1,isolated_pucch_rx_and_declared_mac_unit_fixture
NO_SIGNAL_12,0,0.381513561574227,0.2,0,ACK,decoded_uci_bit,0,0,0,1,isolated_pucch_rx_and_declared_mac_unit_fixture
NO_SIGNAL_13,0,0.273785721176429,0.2,0,ACK,decoded_uci_bit,0,0,0,1,isolated_pucch_rx_and_declared_mac_unit_fixture
NO_SIGNAL_14,0,0.410179075467148,0.2,0,ACK,decoded_uci_bit,0,0,0,1,isolated_pucch_rx_and_declared_mac_unit_fixture
NO_SIGNAL_15,0,0.232729828811133,0.2,0,NACK,decoded_uci_bit,0,1,0,1,isolated_pucch_rx_and_declared_mac_unit_fixture
NO_SIGNAL_16,0,0.419817753880121,0.2,0,ACK,decoded_uci_bit,0,0,0,1,isolated_pucch_rx_and_declared_mac_unit_fixture
NO_SIGNAL_17,0,0.246707059533557,0.2,0,NACK,decoded_uci_bit,0,1,0,1,isolated_pucch_rx_and_declared_mac_unit_fixture
NO_SIGNAL_18,0,0.277925285296799,0.2,0,NACK,decoded_uci_bit,0,1,0,1,isolated_pucch_rx_and_declared_mac_unit_fixture
NO_SIGNAL_19,0,0.318692273427885,0.2,0,NACK,decoded_uci_bit,0,1,0,1,isolated_pucch_rx_and_declared_mac_unit_fixture
NO_SIGNAL_20,0,0.38312635925817,0.2,0,NACK,decoded_uci_bit,0,1,0,1,isolated_pucch_rx_and_declared_mac_unit_fixture
NO_SIGNAL_21,0,0.275641983280986,0.2,0,ACK,decoded_uci_bit,0,0,0,1,isolated_pucch_rx_and_declared_mac_unit_fixture
NO_SIGNAL_22,0,0.328766818313235,0.2,0,NACK,decoded_uci_bit,0,1,0,1,isolated_pucch_rx_and_declared_mac_unit_fixture
NO_SIGNAL_23,0,0.229434191370745,0.2,0,NACK,decoded_uci_bit,0,1,0,1,isolated_pucch_rx_and_declared_mac_unit_fixture
NO_SIGNAL_24,0,0.408314028604796,0.2,0,ACK,decoded_uci_bit,0,0,0,1,isolated_pucch_rx_and_declared_mac_unit_fixture
NO_SIGNAL_25,0,0.198510952347268,0.2,1,DTX,receiver_reported_dtx,0,0,1,0,isolated_pucch_rx_and_declared_mac_unit_fixture
NO_SIGNAL_26,0,0.406314331212252,0.2,0,ACK,decoded_uci_bit,0,0,0,1,isolated_pucch_rx_and_declared_mac_unit_fixture
NO_SIGNAL_27,0,0.378571590029581,0.2,0,ACK,decoded_uci_bit,0,0,0,1,isolated_pucch_rx_and_declared_mac_unit_fixture
NO_SIGNAL_28,0,0.186872408270867,0.2,1,DTX,receiver_reported_dtx,0,0,1,0,isolated_pucch_rx_and_declared_mac_unit_fixture
NO_SIGNAL_29,0,0.247542253521332,0.2,0,ACK,decoded_uci_bit,0,0,0,1,isolated_pucch_rx_and_declared_mac_unit_fixture
NO_SIGNAL_30,0,0.350882744250083,0.2,0,NACK,decoded_uci_bit,0,1,0,1,isolated_pucch_rx_and_declared_mac_unit_fixture
NO_SIGNAL_31,0,0.163726263900615,0.2,1,DTX,receiver_reported_dtx,0,0,1,0,isolated_pucch_rx_and_declared_mac_unit_fixture
NO_SIGNAL_32,0,0.362957282091182,0.2,0,ACK,decoded_uci_bit,0,0,0,1,isolated_pucch_rx_and_declared_mac_unit_fixture
NO_SIGNAL_33,0,0.276138838485787,0.2,0,ACK,decoded_uci_bit,0,0,0,1,isolated_pucch_rx_and_declared_mac_unit_fixture
NO_SIGNAL_34,0,0.313184209687654,0.2,0,NACK,decoded_uci_bit,0,1,0,1,isolated_pucch_rx_and_declared_mac_unit_fixture
