Entity,EntityType,EntityID,Domain,Direction,Frame,Slot,Symbol,TimestampSim_ms,UEID,CellID,BaseStationID,RNTI,TransportBlockId,HARQProcessId,NDI,RV,PRBCount,ActiveBWFraction,ActiveRank,ActiveTxRUCount,ControlMonitoringLoad,TxPower_dBm,RxPowerEst_dBm,State,Duration_s,Power_W,Energy_J,SuccessfulBits,RFChainCount,BBProcessingEnergy_J,SourceArtifact,Status
"gNB","cell",1,"DL_data","DL",1,16,2,7.5,1,1,1,1,"dir=DL;frame=1;slot=16;ue=1;rnti=1;cell=1;harq=0",0,1,0,136,0.498168498168498,2,32,1,46,NaN,"active_tx",0.0005,409.510473637995,0.204755236818998,0,32,0.0478827838827839,"air_interface/csv/dl_pdsch_trials.csv","FAIL"
"UE","ue",1,"DL_data","DL",1,16,2,7.5,1,1,1,1,"dir=DL;frame=1;slot=16;ue=1;rnti=1;cell=1;harq=0",0,1,0,136,0.498168498168498,2,0,0,NaN,22.4752,"active_rx",0.0005,1.5,0.00075,0,4,0,"air_interface/csv/dl_pdsch_trials.csv","FAIL"
"gNB","cell",1,"DL_data","DL",1,16,2,7.5,2,1,1,2,"dir=DL;frame=1;slot=16;ue=2;rnti=2;cell=1;harq=0",0,1,0,136,0.498168498168498,2,32,1,46,NaN,"active_tx",0.0005,409.510473637995,0.204755236818998,0,32,0.0478827838827839,"air_interface/csv/dl_pdsch_trials.csv","FAIL"
"UE","ue",2,"DL_data","DL",1,16,2,7.5,2,1,1,2,"dir=DL;frame=1;slot=16;ue=2;rnti=2;cell=1;harq=0",0,1,0,136,0.498168498168498,2,0,0,NaN,21.4999,"active_rx",0.0005,1.5,0.00075,0,4,0,"air_interface/csv/dl_pdsch_trials.csv","FAIL"
"gNB","cell",1,"DL_data","DL",1,17,2,8,3,1,1,3,"dir=DL;frame=1;slot=17;ue=3;rnti=3;cell=1;harq=0",0,1,0,136,0.498168498168498,2,32,1,46,NaN,"active_tx",0.0005,409.510473637995,0.204755236818998,0,32,0.0478827838827839,"air_interface/csv/dl_pdsch_trials.csv","FAIL"
"UE","ue",3,"DL_data","DL",1,17,2,8,3,1,1,3,"dir=DL;frame=1;slot=17;ue=3;rnti=3;cell=1;harq=0",0,1,0,136,0.498168498168498,2,0,0,NaN,22.7862,"active_rx",0.0005,1.5,0.00075,0,4,0,"air_interface/csv/dl_pdsch_trials.csv","FAIL"
"gNB","cell",1,"DL_data","DL",1,17,2,8,4,1,1,4,"dir=DL;frame=1;slot=17;ue=4;rnti=4;cell=1;harq=0",0,1,0,136,0.498168498168498,2,32,1,46,NaN,"active_tx",0.0005,409.510473637995,0.204755236818998,0,32,0.0478827838827839,"air_interface/csv/dl_pdsch_trials.csv","FAIL"
"UE","ue",4,"DL_data","DL",1,17,2,8,4,1,1,4,"dir=DL;frame=1;slot=17;ue=4;rnti=4;cell=1;harq=0",0,1,0,136,0.498168498168498,2,0,0,NaN,21.9036,"active_rx",0.0005,1.5,0.00075,0,4,0,"air_interface/csv/dl_pdsch_trials.csv","FAIL"
"gNB","cell",1,"DL_data","DL",1,18,2,8.5,1,1,1,1,"dir=DL;frame=1;slot=18;ue=1;rnti=1;cell=1;harq=1",1,1,0,136,0.498168498168498,2,32,1,46,NaN,"active_tx",0.0005,409.510473637995,0.204755236818998,0,32,0.0478827838827839,"air_interface/csv/dl_pdsch_trials.csv","FAIL"
"UE","ue",1,"DL_data","DL",1,18,2,8.5,1,1,1,1,"dir=DL;frame=1;slot=18;ue=1;rnti=1;cell=1;harq=1",1,1,0,136,0.498168498168498,2,0,0,NaN,22.4752,"active_rx",0.0005,1.5,0.00075,0,4,0,"air_interface/csv/dl_pdsch_trials.csv","FAIL"
"gNB","cell",1,"DL_data","DL",1,18,2,8.5,2,1,1,2,"dir=DL;frame=1;slot=18;ue=2;rnti=2;cell=1;harq=1",1,1,0,136,0.498168498168498,2,32,1,46,NaN,"active_tx",0.0005,409.510473637995,0.204755236818998,0,32,0.0478827838827839,"air_interface/csv/dl_pdsch_trials.csv","FAIL"
"UE","ue",2,"DL_data","DL",1,18,2,8.5,2,1,1,2,"dir=DL;frame=1;slot=18;ue=2;rnti=2;cell=1;harq=1",1,1,0,136,0.498168498168498,2,0,0,NaN,21.4999,"active_rx",0.0005,1.5,0.00075,0,4,0,"air_interface/csv/dl_pdsch_trials.csv","FAIL"
"UE","ue",1,"UL_data","UL",1,20,0,9.5,1,1,1,1,"dir=UL;frame=1;slot=20;ue=1;rnti=1;cell=1;harq=0",0,1,0,136,0.498168498168498,2,4,0,23,NaN,"active_tx",0.0005,1.57007494713397,0.000785037473566983,0,4,0,"air_interface/csv/ul_pusch_trials.csv","FAIL"
"gNB","cell",1,"UL_data","UL",1,20,0,9.5,1,1,1,1,"dir=UL;frame=1;slot=20;ue=1;rnti=1;cell=1;harq=0",0,1,0,136,0.498168498168498,2,0,0,NaN,22.4752,"active_rx",0.0005,295.765567765568,0.147882783882784,0,32,0.0478827838827839,"air_interface/csv/ul_pusch_trials.csv","FAIL"
"UE","ue",2,"UL_data","UL",1,20,0,9.5,2,1,1,2,"dir=UL;frame=1;slot=20;ue=2;rnti=2;cell=1;harq=0",0,1,0,136,0.498168498168498,2,4,0,23,NaN,"active_tx",0.0005,1.57007494713397,0.000785037473566983,0,4,0,"air_interface/csv/ul_pusch_trials.csv","FAIL"
