Direction,TrialIndex,Frame,Slot,UEID,UEIndex,RNTI,BaseStationID,ChannelModel,Modulation,MCSIndex,AllocatedPRBCount,Status,IQImbalanceConfigured,IQImbalanceApplied,IQImbalanceModel,ConfiguredIQGainImbalance_dB,ConfiguredIQPhaseImbalance_deg,IQImbalanceMirrorPowerRatio_dB,IQImbalanceImageRejection_dB,IQImbalanceIQPowerRatio_dB,IQImbalanceIQCorrelation,IQImbalanceEstimatedAlphaAbs,IQImbalanceEstimatedBetaAbs,MeasurementAvailable,IQImbalanceMeasurementSource,IQImbalanceMeasurementStatus,SourceArtifact
"DL",1,1,16,1,1,1,1,"CDL-C","64QAM",19,136,"FAIL",0,0,"widely_linear_alpha_beta",0,0,-360.685884251553,360.685884251553,-0.184022865042159,0.00330899054403791,0.00238340202555425,2.20243495683575e-21,1,"sample_domain_widely_linear_fit_after_iq_stage","measured","air_interface/csv/dl_pdsch_trials.csv"
"DL",2,1,16,2,2,2,1,"CDL-C","64QAM",19,136,"FAIL",0,0,"widely_linear_alpha_beta",0,0,-368.619633117939,368.619633117939,0.162249258683871,0.0168637691799339,0.00236406364125414,8.76349832114583e-22,1,"sample_domain_widely_linear_fit_after_iq_stage","measured","air_interface/csv/dl_pdsch_trials.csv"
"DL",3,1,17,3,3,3,1,"CDL-C","64QAM",19,136,"FAIL",0,0,"widely_linear_alpha_beta",0,0,-372.719774118494,372.719774118494,-0.0211339414840815,0.00810224600744072,0.00194592564672689,4.49922317543593e-22,1,"sample_domain_widely_linear_fit_after_iq_stage","measured","air_interface/csv/dl_pdsch_trials.csv"
"DL",4,1,17,4,4,4,1,"CDL-C","64QAM",19,136,"FAIL",0,0,"widely_linear_alpha_beta",0,0,-365.965746296421,365.965746296421,-0.00200635466094599,-0.011955685907384,0.00249757519284489,1.25669896467741e-21,1,"sample_domain_widely_linear_fit_after_iq_stage","measured","air_interface/csv/dl_pdsch_trials.csv"
"DL",5,1,18,1,1,1,1,"CDL-C","64QAM",19,136,"FAIL",0,0,"widely_linear_alpha_beta",0,0,-327.882887090441,327.882887090441,0.0674657680487504,0.015962923262652,0.00401465668488208,1.61995912980139e-19,1,"sample_domain_widely_linear_fit_after_iq_stage","measured","air_interface/csv/dl_pdsch_trials.csv"
"DL",6,1,18,2,2,2,1,"CDL-C","64QAM",19,136,"FAIL",0,0,"widely_linear_alpha_beta",0,0,-326.410307711127,326.410307711127,0.161917296670706,0.0207356928173853,0.00329766980859015,1.57649204119224e-19,1,"sample_domain_widely_linear_fit_after_iq_stage","measured","air_interface/csv/dl_pdsch_trials.csv"
"UL",1,1,20,1,1,1,1,"CDL-C","64QAM",19,136,"FAIL",0,0,"widely_linear_alpha_beta",0,0,-341.172760862989,341.172760862989,-0.000549190148609086,-0.000165365379972422,0.0285467281487775,2.49412546258211e-19,1,"sample_domain_widely_linear_fit_after_iq_stage","measured","air_interface/csv/ul_pusch_trials.csv"
"UL",2,1,20,2,2,2,1,"CDL-C","64QAM",19,136,"FAIL",0,0,"widely_linear_alpha_beta",0,0,-325.91301710694,325.91301710694,-0.00077608630683645,-0.000204795903598684,0.028545654339652,1.44507087238981e-18,1,"sample_domain_widely_linear_fit_after_iq_stage","measured","air_interface/csv/ul_pusch_trials.csv"
