TargetBLER,RequiredSNR_A_dB,RequiredSNR_B_dB,Gain_dB,Valid,Status
0.1,NaN,NaN,NaN,0,invalid_target_not_bracketed_by_both_simulated_curves
0.01,NaN,NaN,NaN,0,invalid_target_not_bracketed_by_both_simulated_curves
0.001,NaN,NaN,NaN,0,invalid_target_not_bracketed_by_both_simulated_curves
