TrialRow,PositiveObjectiveRow,TBAttempted,ObjectiveRowPass,StrictReceiverEvidenceOk,ChannelEstimateAttempted,ChannelEstimateAvailable,ResourceExtractionAttempted,ResourceExtractionAvailable,EqualizationAttempted,EqualizationAvailable,DLSCHDecodeAttempted,DLSCHDecodeAvailable,LLRAvailable,LLRFinite,PostEqSINRAvailable,PostEqSINRReceiverDerived,PostEqSINRWidebanddB,SINRValidationStatus,ConfiguredSNRLikeSourceRejected,TBCrcKnown,TBCrcPass,BitErrors,BitsCompared,SNR_dB,EffectiveMCSIndex,EffectiveModulation,EffectiveLayers,EffectiveRank,ConfiguredMCSIndex,ConfiguredModulation,ConfiguredLayers,ConfiguredRank,ConfiguredEffectiveCheckApplicable,ConfiguredEffectiveMatch,MCSMatch,ModulationMatch,LayerMatch,RankMatch,NoProxyEvidenceOk,SkippedOrUnavailable,Crash,IsRetransmission,GrantBindingOk,MIMOEvidenceReferenceOk,ChannelRFReferenceOk,ObjectiveRowClass,RowFailureReason
1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,31.3026644194995,"pass",0,1,1,0,184424,20,19,"64QAM",2,4,20,"256QAM",2,2,1,0,0,0,1,0,1,0,0,0,1,1,1,"positive_runtime_trial","configured_effective_mismatch"
2,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,30.5815762327752,"pass",0,1,1,0,184424,20,19,"64QAM",2,4,20,"256QAM",2,2,1,0,0,0,1,0,1,0,0,0,1,1,1,"positive_runtime_trial","configured_effective_mismatch"
3,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,28.8440291955128,"pass",0,1,1,0,184424,20,19,"64QAM",2,4,20,"256QAM",2,2,1,0,0,0,1,0,1,0,0,0,1,1,1,"positive_runtime_trial","configured_effective_mismatch"
4,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,28.2545528412915,"pass",0,1,1,0,184424,20,19,"64QAM",2,4,20,"256QAM",2,2,1,0,0,0,1,0,1,0,0,0,1,1,1,"positive_runtime_trial","configured_effective_mismatch"
5,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,31.3026644194995,"pass",0,1,1,0,184424,20,19,"64QAM",2,4,20,"256QAM",2,2,1,0,0,0,1,0,1,0,0,0,1,1,1,"positive_runtime_trial","configured_effective_mismatch"
6,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,30.5815762327752,"pass",0,1,1,0,184424,20,19,"64QAM",2,4,20,"256QAM",2,2,1,0,0,0,1,0,1,0,0,0,1,1,1,"positive_runtime_trial","configured_effective_mismatch"
