Direction,TransportBlocks,SuccessfulUniqueTBs,BLER,DeliveredUniqueBits,HorizonSeconds,GoodputBitsPerSecond,BER,Source,StandardNR
"DL",3,3,0,1720512,0.001,1720512000,0,"actual_coded_research_waveform",0
"UL",4,4,0,2294016,0.001,2294016000,0,"actual_coded_research_waveform",0
