RunId,Direction,Rank,LayerCount,EligibleRows,DecodeSuccessRows,UsagePercent,SuccessPercent,BLER,StrictObjectiveRequired,StrictObjectivePass,Status,FailureReason
"","DL",2,2,6,6,1,1,0,1,1,"pass",""
"","UL",2,2,2,2,1,1,0,1,1,"pass",""
