RunId,KPIName,Direction,Layer,Units,FormulaId,FormulaVersion,NumeratorValue,DenominatorValue,Value,AggregationDurationSec,ScheduledResourceExposureSec,MeasurementWindowSec,WarmupDurationSec,FirstSuccessDeliveryCount,RetransmissionAttemptCount,MeanDeliveryLatency_ms,P95DeliveryLatency_ms,DurationSource,SourceTablePaths,SourceRowCount,EligibleRowCount,ExcludedRowCount,SourceRowsHash,SourceDirection,ProxyRowsExcluded,SkippedRowsExcluded,FailedRowsIncluded,HARQDeduplicationApplied,DuplicateDeliveryCount,MissingRawData,SchemaValid,FormulaExecuted,ReconstructionValue,ReconciliationTolerance,ReconciliationPass,StrictOk,Status,FailureReason
"","UL_Goodput_Max_Mbps","UL","PHY","Mbps","UL_Goodput_Max_Mbps","kpi_registry_v1",401.616,0.01,401.616,0.01,0.0005,0.01,0,2,0,10,11.5,"measurement_window:configured_measurement_window_sec","air_interface/csv/ul_pusch_trials.csv",2,2,0,"3128651c38e004f4cb86eb919ee4d3cae0fb222366a59469ca95f92c66136f46","UL",0,0,1,1,0,0,1,1,401.616,1e-09,1,1,"pass",""
"","DL_Goodput_Max_Mbps","DL","PHY","Mbps","DL_Goodput_Max_Mbps","kpi_registry_v1",368.848,0.01,368.848,0.01,0.0015,0.01,0,6,0,6.33333333333333,9,"measurement_window:configured_measurement_window_sec","air_interface/csv/dl_pdsch_trials.csv",6,6,0,"22c517df3ece36be7757f77ff9ec814a0e77e52855716747965c614845e1aac0","DL",0,0,1,1,0,0,1,1,368.848,1e-09,1,1,"pass",""
"","UL_PHY_ScheduledThroughput_Mbps","UL","PHY","Mbps","UL_PHY_ScheduledThroughput_Mbps","kpi_registry_v1",401616,0.0005,803.232,0.0005,0.0005,0.01,0,2,0,10,11.5,"scheduled_resource_exposure:configured_measurement_window_sec","air_interface/csv/ul_pusch_trials.csv",2,2,0,"3128651c38e004f4cb86eb919ee4d3cae0fb222366a59469ca95f92c66136f46","UL",0,0,1,0,0,0,1,1,803.232,1e-09,1,1,"pass",""
"","DL_PHY_ScheduledThroughput_Mbps","DL","PHY","Mbps","DL_PHY_ScheduledThroughput_Mbps","kpi_registry_v1",1106544,0.0015,737.696,0.0015,0.0015,0.01,0,6,0,6.33333333333333,9,"scheduled_resource_exposure:configured_measurement_window_sec","air_interface/csv/dl_pdsch_trials.csv",6,6,0,"22c517df3ece36be7757f77ff9ec814a0e77e52855716747965c614845e1aac0","DL",0,0,1,0,0,0,1,1,737.696,1e-09,1,1,"pass",""
"","UL_TB_Delivery_Goodput_Mbps","UL","PHY","Mbps","UL_TB_Delivery_Goodput_Mbps","kpi_registry_v1",401616,0.01,40.1616,0.01,0.0005,0.01,0,2,0,10,11.5,"measurement_window:configured_measurement_window_sec","air_interface/csv/ul_pusch_trials.csv",2,2,0,"3128651c38e004f4cb86eb919ee4d3cae0fb222366a59469ca95f92c66136f46","UL",0,0,1,1,0,0,1,1,40.1616,1e-09,1,1,"pass",""
"","DL_TB_Delivery_Goodput_Mbps","DL","PHY","Mbps","DL_TB_Delivery_Goodput_Mbps","kpi_registry_v1",1106544,0.01,110.6544,0.01,0.0015,0.01,0,6,0,6.33333333333333,9,"measurement_window:configured_measurement_window_sec","air_interface/csv/dl_pdsch_trials.csv",6,6,0,"22c517df3ece36be7757f77ff9ec814a0e77e52855716747965c614845e1aac0","DL",0,0,1,1,0,0,1,1,110.6544,1e-09,1,1,"pass",""
"","UL_SpectralEfficiency_bpsHz","UL","PHY","bps/Hz","UL_SpectralEfficiency_bpsHz","kpi_registry_v1",401616,0.01,0.401616,0.01,0.0005,0.01,0,2,0,10,11.5,"measurement_window:configured_measurement_window_sec","air_interface/csv/ul_pusch_trials.csv",2,2,0,"3128651c38e004f4cb86eb919ee4d3cae0fb222366a59469ca95f92c66136f46","UL",0,0,1,0,0,0,1,1,0.401616,1e-09,1,1,"pass",""
"","DL_SpectralEfficiency_bpsHz","DL","PHY","bps/Hz","DL_SpectralEfficiency_bpsHz","kpi_registry_v1",1106544,0.01,1.106544,0.01,0.0015,0.01,0,6,0,6.33333333333333,9,"measurement_window:configured_measurement_window_sec","air_interface/csv/dl_pdsch_trials.csv",6,6,0,"22c517df3ece36be7757f77ff9ec814a0e77e52855716747965c614845e1aac0","DL",0,0,1,0,0,0,1,1,1.106544,1e-09,1,1,"pass",""
"","UL_Latency_ms","UL","traffic","ms","UL_Latency_ms","kpi_registry_v1",10,2,10,0.01,0.0005,0.01,0,2,0,10,11.5,"configured_measurement_window_sec","air_interface/csv/ul_pusch_trials.csv",2,2,0,"3128651c38e004f4cb86eb919ee4d3cae0fb222366a59469ca95f92c66136f46","UL",0,0,1,0,0,0,1,1,10,1e-09,1,1,"pass",""
"","DL_Latency_ms","DL","traffic","ms","DL_Latency_ms","kpi_registry_v1",6.33333333333333,6,6.33333333333333,0.01,0.0015,0.01,0,6,0,6.33333333333333,9,"configured_measurement_window_sec","air_interface/csv/dl_pdsch_trials.csv",6,6,0,"22c517df3ece36be7757f77ff9ec814a0e77e52855716747965c614845e1aac0","DL",0,0,1,0,0,0,1,1,6.33333333333333,1e-09,1,1,"pass",""
"","UL_BLER","UL","PHY","ratio","UL_BLER","kpi_registry_v1",NaN,2,0,0.01,0.0005,0.01,0,2,0,10,11.5,"configured_measurement_window_sec","air_interface/csv/ul_pusch_trials.csv",2,2,0,"3128651c38e004f4cb86eb919ee4d3cae0fb222366a59469ca95f92c66136f46","UL",0,0,1,0,0,0,1,1,0,1e-09,1,1,"pass",""
"","DL_BLER","DL","PHY","ratio","DL_BLER","kpi_registry_v1",NaN,6,0,0.01,0.0015,0.01,0,6,0,6.33333333333333,9,"configured_measurement_window_sec","air_interface/csv/dl_pdsch_trials.csv",6,6,0,"22c517df3ece36be7757f77ff9ec814a0e77e52855716747965c614845e1aac0","DL",0,0,1,0,0,0,1,1,0,1e-09,1,1,"pass",""
"","UL_BER","UL","PHY","ratio","UL_BER","kpi_registry_v1",NaN,2,0,0.01,0.0005,0.01,0,2,0,10,11.5,"configured_measurement_window_sec","air_interface/csv/ul_pusch_trials.csv",2,2,0,"3128651c38e004f4cb86eb919ee4d3cae0fb222366a59469ca95f92c66136f46","UL",0,0,1,0,0,0,1,1,0,1e-09,1,1,"pass",""
"","DL_BER","DL","PHY","ratio","DL_BER","kpi_registry_v1",NaN,6,0,0.01,0.0015,0.01,0,6,0,6.33333333333333,9,"configured_measurement_window_sec","air_interface/csv/dl_pdsch_trials.csv",6,6,0,"22c517df3ece36be7757f77ff9ec814a0e77e52855716747965c614845e1aac0","DL",0,0,1,0,0,0,1,1,0,1e-09,1,1,"pass",""
"","Scenario_Total_UL_DeliveredBits","UL","PHY","bits","Scenario_Total_UL_DeliveredBits","kpi_registry_v1",401616,2,401616,0.01,0.0005,0.01,0,2,0,10,11.5,"configured_measurement_window_sec","air_interface/csv/ul_pusch_trials.csv",2,2,0,"3128651c38e004f4cb86eb919ee4d3cae0fb222366a59469ca95f92c66136f46","UL",0,0,1,0,0,0,1,1,401616,1e-09,1,1,"pass",""
"","Scenario_Total_DL_DeliveredBits","DL","PHY","bits","Scenario_Total_DL_DeliveredBits","kpi_registry_v1",1106544,6,1106544,0.01,0.0015,0.01,0,6,0,6.33333333333333,9,"configured_measurement_window_sec","air_interface/csv/dl_pdsch_trials.csv",6,6,0,"22c517df3ece36be7757f77ff9ec814a0e77e52855716747965c614845e1aac0","DL",0,0,1,0,0,0,1,1,1106544,1e-09,1,1,"pass",""
"","Scenario_Total_UL_ScheduledBits","UL","PHY","bits","Scenario_Total_UL_ScheduledBits","kpi_registry_v1",401616,2,401616,0.01,0.0005,0.01,0,2,0,10,11.5,"configured_measurement_window_sec","air_interface/csv/ul_pusch_trials.csv",2,2,0,"3128651c38e004f4cb86eb919ee4d3cae0fb222366a59469ca95f92c66136f46","UL",0,0,1,0,0,0,1,1,401616,1e-09,1,1,"pass",""
