Direction,UEIndex,RNTI,PacketId,ApplicationPacketId,FlowId,EnqueueFrame,EnqueueSlot,EnqueueCanonicalSlot,EnqueueSlotInFrame,EnqueueTime_s,OfferedBits,ScheduledBits,DeliveredBits,RemainingBits,SegmentCount,HARQAttemptCount,FirstGrantSlot,FirstGrantTime_s,ReassemblyCompleteFlag,DeliverySuccess,DeliverySlot,DeliveryCanonicalSlot,DeliveryTime_s,Latency_ms,PacketizationSource,DeliverySource,TimingStatus,Status,Notes
"UL",3,3,"UL_ue3_frame1_pkt125","UL_ue3_frame1_pkt125","UL_ue3",1,16,16,16,0.0075,24000,0,0,24000,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,"runtime_offered_bits_canonical_slot_packet","","canonical_slot_enqueued","queued","Application packet created from the coupled runtime offered-bit arrival for this canonical slot/UE/direction."
"UL",4,4,"UL_ue4_frame1_pkt125","UL_ue4_frame1_pkt125","UL_ue4",1,16,16,16,0.0075,24000,0,0,24000,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,"runtime_offered_bits_canonical_slot_packet","","canonical_slot_enqueued","queued","Application packet created from the coupled runtime offered-bit arrival for this canonical slot/UE/direction."
"UL",1,1,"UL_ue1_frame1_pkt133","UL_ue1_frame1_pkt133","UL_ue1",1,17,17,17,0.008,24000,0,0,24000,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,"runtime_offered_bits_canonical_slot_packet","","canonical_slot_enqueued","queued","Application packet created from the coupled runtime offered-bit arrival for this canonical slot/UE/direction."
"UL",2,2,"UL_ue2_frame1_pkt133","UL_ue2_frame1_pkt133","UL_ue2",1,17,17,17,0.008,24000,0,0,24000,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,"runtime_offered_bits_canonical_slot_packet","","canonical_slot_enqueued","queued","Application packet created from the coupled runtime offered-bit arrival for this canonical slot/UE/direction."
"UL",3,3,"UL_ue3_frame1_pkt133","UL_ue3_frame1_pkt133","UL_ue3",1,17,17,17,0.008,24000,0,0,24000,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,"runtime_offered_bits_canonical_slot_packet","","canonical_slot_enqueued","queued","Application packet created from the coupled runtime offered-bit arrival for this canonical slot/UE/direction."
"UL",4,4,"UL_ue4_frame1_pkt133","UL_ue4_frame1_pkt133","UL_ue4",1,17,17,17,0.008,24000,0,0,24000,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,"runtime_offered_bits_canonical_slot_packet","","canonical_slot_enqueued","queued","Application packet created from the coupled runtime offered-bit arrival for this canonical slot/UE/direction."
"UL",1,1,"UL_ue1_frame1_pkt141","UL_ue1_frame1_pkt141","UL_ue1",1,18,18,18,0.0085,24000,0,0,24000,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,"runtime_offered_bits_canonical_slot_packet","","canonical_slot_enqueued","queued","Application packet created from the coupled runtime offered-bit arrival for this canonical slot/UE/direction."
"UL",2,2,"UL_ue2_frame1_pkt141","UL_ue2_frame1_pkt141","UL_ue2",1,18,18,18,0.0085,24000,0,0,24000,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,"runtime_offered_bits_canonical_slot_packet","","canonical_slot_enqueued","queued","Application packet created from the coupled runtime offered-bit arrival for this canonical slot/UE/direction."
"UL",3,3,"UL_ue3_frame1_pkt141","UL_ue3_frame1_pkt141","UL_ue3",1,18,18,18,0.0085,24000,0,0,24000,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,"runtime_offered_bits_canonical_slot_packet","","canonical_slot_enqueued","queued","Application packet created from the coupled runtime offered-bit arrival for this canonical slot/UE/direction."
"UL",4,4,"UL_ue4_frame1_pkt141","UL_ue4_frame1_pkt141","UL_ue4",1,18,18,18,0.0085,24000,0,0,24000,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,"runtime_offered_bits_canonical_slot_packet","","canonical_slot_enqueued","queued","Application packet created from the coupled runtime offered-bit arrival for this canonical slot/UE/direction."
"UL",1,1,"UL_ue1_frame1_pkt149","UL_ue1_frame1_pkt149","UL_ue1",1,19,19,19,0.009,36000,0,0,36000,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,"runtime_offered_bits_canonical_slot_packet","","canonical_slot_enqueued","queued","Application packet created from the coupled runtime offered-bit arrival for this canonical slot/UE/direction."
"UL",2,2,"UL_ue2_frame1_pkt149","UL_ue2_frame1_pkt149","UL_ue2",1,19,19,19,0.009,36000,0,0,36000,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,"runtime_offered_bits_canonical_slot_packet","","canonical_slot_enqueued","queued","Application packet created from the coupled runtime offered-bit arrival for this canonical slot/UE/direction."
"UL",3,3,"UL_ue3_frame1_pkt149","UL_ue3_frame1_pkt149","UL_ue3",1,19,19,19,0.009,36000,0,0,36000,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,"runtime_offered_bits_canonical_slot_packet","","canonical_slot_enqueued","queued","Application packet created from the coupled runtime offered-bit arrival for this canonical slot/UE/direction."
"UL",4,4,"UL_ue4_frame1_pkt149","UL_ue4_frame1_pkt149","UL_ue4",1,19,19,19,0.009,36000,0,0,36000,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,"runtime_offered_bits_canonical_slot_packet","","canonical_slot_enqueued","queued","Application packet created from the coupled runtime offered-bit arrival for this canonical slot/UE/direction."
"UL",1,1,"UL_ue1_frame1_pkt157","UL_ue1_frame1_pkt157","UL_ue1",1,20,20,20,0.0095,24000,0,0,24000,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,"runtime_offered_bits_canonical_slot_packet","","canonical_slot_enqueued","queued","Application packet created from the coupled runtime offered-bit arrival for this canonical slot/UE/direction."
"UL",2,2,"UL_ue2_frame1_pkt157","UL_ue2_frame1_pkt157","UL_ue2",1,20,20,20,0.0095,24000,0,0,24000,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,"runtime_offered_bits_canonical_slot_packet","","canonical_slot_enqueued","queued","Application packet created from the coupled runtime offered-bit arrival for this canonical slot/UE/direction."
"UL",3,3,"UL_ue3_frame1_pkt157","UL_ue3_frame1_pkt157","UL_ue3",1,20,20,20,0.0095,24000,0,0,24000,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,"runtime_offered_bits_canonical_slot_packet","","canonical_slot_enqueued","queued","Application packet created from the coupled runtime offered-bit arrival for this canonical slot/UE/direction."
"UL",4,4,"UL_ue4_frame1_pkt157","UL_ue4_frame1_pkt157","UL_ue4",1,20,20,20,0.0095,24000,0,0,24000,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,"runtime_offered_bits_canonical_slot_packet","","canonical_slot_enqueued","queued","Application packet created from the coupled runtime offered-bit arrival for this canonical slot/UE/direction."
