Direction,UEIndex,RNTI,PacketId,ApplicationPacketId,FlowId,EnqueueFrame,EnqueueSlot,EnqueueCanonicalSlot,EnqueueSlotInFrame,EnqueueTime_s,OfferedBits,ScheduledBits,DeliveredBits,RemainingBits,SegmentCount,HARQAttemptCount,FirstGrantSlot,FirstGrantTime_s,ReassemblyCompleteFlag,DeliverySuccess,DeliverySlot,DeliveryCanonicalSlot,DeliveryTime_s,Latency_ms,PacketizationSource,DeliverySource,TimingStatus,Status,Notes
"UL",3,3,"UL_ue3_frame1_pkt21","UL_ue3_frame1_pkt21","UL_ue3",1,3,3,3,0.001,24000,0,0,24000,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,"runtime_offered_bits_canonical_slot_packet","","canonical_slot_enqueued","queued","Application packet created from the coupled runtime offered-bit arrival for this canonical slot/UE/direction."
"UL",4,4,"UL_ue4_frame1_pkt21","UL_ue4_frame1_pkt21","UL_ue4",1,3,3,3,0.001,24000,0,0,24000,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,"runtime_offered_bits_canonical_slot_packet","","canonical_slot_enqueued","queued","Application packet created from the coupled runtime offered-bit arrival for this canonical slot/UE/direction."
"UL",1,1,"UL_ue1_frame1_pkt29","UL_ue1_frame1_pkt29","UL_ue1",1,4,4,4,0.0015,24000,24000,24000,0,1,1,20,0.0095,1,1,24,24,0.0115,10,"runtime_offered_bits_canonical_slot_packet","harq_first_success_reassembly","canonical_timing_ok","delivered","Application packet created from the coupled runtime offered-bit arrival for this canonical slot/UE/direction."
"UL",2,2,"UL_ue2_frame1_pkt29","UL_ue2_frame1_pkt29","UL_ue2",1,4,4,4,0.0015,24000,24000,24000,0,1,1,20,0.0095,1,1,24,24,0.0115,10,"runtime_offered_bits_canonical_slot_packet","harq_first_success_reassembly","canonical_timing_ok","delivered","Application packet created from the coupled runtime offered-bit arrival for this canonical slot/UE/direction."
"UL",3,3,"UL_ue3_frame1_pkt29","UL_ue3_frame1_pkt29","UL_ue3",1,4,4,4,0.0015,24000,0,0,24000,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,"runtime_offered_bits_canonical_slot_packet","","canonical_slot_enqueued","queued","Application packet created from the coupled runtime offered-bit arrival for this canonical slot/UE/direction."
"UL",4,4,"UL_ue4_frame1_pkt29","UL_ue4_frame1_pkt29","UL_ue4",1,4,4,4,0.0015,24000,0,0,24000,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,"runtime_offered_bits_canonical_slot_packet","","canonical_slot_enqueued","queued","Application packet created from the coupled runtime offered-bit arrival for this canonical slot/UE/direction."
"UL",1,1,"UL_ue1_frame1_pkt37","UL_ue1_frame1_pkt37","UL_ue1",1,5,5,5,0.002,24000,24000,24000,0,1,1,20,0.0095,1,1,24,24,0.0115,9.5,"runtime_offered_bits_canonical_slot_packet","harq_first_success_reassembly","canonical_timing_ok","delivered","Application packet created from the coupled runtime offered-bit arrival for this canonical slot/UE/direction."
"UL",2,2,"UL_ue2_frame1_pkt37","UL_ue2_frame1_pkt37","UL_ue2",1,5,5,5,0.002,24000,24000,24000,0,1,1,20,0.0095,1,1,24,24,0.0115,9.5,"runtime_offered_bits_canonical_slot_packet","harq_first_success_reassembly","canonical_timing_ok","delivered","Application packet created from the coupled runtime offered-bit arrival for this canonical slot/UE/direction."
"UL",3,3,"UL_ue3_frame1_pkt37","UL_ue3_frame1_pkt37","UL_ue3",1,5,5,5,0.002,24000,0,0,24000,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,"runtime_offered_bits_canonical_slot_packet","","canonical_slot_enqueued","queued","Application packet created from the coupled runtime offered-bit arrival for this canonical slot/UE/direction."
"UL",4,4,"UL_ue4_frame1_pkt37","UL_ue4_frame1_pkt37","UL_ue4",1,5,5,5,0.002,24000,0,0,24000,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,"runtime_offered_bits_canonical_slot_packet","","canonical_slot_enqueued","queued","Application packet created from the coupled runtime offered-bit arrival for this canonical slot/UE/direction."
"UL",1,1,"UL_ue1_frame1_pkt45","UL_ue1_frame1_pkt45","UL_ue1",1,6,6,6,0.0025,24000,24000,24000,0,1,1,20,0.0095,1,1,24,24,0.0115,9,"runtime_offered_bits_canonical_slot_packet","harq_first_success_reassembly","canonical_timing_ok","delivered","Application packet created from the coupled runtime offered-bit arrival for this canonical slot/UE/direction."
"UL",2,2,"UL_ue2_frame1_pkt45","UL_ue2_frame1_pkt45","UL_ue2",1,6,6,6,0.0025,24000,24000,24000,0,1,1,20,0.0095,1,1,24,24,0.0115,9,"runtime_offered_bits_canonical_slot_packet","harq_first_success_reassembly","canonical_timing_ok","delivered","Application packet created from the coupled runtime offered-bit arrival for this canonical slot/UE/direction."
"UL",3,3,"UL_ue3_frame1_pkt45","UL_ue3_frame1_pkt45","UL_ue3",1,6,6,6,0.0025,24000,0,0,24000,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,"runtime_offered_bits_canonical_slot_packet","","canonical_slot_enqueued","queued","Application packet created from the coupled runtime offered-bit arrival for this canonical slot/UE/direction."
"UL",4,4,"UL_ue4_frame1_pkt45","UL_ue4_frame1_pkt45","UL_ue4",1,6,6,6,0.0025,24000,0,0,24000,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,"runtime_offered_bits_canonical_slot_packet","","canonical_slot_enqueued","queued","Application packet created from the coupled runtime offered-bit arrival for this canonical slot/UE/direction."
"UL",1,1,"UL_ue1_frame1_pkt53","UL_ue1_frame1_pkt53","UL_ue1",1,7,7,7,0.003,36000,36000,36000,0,1,1,20,0.0095,1,1,24,24,0.0115,8.5,"runtime_offered_bits_canonical_slot_packet","harq_first_success_reassembly","canonical_timing_ok","delivered","Application packet created from the coupled runtime offered-bit arrival for this canonical slot/UE/direction."
"UL",2,2,"UL_ue2_frame1_pkt53","UL_ue2_frame1_pkt53","UL_ue2",1,7,7,7,0.003,36000,36000,36000,0,1,1,20,0.0095,1,1,24,24,0.0115,8.5,"runtime_offered_bits_canonical_slot_packet","harq_first_success_reassembly","canonical_timing_ok","delivered","Application packet created from the coupled runtime offered-bit arrival for this canonical slot/UE/direction."
"UL",3,3,"UL_ue3_frame1_pkt53","UL_ue3_frame1_pkt53","UL_ue3",1,7,7,7,0.003,36000,0,0,36000,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,"runtime_offered_bits_canonical_slot_packet","","canonical_slot_enqueued","queued","Application packet created from the coupled runtime offered-bit arrival for this canonical slot/UE/direction."
"UL",4,4,"UL_ue4_frame1_pkt53","UL_ue4_frame1_pkt53","UL_ue4",1,7,7,7,0.003,36000,0,0,36000,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,"runtime_offered_bits_canonical_slot_packet","","canonical_slot_enqueued","queued","Application packet created from the coupled runtime offered-bit arrival for this canonical slot/UE/direction."
"UL",1,1,"UL_ue1_frame1_pkt61","UL_ue1_frame1_pkt61","UL_ue1",1,8,8,8,0.0035,24000,20808,0,3192,1,0,20,0.0095,0,0,NaN,NaN,NaN,NaN,"runtime_offered_bits_canonical_slot_packet","","canonical_slot_enqueued","partially_scheduled","Application packet created from the coupled runtime offered-bit arrival for this canonical slot/UE/direction."
"UL",2,2,"UL_ue2_frame1_pkt61","UL_ue2_frame1_pkt61","UL_ue2",1,8,8,8,0.0035,24000,20808,0,3192,1,0,20,0.0095,0,0,NaN,NaN,NaN,NaN,"runtime_offered_bits_canonical_slot_packet","","canonical_slot_enqueued","partially_scheduled","Application packet created from the coupled runtime offered-bit arrival for this canonical slot/UE/direction."
"UL",3,3,"UL_ue3_frame1_pkt61","UL_ue3_frame1_pkt61","UL_ue3",1,8,8,8,0.0035,24000,0,0,24000,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,"runtime_offered_bits_canonical_slot_packet","","canonical_slot_enqueued","queued","Application packet created from the coupled runtime offered-bit arrival for this canonical slot/UE/direction."
"UL",4,4,"UL_ue4_frame1_pkt61","UL_ue4_frame1_pkt61","UL_ue4",1,8,8,8,0.0035,24000,0,0,24000,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,"runtime_offered_bits_canonical_slot_packet","","canonical_slot_enqueued","queued","Application packet created from the coupled runtime offered-bit arrival for this canonical slot/UE/direction."
"UL",1,1,"UL_ue1_frame1_pkt69","UL_ue1_frame1_pkt69","UL_ue1",1,9,9,9,0.004,24000,0,0,24000,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,"runtime_offered_bits_canonical_slot_packet","","canonical_slot_enqueued","queued","Application packet created from the coupled runtime offered-bit arrival for this canonical slot/UE/direction."
"UL",2,2,"UL_ue2_frame1_pkt69","UL_ue2_frame1_pkt69","UL_ue2",1,9,9,9,0.004,24000,0,0,24000,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,"runtime_offered_bits_canonical_slot_packet","","canonical_slot_enqueued","queued","Application packet created from the coupled runtime offered-bit arrival for this canonical slot/UE/direction."
"UL",3,3,"UL_ue3_frame1_pkt69","UL_ue3_frame1_pkt69","UL_ue3",1,9,9,9,0.004,24000,0,0,24000,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,"runtime_offered_bits_canonical_slot_packet","","canonical_slot_enqueued","queued","Application packet created from the coupled runtime offered-bit arrival for this canonical slot/UE/direction."
"UL",4,4,"UL_ue4_frame1_pkt69","UL_ue4_frame1_pkt69","UL_ue4",1,9,9,9,0.004,24000,0,0,24000,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,"runtime_offered_bits_canonical_slot_packet","","canonical_slot_enqueued","queued","Application packet created from the coupled runtime offered-bit arrival for this canonical slot/UE/direction."
"UL",1,1,"UL_ue1_frame1_pkt77","UL_ue1_frame1_pkt77","UL_ue1",1,10,10,10,0.0045,24000,0,0,24000,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,"runtime_offered_bits_canonical_slot_packet","","canonical_slot_enqueued","queued","Application packet created from the coupled runtime offered-bit arrival for this canonical slot/UE/direction."
"UL",2,2,"UL_ue2_frame1_pkt77","UL_ue2_frame1_pkt77","UL_ue2",1,10,10,10,0.0045,24000,0,0,24000,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,"runtime_offered_bits_canonical_slot_packet","","canonical_slot_enqueued","queued","Application packet created from the coupled runtime offered-bit arrival for this canonical slot/UE/direction."
