RunId,KPIName,Direction,Layer,MandatoryInScenarioObjective,FormulaId,RawEvidenceAvailable,ReconstructionPass,StrictOk,ScenarioObjectiveContribution,Status,FailureReason
"","UL_PHY_ScheduledThroughput_Mbps","UL","PHY",1,"UL_PHY_ScheduledThroughput_Mbps",1,1,1,"mandatory","pass",""
"","DL_PHY_ScheduledThroughput_Mbps","DL","PHY",1,"DL_PHY_ScheduledThroughput_Mbps",1,1,1,"mandatory","pass",""
"","UL_TB_Delivery_Goodput_Mbps","UL","PHY",1,"UL_TB_Delivery_Goodput_Mbps",1,1,1,"mandatory","pass",""
"","DL_TB_Delivery_Goodput_Mbps","DL","PHY",1,"DL_TB_Delivery_Goodput_Mbps",1,1,1,"mandatory","pass",""
"","UL_BLER","UL","PHY",1,"UL_BLER",1,1,1,"mandatory","pass",""
"","DL_BLER","DL","PHY",1,"DL_BLER",1,1,1,"mandatory","pass",""
"","UL_BER","UL","PHY",1,"UL_BER",1,1,1,"mandatory","pass",""
"","DL_BER","DL","PHY",1,"DL_BER",1,1,1,"mandatory","pass",""
"","UL_Goodput_Max_Mbps","UL","PHY",1,"UL_Goodput_Max_Mbps",1,1,1,"mandatory","pass",""
"","DL_Goodput_Max_Mbps","DL","PHY",1,"DL_Goodput_Max_Mbps",1,1,1,"mandatory","pass",""
"","UL_SpectralEfficiency_bpsHz","UL","PHY",0,"UL_SpectralEfficiency_bpsHz",1,1,1,"optional","pass",""
"","DL_SpectralEfficiency_bpsHz","DL","PHY",0,"DL_SpectralEfficiency_bpsHz",1,1,1,"optional","pass",""
"","UL_MAC_Goodput_Mbps","UL","MAC",0,"UL_MAC_Goodput_Mbps",1,1,1,"optional","pass",""
"","DL_MAC_Goodput_Mbps","DL","MAC",0,"DL_MAC_Goodput_Mbps",1,1,1,"optional","pass",""
"","UL_Application_Goodput_Mbps","UL","application",0,"UL_Application_Goodput_Mbps",1,1,1,"optional","pass",""
"","DL_Application_Goodput_Mbps","DL","application",0,"DL_Application_Goodput_Mbps",1,1,1,"optional","pass",""
"","UL_HARQ_NACK_Rate","UL","HARQ",0,"UL_HARQ_NACK_Rate",0,0,0,"not_configured","not_applicable","not_in_current_reconstruction_scope"
"","DL_HARQ_NACK_Rate","DL","HARQ",0,"DL_HARQ_NACK_Rate",0,0,0,"not_configured","not_applicable","not_in_current_reconstruction_scope"
"","UL_Retransmission_Rate","UL","HARQ",0,"UL_Retransmission_Rate",0,0,0,"not_configured","not_applicable","not_in_current_reconstruction_scope"
"","DL_Retransmission_Rate","DL","HARQ",0,"DL_Retransmission_Rate",0,0,0,"not_configured","not_applicable","not_in_current_reconstruction_scope"
"","UL_PRB_Utilization","UL","scheduler",0,"UL_PRB_Utilization",0,0,0,"not_configured","not_applicable","not_in_current_reconstruction_scope"
"","DL_PRB_Utilization","DL","scheduler",0,"DL_PRB_Utilization",0,0,0,"not_configured","not_applicable","not_in_current_reconstruction_scope"
"","UL_Latency_ms","UL","traffic",0,"UL_Latency_ms",1,1,1,"optional","pass",""
"","DL_Latency_ms","DL","traffic",0,"DL_Latency_ms",1,1,1,"optional","pass",""
"","Scenario_Total_UL_DeliveredBits","scenario","PHY",1,"Scenario_Total_UL_DeliveredBits",1,1,1,"mandatory","pass",""
"","Scenario_Total_DL_DeliveredBits","scenario","PHY",1,"Scenario_Total_DL_DeliveredBits",1,1,1,"mandatory","pass",""
"","Scenario_Total_UL_ScheduledBits","scenario","PHY",1,"Scenario_Total_UL_ScheduledBits",1,1,1,"mandatory","pass",""
"","Scenario_Total_DL_ScheduledBits","scenario","PHY",1,"Scenario_Total_DL_ScheduledBits",1,1,1,"mandatory","pass",""
