RunId,KPIName,Direction,FormulaId,FormulaVersion,Value,NumeratorValue,DenominatorValue,AggregationDurationSec,DurationSource,RadioDurationOk,SourceTablePaths,SourceRowCount,EligibleRowCount,SourceRowsHash,ProxyRowsExcluded,SkippedRowsExcluded,HARQDeduplicationApplied,DuplicateDeliveryCount,ReconstructionPass,StrictOk,Status,FailureReason
"","UL_Goodput_Max_Mbps","UL","UL_Goodput_Max_Mbps","kpi_registry_v1",401.616,401.616,0.01,0.01,"measurement_window:configured_measurement_window_sec",1,"air_interface/csv/ul_pusch_trials.csv",2,2,"3128651c38e004f4cb86eb919ee4d3cae0fb222366a59469ca95f92c66136f46",0,0,1,0,1,1,"pass",""
"","DL_Goodput_Max_Mbps","DL","DL_Goodput_Max_Mbps","kpi_registry_v1",368.848,368.848,0.01,0.01,"measurement_window:configured_measurement_window_sec",1,"air_interface/csv/dl_pdsch_trials.csv",6,6,"22c517df3ece36be7757f77ff9ec814a0e77e52855716747965c614845e1aac0",0,0,1,0,1,1,"pass",""
"","UL_PHY_ScheduledThroughput_Mbps","UL","UL_PHY_ScheduledThroughput_Mbps","kpi_registry_v1",803.232,401616,0.0005,0.0005,"scheduled_resource_exposure:configured_measurement_window_sec",1,"air_interface/csv/ul_pusch_trials.csv",2,2,"3128651c38e004f4cb86eb919ee4d3cae0fb222366a59469ca95f92c66136f46",0,0,0,0,1,1,"pass",""
"","DL_PHY_ScheduledThroughput_Mbps","DL","DL_PHY_ScheduledThroughput_Mbps","kpi_registry_v1",737.696,1106544,0.0015,0.0015,"scheduled_resource_exposure:configured_measurement_window_sec",1,"air_interface/csv/dl_pdsch_trials.csv",6,6,"22c517df3ece36be7757f77ff9ec814a0e77e52855716747965c614845e1aac0",0,0,0,0,1,1,"pass",""
"","UL_TB_Delivery_Goodput_Mbps","UL","UL_TB_Delivery_Goodput_Mbps","kpi_registry_v1",40.1616,401616,0.01,0.01,"measurement_window:configured_measurement_window_sec",1,"air_interface/csv/ul_pusch_trials.csv",2,2,"3128651c38e004f4cb86eb919ee4d3cae0fb222366a59469ca95f92c66136f46",0,0,1,0,1,1,"pass",""
"","DL_TB_Delivery_Goodput_Mbps","DL","DL_TB_Delivery_Goodput_Mbps","kpi_registry_v1",110.6544,1106544,0.01,0.01,"measurement_window:configured_measurement_window_sec",1,"air_interface/csv/dl_pdsch_trials.csv",6,6,"22c517df3ece36be7757f77ff9ec814a0e77e52855716747965c614845e1aac0",0,0,1,0,1,1,"pass",""
"","UL_SpectralEfficiency_bpsHz","UL","UL_SpectralEfficiency_bpsHz","kpi_registry_v1",0.401616,401616,0.01,0.01,"measurement_window:configured_measurement_window_sec",1,"air_interface/csv/ul_pusch_trials.csv",2,2,"3128651c38e004f4cb86eb919ee4d3cae0fb222366a59469ca95f92c66136f46",0,0,0,0,1,1,"pass",""
"","DL_SpectralEfficiency_bpsHz","DL","DL_SpectralEfficiency_bpsHz","kpi_registry_v1",1.106544,1106544,0.01,0.01,"measurement_window:configured_measurement_window_sec",1,"air_interface/csv/dl_pdsch_trials.csv",6,6,"22c517df3ece36be7757f77ff9ec814a0e77e52855716747965c614845e1aac0",0,0,0,0,1,1,"pass",""
"","UL_Latency_ms","UL","UL_Latency_ms","kpi_registry_v1",10,10,2,0.01,"configured_measurement_window_sec",1,"air_interface/csv/ul_pusch_trials.csv",2,2,"3128651c38e004f4cb86eb919ee4d3cae0fb222366a59469ca95f92c66136f46",0,0,0,0,1,1,"pass",""
"","DL_Latency_ms","DL","DL_Latency_ms","kpi_registry_v1",6.33333333333333,6.33333333333333,6,0.01,"configured_measurement_window_sec",1,"air_interface/csv/dl_pdsch_trials.csv",6,6,"22c517df3ece36be7757f77ff9ec814a0e77e52855716747965c614845e1aac0",0,0,0,0,1,1,"pass",""
"","UL_BLER","UL","UL_BLER","kpi_registry_v1",0,NaN,2,0.01,"configured_measurement_window_sec",1,"air_interface/csv/ul_pusch_trials.csv",2,2,"3128651c38e004f4cb86eb919ee4d3cae0fb222366a59469ca95f92c66136f46",0,0,0,0,1,1,"pass",""
"","DL_BLER","DL","DL_BLER","kpi_registry_v1",0,NaN,6,0.01,"configured_measurement_window_sec",1,"air_interface/csv/dl_pdsch_trials.csv",6,6,"22c517df3ece36be7757f77ff9ec814a0e77e52855716747965c614845e1aac0",0,0,0,0,1,1,"pass",""
"","UL_BER","UL","UL_BER","kpi_registry_v1",0,NaN,2,0.01,"configured_measurement_window_sec",1,"air_interface/csv/ul_pusch_trials.csv",2,2,"3128651c38e004f4cb86eb919ee4d3cae0fb222366a59469ca95f92c66136f46",0,0,0,0,1,1,"pass",""
"","DL_BER","DL","DL_BER","kpi_registry_v1",0,NaN,6,0.01,"configured_measurement_window_sec",1,"air_interface/csv/dl_pdsch_trials.csv",6,6,"22c517df3ece36be7757f77ff9ec814a0e77e52855716747965c614845e1aac0",0,0,0,0,1,1,"pass",""
"","Scenario_Total_UL_DeliveredBits","UL","Scenario_Total_UL_DeliveredBits","kpi_registry_v1",401616,401616,2,0.01,"configured_measurement_window_sec",1,"air_interface/csv/ul_pusch_trials.csv",2,2,"3128651c38e004f4cb86eb919ee4d3cae0fb222366a59469ca95f92c66136f46",0,0,0,0,1,1,"pass",""
"","Scenario_Total_DL_DeliveredBits","DL","Scenario_Total_DL_DeliveredBits","kpi_registry_v1",1106544,1106544,6,0.01,"configured_measurement_window_sec",1,"air_interface/csv/dl_pdsch_trials.csv",6,6,"22c517df3ece36be7757f77ff9ec814a0e77e52855716747965c614845e1aac0",0,0,0,0,1,1,"pass",""
"","Scenario_Total_UL_ScheduledBits","UL","Scenario_Total_UL_ScheduledBits","kpi_registry_v1",401616,401616,2,0.01,"configured_measurement_window_sec",1,"air_interface/csv/ul_pusch_trials.csv",2,2,"3128651c38e004f4cb86eb919ee4d3cae0fb222366a59469ca95f92c66136f46",0,0,0,0,1,1,"pass",""
"","Scenario_Total_DL_ScheduledBits","DL","Scenario_Total_DL_ScheduledBits","kpi_registry_v1",1106544,1106544,6,0.01,"configured_measurement_window_sec",1,"air_interface/csv/dl_pdsch_trials.csv",6,6,"22c517df3ece36be7757f77ff9ec814a0e77e52855716747965c614845e1aac0",0,0,0,0,1,1,"pass",""
"","UL_MAC_Goodput_Mbps","UL","UL_MAC_Goodput_Mbps","kpi_registry_v1",40.1616,401616,0.01,0.01,"measurement_window:packet_delivery_measurement_window",1,"C:\Users\anup0\OneDrive\Documents\Simulator\6GR Simulator_v2_clean_main\artifacts\packet_flow\csv\live_packet_sdu_delivery_ledger.csv",16,16,"923bac22f3e8bd4a2d1c625ca8088b183c9a16b0bbfe1be3c696382dd6a61e84",0,0,1,0,1,1,"pass",""
"","DL_MAC_Goodput_Mbps","DL","DL_MAC_Goodput_Mbps","kpi_registry_v1",110.6544,1106544,0.01,0.01,"measurement_window:packet_delivery_measurement_window",1,"C:\Users\anup0\OneDrive\Documents\Simulator\6GR Simulator_v2_clean_main\artifacts\packet_flow\csv\live_packet_sdu_delivery_ledger.csv",48,48,"b2470adfe84faa2d46bae0a90bd00723e9a97cf9f16cc8eb5cbea3e3f8ad0ebe",0,0,1,0,1,1,"pass",""
"","UL_Application_Goodput_Mbps","UL","UL_Application_Goodput_Mbps","kpi_registry_v1",36,360000,0.01,0.01,"measurement_window:packet_delivery_measurement_window",1,"C:\Users\anup0\OneDrive\Documents\Simulator\6GR Simulator_v2_clean_main\artifacts\packet_flow\csv\live_application_packet_delivery_ledger.csv",80,80,"c9fa1eafbc5ae54a102ab511082d9e9e5ea71168741a82e3cfcaabd6e2eca68d",0,0,1,0,1,1,"pass",""
"","DL_Application_Goodput_Mbps","DL","DL_Application_Goodput_Mbps","kpi_registry_v1",108,1080000,0.01,0.01,"measurement_window:packet_delivery_measurement_window",1,"C:\Users\anup0\OneDrive\Documents\Simulator\6GR Simulator_v2_clean_main\artifacts\packet_flow\csv\live_application_packet_delivery_ledger.csv",80,80,"ad0321c08c4e6633195437588f74cd71c94690ea0f98fe323ac1a435d31756c8",0,0,1,0,1,1,"pass",""
