Case,Ok,Skipped,BER,BLER,Throughput_Mbps,EVM_rms,PAPR_CP_dB,NMSE_dB,Notes,TrialCount,PassCount,FailCount,CrashCount,RequestedChannelModel,ObservedChannelModel,FallbackUsed
"CellSearch_MIB_SIB1",1,0,NaN,0,NaN,NaN,NaN,NaN,"PBCH geometry-driven; geometry_driven=true; measured_sinr_source=PostEqSINR_dB; measured_sinr_range_db=[157,157]",4,4,0,0,"CDL-C","CDL-C",0
"PRACH_Detection",1,0,NaN,0,NaN,NaN,NaN,NaN,"PRACH geometry-driven; geometry_driven=true; measured_sinr_source=not_applicable_or_unavailable",4,4,0,0,"CDL-C","CDL-C",0
"DL_PDSCH_Throughput",0,0,0.340720296707587,1,0,0.853109171433273,NaN,NaN,"DL geometry-driven; geometry_driven=true; measured_sinr_source=PostEqSINR_dB; measured_sinr_range_db=[-1.98,11]; steady_state_warmup_rows_excluded=true",6,0,6,0,"CDL-C","CDL-C",0
"UL_PUSCH_Throughput",0,0,0.23396727222023,1,0,0.56039339188222,NaN,NaN,"UL geometry-driven; geometry_driven=true; measured_sinr_source=PostEqSINR_dB; measured_sinr_range_db=[4.9,5.43]; steady_state_warmup_rows_excluded=true",2,0,2,0,"CDL-C","CDL-C",0
"UL_SRS_ChannelEst",1,0,NaN,NaN,NaN,NaN,NaN,-48.3229948823695,"SRS geometry-driven; nmse_source=srs_trials.NMSE_dB; measured_sinr_source=MeasuredSINR_dB; measured_sinr_range_db=[34.5,35.5]",4,4,0,0,"CDL-C","CDL-C",0
"UL_LowPAPR",1,0,NaN,NaN,NaN,NaN,10.9528919292776,NaN,"UL low-PAPR geometry-driven; papr_source=ul_pusch_trials.PAPR_dB; measured_sinr_source=PostEqSINR_dB; measured_sinr_range_db=[4.9,5.43]; dfts_comparison_unavailable_without_transform_precoding_trials",NaN,NaN,NaN,NaN,"","",0
