Direction,CapturePoint,Channels,SamplesPerChannel,SampleRateHz,CenterFrequencyHz,StartSample,CommonEndpointFullScale,SourcePort1,SourcePort2,JointRecording,ExactPortArrayReadback,Resampled,AdditionalNoiseApplied,WaveformRegenerated,KeysightImportVerified,Representation
DL,TX,2,4915200,491520000,7000000000,0,0.0355755268393569,C:\Users\anup0\OneDrive\Documents\Simulator\6GR Simulator_v2_clean_main\logs\research_selected_iq_6be2985f_20260917\execution\lls\lls_7ghz_400mhz_1024qam_tdd_30db_rate082_iq\committed_source\waveform\dl_tx\port_1_vsa.mat,C:\Users\anup0\OneDrive\Documents\Simulator\6GR Simulator_v2_clean_main\logs\research_selected_iq_6be2985f_20260917\execution\lls\lls_7ghz_400mhz_1024qam_tdd_30db_rate082_iq\committed_source\waveform\dl_tx\port_2_vsa.mat,C:\Users\anup0\OneDrive\Documents\Simulator\6GR Simulator_v2_clean_main\logs\research_selected_iq_6be2985f_20260917\keysight_two_channel_vsa\dl_tx_two_channel_vsa.mat,1,0,0,0,0,normalized_playback_not_dBm
DL,RX,2,4915200,491520000,7000000000,0,0.0357951534305641,C:\Users\anup0\OneDrive\Documents\Simulator\6GR Simulator_v2_clean_main\logs\research_selected_iq_6be2985f_20260917\execution\lls\lls_7ghz_400mhz_1024qam_tdd_30db_rate082_iq\committed_source\waveform\dl_rx\port_1_vsa.mat,C:\Users\anup0\OneDrive\Documents\Simulator\6GR Simulator_v2_clean_main\logs\research_selected_iq_6be2985f_20260917\execution\lls\lls_7ghz_400mhz_1024qam_tdd_30db_rate082_iq\committed_source\waveform\dl_rx\port_2_vsa.mat,C:\Users\anup0\OneDrive\Documents\Simulator\6GR Simulator_v2_clean_main\logs\research_selected_iq_6be2985f_20260917\keysight_two_channel_vsa\dl_rx_two_channel_vsa.mat,1,0,0,0,0,normalized_playback_not_dBm
UL,TX,2,4915200,491520000,7000000000,0,0.0390903083864413,C:\Users\anup0\OneDrive\Documents\Simulator\6GR Simulator_v2_clean_main\logs\research_selected_iq_6be2985f_20260917\execution\lls\lls_7ghz_400mhz_1024qam_tdd_30db_rate082_iq\committed_source\waveform\ul_tx\port_1_vsa.mat,C:\Users\anup0\OneDrive\Documents\Simulator\6GR Simulator_v2_clean_main\logs\research_selected_iq_6be2985f_20260917\execution\lls\lls_7ghz_400mhz_1024qam_tdd_30db_rate082_iq\committed_source\waveform\ul_tx\port_2_vsa.mat,C:\Users\anup0\OneDrive\Documents\Simulator\6GR Simulator_v2_clean_main\logs\research_selected_iq_6be2985f_20260917\keysight_two_channel_vsa\ul_tx_two_channel_vsa.mat,1,0,0,0,0,normalized_playback_not_dBm
UL,RX,2,4915200,491520000,7000000000,0,0.0387101131706125,C:\Users\anup0\OneDrive\Documents\Simulator\6GR Simulator_v2_clean_main\logs\research_selected_iq_6be2985f_20260917\execution\lls\lls_7ghz_400mhz_1024qam_tdd_30db_rate082_iq\committed_source\waveform\ul_rx\port_1_vsa.mat,C:\Users\anup0\OneDrive\Documents\Simulator\6GR Simulator_v2_clean_main\logs\research_selected_iq_6be2985f_20260917\execution\lls\lls_7ghz_400mhz_1024qam_tdd_30db_rate082_iq\committed_source\waveform\ul_rx\port_2_vsa.mat,C:\Users\anup0\OneDrive\Documents\Simulator\6GR Simulator_v2_clean_main\logs\research_selected_iq_6be2985f_20260917\keysight_two_channel_vsa\ul_rx_two_channel_vsa.mat,1,0,0,0,0,normalized_playback_not_dBm
