CaseID,ChannelModel,ConcreteProfile,Rank,Modulation,NumerologyKHz,MappingType,DMRSConfigurationType,DMRSLength,DMRSAdditionalPosition,DMRSMultiplexing,DMRSPortSet,PTRSEnabled,ReservationApplied,ReservationSource,ReservedRECount,BaselineG,ReservedG,ReservationReducedG,RV,PRBSet,PrecodingMode,PrecodingPageCount,SNRdB,Trials,TBErrors,BLER,MeasuredSINRdB,ChannelEstimateSource,PostEqSINRSource,ChannelEstimateScope,ExecutionBackend,Status
TRUTH-COV-003-positive,TDL-A,TDL-A,2,64QAM,30,A,2,1,2,basic,0|1,0,0,not_requested,0,11232,11232,0,0,0|1|2|3|4|5,wideband_codebook,1,65,1,0,0,51.0760605781623,nrChannelEstimate,transmitted_symbol_referenced_equalized_evm,dmrs_backed_resource_selective_effective_layer_channel,PDSCHTransmitter>38.901_channel>PDSCHReceiver,PASS
TRUTH-COV-003-reserved_re,TDL-A,TDL-A,2,64QAM,30,A,2,1,2,basic,0|1,0,1,RateMatchPattern,3,11232,11196,1,0,0|1|2|3|4|5,wideband_codebook,1,65,1,0,0,51.1117863740097,nrChannelEstimate,transmitted_symbol_referenced_equalized_evm,dmrs_backed_resource_selective_effective_layer_channel,PDSCHTransmitter>38.901_channel>PDSCHReceiver,PASS
TRUTH-COV-003-impairment,TDL-A,TDL-A,2,64QAM,30,A,2,1,2,basic,0|1,0,0,not_requested,0,11232,11232,0,0,0|1|2|3|4|5,wideband_codebook,1,55,1,0,0,50.1727313551056,nrChannelEstimate,transmitted_symbol_referenced_equalized_evm,dmrs_backed_resource_selective_effective_layer_channel,PDSCHTransmitter>38.901_channel>PDSCHReceiver,PASS
TRUTH-COV-004-positive,TDL-A,TDL-A,2,1024QAM,30,B,2,1,2,basic,0|1,1,0,not_requested,0,17040,17040,0,0,0|1|2|3|4|5,wideband_codebook,1,65,1,0,0,49.9743286585697,nrChannelEstimate,transmitted_symbol_referenced_equalized_evm,dmrs_backed_resource_selective_effective_layer_channel,PDSCHTransmitter>38.901_channel>PDSCHReceiver,PASS
TRUTH-COV-004-reserved_re,TDL-A,TDL-A,2,1024QAM,30,B,2,1,2,basic,0|1,1,1,RateMatchPattern,3,17040,16980,1,0,0|1|2|3|4|5,wideband_codebook,1,65,1,0,0,49.9436716372902,nrChannelEstimate,transmitted_symbol_referenced_equalized_evm,dmrs_backed_resource_selective_effective_layer_channel,PDSCHTransmitter>38.901_channel>PDSCHReceiver,PASS
TRUTH-COV-004-impairment,TDL-A,TDL-A,2,1024QAM,30,B,2,1,2,basic,0|1,1,0,not_requested,0,17040,17040,0,0,0|1|2|3|4|5,wideband_codebook,1,55,1,0,0,49.4101846269803,nrChannelEstimate,transmitted_symbol_referenced_equalized_evm,dmrs_backed_resource_selective_effective_layer_channel,PDSCHTransmitter>38.901_channel>PDSCHReceiver,PASS
TRUTH-COV-005-positive,CDL-C,CDL-C,3,256QAM,60,A,1,1,3,basic,0|1|2,1,0,not_requested,0,16920,16920,0,0,0|1|2|3|4|5,prg_codebook,3,65,1,0,0,44.1009837040875,nrChannelEstimate_prg_stitched,transmitted_symbol_referenced_equalized_evm,dmrs_backed_resource_selective_effective_layer_channel,PDSCHTransmitter>38.901_channel>PDSCHReceiver,PASS
TRUTH-COV-005-reserved_re,CDL-C,CDL-C,3,256QAM,60,A,1,1,3,basic,0|1|2,1,1,RateMatchPattern,3,16920,16848,1,0,0|1|2|3|4|5,prg_codebook,3,65,1,0,0,43.8862955156671,nrChannelEstimate_prg_stitched,transmitted_symbol_referenced_equalized_evm,dmrs_backed_resource_selective_effective_layer_channel,PDSCHTransmitter>38.901_channel>PDSCHReceiver,PASS
TRUTH-COV-005-impairment,CDL-C,CDL-C,3,256QAM,60,A,1,1,3,basic,0|1|2,1,0,not_requested,0,16920,16920,0,0,0|1|2|3|4|5,prg_codebook,3,55,1,0,0,43.7838148652832,nrChannelEstimate_prg_stitched,transmitted_symbol_referenced_equalized_evm,dmrs_backed_resource_selective_effective_layer_channel,PDSCHTransmitter>38.901_channel>PDSCHReceiver,PASS
TRUTH-COV-006-positive,CDL-C,CDL-C,3,QPSK,60,B,1,2,1,basic,0|1|2,0,0,not_requested,0,3888,3888,0,0,0|1|2|3|4|5,prg_codebook,3,65,1,0,0,43.4336896229338,nrChannelEstimate_prg_stitched,transmitted_symbol_referenced_equalized_evm,dmrs_backed_resource_selective_effective_layer_channel,PDSCHTransmitter>38.901_channel>PDSCHReceiver,PASS
