CaseID,Rank,NumCodewords,MappingType,DMRSConfigurationType,DMRSLength,DMRSAdditionalPosition,DMRSMultiplexing,PTRSEnabled,Modulation,RV,RVSequence,PrecodingMode,NumerologyKHz,PRBSet,AllocationShape,ReservationMode,ReservationSourceCount,ReservationOverlapMultiplicity,ReservedRECount,DeclaredChannelModel,ExecutionChannelModel,FadingTruthAnchorCaseID,ProductionTXExecuted,ProductionRXExecuted,SingleTransmissionCRCPass,HARQCombiningApplied,CRCPass,GenerationPolicy,PairUniverseDefinition,RequiredPairCount,CoveredPairCount,MissingPairCount,PairCoverageSHA256,Status
PAIR-032,8,2,A,2,1,3,enhanced,0,64QAM,2,2,prg_codebook,30,0|1|2|3,contiguous,single,1,0,3,CDL-C,CDL-C,TRUTH-PAIR-032-pairwise,1,1,1,0,1,deterministic_materialized_factor_covering_array_v2,independently_enumerated_feasible_pairs_over_mandatory_domains_with_dmrs_rank_constraints,1046,1046,0,03764ebea578c4c351bb751350951162adab1912ecd5206955d3cef2b3cf0243,PASS
PAIR-033,2,1,A,2,1,2,enhanced,0,1024QAM,3,3,prg_noncodebook,15,0|1|2|3,contiguous,overlapping,3,6,7,TDL-A,TDL-A,TRUTH-PAIR-033-pairwise,1,1,1,0,1,deterministic_materialized_factor_covering_array_v2,independently_enumerated_feasible_pairs_over_mandatory_domains_with_dmrs_rank_constraints,1046,1046,0,03764ebea578c4c351bb751350951162adab1912ecd5206955d3cef2b3cf0243,PASS
PAIR-034,2,1,B,1,1,3,enhanced,0,QPSK,1,1,wideband_codebook,60,0|1|2|3,contiguous,none,0,0,0,AWGN,AWGN,,1,1,1,0,1,deterministic_materialized_factor_covering_array_v2,independently_enumerated_feasible_pairs_over_mandatory_domains_with_dmrs_rank_constraints,1046,1046,0,03764ebea578c4c351bb751350951162adab1912ecd5206955d3cef2b3cf0243,PASS
PAIR-035,5,2,B,1,1,2,enhanced,1,QPSK,3,3,prg_codebook,120,0|2|3,noncontiguous,none,0,0,0,AWGN,AWGN,,1,1,1,0,1,deterministic_materialized_factor_covering_array_v2,independently_enumerated_feasible_pairs_over_mandatory_domains_with_dmrs_rank_constraints,1046,1046,0,03764ebea578c4c351bb751350951162adab1912ecd5206955d3cef2b3cf0243,PASS
PAIR-036,1,1,B,2,1,2,basic,1,64QAM,3,3,prg_codebook,120,0|2|3,noncontiguous,single,1,0,3,CDL-C,CDL-C,TRUTH-PAIR-036-pairwise,1,1,1,0,1,deterministic_materialized_factor_covering_array_v2,independently_enumerated_feasible_pairs_over_mandatory_domains_with_dmrs_rank_constraints,1046,1046,0,03764ebea578c4c351bb751350951162adab1912ecd5206955d3cef2b3cf0243,PASS
PAIR-037,8,2,A,2,2,1,basic,1,256QAM,3,3,prg_noncodebook,120,0|2|3,noncontiguous,overlapping,3,6,7,TDL-A,TDL-A,TRUTH-PAIR-037-pairwise,1,1,1,0,1,deterministic_materialized_factor_covering_array_v2,independently_enumerated_feasible_pairs_over_mandatory_domains_with_dmrs_rank_constraints,1046,1046,0,03764ebea578c4c351bb751350951162adab1912ecd5206955d3cef2b3cf0243,PASS
PAIR-038,4,1,A,1,1,3,basic,1,16QAM,3,3,prg_noncodebook,120,0|2|3,noncontiguous,overlapping,3,6,7,TDL-A,TDL-A,TRUTH-PAIR-038-pairwise,1,1,1,0,1,deterministic_materialized_factor_covering_array_v2,independently_enumerated_feasible_pairs_over_mandatory_domains_with_dmrs_rank_constraints,1046,1046,0,03764ebea578c4c351bb751350951162adab1912ecd5206955d3cef2b3cf0243,PASS
PAIR-039,5,2,B,1,2,0,enhanced,0,256QAM,2,0,prg_codebook,60,0|1|2|3,contiguous,single,1,0,3,CDL-C,CDL-C,TRUTH-PAIR-039-pairwise,1,1,0,0,1,deterministic_materialized_factor_covering_array_v2,independently_enumerated_feasible_pairs_over_mandatory_domains_with_dmrs_rank_constraints,1046,1046,0,03764ebea578c4c351bb751350951162adab1912ecd5206955d3cef2b3cf0243,PASS
PAIR-040,2,1,A,2,2,1,enhanced,0,256QAM,0,0,wideband_codebook,15,0|1|2|3,contiguous,none,0,0,0,AWGN,AWGN,,1,1,1,0,1,deterministic_materialized_factor_covering_array_v2,independently_enumerated_feasible_pairs_over_mandatory_domains_with_dmrs_rank_constraints,1046,1046,0,03764ebea578c4c351bb751350951162adab1912ecd5206955d3cef2b3cf0243,PASS
PAIR-041,8,2,B,2,2,0,enhanced,0,QPSK,2,2,wideband_codebook,60,0|1|2|3,contiguous,overlapping,3,6,7,TDL-A,TDL-A,TRUTH-PAIR-041-pairwise,1,1,1,0,1,deterministic_materialized_factor_covering_array_v2,independently_enumerated_feasible_pairs_over_mandatory_domains_with_dmrs_rank_constraints,1046,1046,0,03764ebea578c4c351bb751350951162adab1912ecd5206955d3cef2b3cf0243,PASS
PAIR-042,7,2,A,2,1,0,enhanced,1,16QAM,1,0,prg_codebook,60,0|2|3,noncontiguous,single,1,0,3,CDL-C,CDL-C,TRUTH-PAIR-042-pairwise,1,1,0,0,1,deterministic_materialized_factor_covering_array_v2,independently_enumerated_feasible_pairs_over_mandatory_domains_with_dmrs_rank_constraints,1046,1046,0,03764ebea578c4c351bb751350951162adab1912ecd5206955d3cef2b3cf0243,PASS
PAIR-043,6,2,B,1,2,1,enhanced,0,1024QAM,0,0,prg_noncodebook,15,0|1|2|3,contiguous,overlapping,3,6,7,TDL-A,TDL-A,TRUTH-PAIR-043-pairwise,1,1,1,0,1,deterministic_materialized_factor_covering_array_v2,independently_enumerated_feasible_pairs_over_mandatory_domains_with_dmrs_rank_constraints,1046,1046,0,03764ebea578c4c351bb751350951162adab1912ecd5206955d3cef2b3cf0243,PASS
PAIR-044,5,2,B,2,1,2,enhanced,0,16QAM,2,2,wideband_codebook,60,0|1|2|3,contiguous,none,0,0,0,AWGN,AWGN,,1,1,1,0,1,deterministic_materialized_factor_covering_array_v2,independently_enumerated_feasible_pairs_over_mandatory_domains_with_dmrs_rank_constraints,1046,1046,0,03764ebea578c4c351bb751350951162adab1912ecd5206955d3cef2b3cf0243,PASS
PAIR-045,6,2,B,2,1,3,enhanced,0,64QAM,0,0,prg_codebook,15,0|1|2|3,contiguous,single,1,0,3,CDL-C,CDL-C,TRUTH-PAIR-045-pairwise,1,1,1,0,1,deterministic_materialized_factor_covering_array_v2,independently_enumerated_feasible_pairs_over_mandatory_domains_with_dmrs_rank_constraints,1046,1046,0,03764ebea578c4c351bb751350951162adab1912ecd5206955d3cef2b3cf0243,PASS
PAIR-046,8,2,B,1,2,0,basic,1,16QAM,2,0,prg_noncodebook,15,0|2|3,noncontiguous,overlapping,3,6,7,TDL-A,TDL-A,TRUTH-PAIR-046-pairwise,1,1,0,0,1,deterministic_materialized_factor_covering_array_v2,independently_enumerated_feasible_pairs_over_mandatory_domains_with_dmrs_rank_constraints,1046,1046,0,03764ebea578c4c351bb751350951162adab1912ecd5206955d3cef2b3cf0243,PASS
PAIR-047,8,2,B,2,1,2,enhanced,1,1024QAM,0,0|2,prg_noncodebook,60,0|2|3,noncontiguous,overlapping,3,6,7,TDL-A,TDL-A,TRUTH-PAIR-047-pairwise,1,1,0,1,1,deterministic_materialized_factor_covering_array_v2,independently_enumerated_feasible_pairs_over_mandatory_domains_with_dmrs_rank_constraints,1046,1046,0,03764ebea578c4c351bb751350951162adab1912ecd5206955d3cef2b3cf0243,PASS
PAIR-048,8,2,B,2,2,1,enhanced,0,1024QAM,1,0,wideband_codebook,120,0|1|2|3,contiguous,none,0,0,0,AWGN,AWGN,,1,1,0,0,1,deterministic_materialized_factor_covering_array_v2,independently_enumerated_feasible_pairs_over_mandatory_domains_with_dmrs_rank_constraints,1046,1046,0,03764ebea578c4c351bb751350951162adab1912ecd5206955d3cef2b3cf0243,PASS
