CaseID,TestKind,Rank,Modulation,ChannelModel,ProductionTXExecuted,ProductionRXExecuted,ExpectedStatus,ActualStatus,ErrorIdentifier,Status,ExecutionBackend,ChannelEstimateScope,ReceiverCRCPass,EvidenceDetail
COV-003,positive,2,64QAM,TDL-A,1,1,PASS,PASS,,PASS,canonical_pdsch_tx_channel_rx,dmrs_backed_resource_selective_effective_layer_channel,1,single_canonical_fading_tx_channel_rx_execution
COV-003,no_signal,2,64QAM,TDL-A,0,1,PASS,PASS,sixgr:pdsch:PDSCHReceiver:NoReceivedSignal,PASS,canonical_receiver_input_validation,receiver_input_validation_before_ofdm,0,typed_all_zero_receiver_rejection
COV-003,wrong_rnti,2,64QAM,TDL-A,0,0,PASS,PASS,sixgr:pdsch:DCIRNTIMismatch,PASS,canonical_assignment_validation,pre_tx_validation_only,0,typed_dci_rnti_rejection_before_tx
COV-003,wrong_dmrs,2,64QAM,TDL-A,0,0,PASS,PASS,sixgr:pdsch:DMRSPortUnsupportedForConfiguration,PASS,canonical_dmrs_configuration_validation,pre_tx_validation_only,0,typed_invalid_dmrs_rejection_before_tx
COV-003,wrong_rv,2,64QAM,TDL-A,0,0,PASS,PASS,sixgr:pdsch:DLSCHCodingPlan:BadInteger,PASS,canonical_dlsch_coding_plan_validation,pre_tx_validation_only,0,typed_invalid_rv_rejection_before_tx
COV-003,reserved_re,2,64QAM,TDL-A,1,1,PASS,PASS,,PASS,canonical_pdsch_tx_channel_rx,dmrs_backed_resource_selective_effective_layer_channel,1,single_canonical_fading_reserved_tx_channel_rx_execution
COV-003,impairment,2,64QAM,TDL-A,1,1,PASS,PASS,,PASS,canonical_pdsch_tx_channel_rx,dmrs_backed_resource_selective_effective_layer_channel,1,single_canonical_fading_phase_noise_tx_channel_rx_execution
COV-004,positive,2,1024QAM,TDL-A,1,1,PASS,PASS,,PASS,canonical_pdsch_tx_channel_rx,dmrs_backed_resource_selective_effective_layer_channel,1,single_canonical_fading_tx_channel_rx_execution
COV-004,no_signal,2,1024QAM,TDL-A,0,1,PASS,PASS,sixgr:pdsch:PDSCHReceiver:NoReceivedSignal,PASS,canonical_receiver_input_validation,receiver_input_validation_before_ofdm,0,typed_all_zero_receiver_rejection
COV-004,wrong_rnti,2,1024QAM,TDL-A,0,0,PASS,PASS,sixgr:pdsch:DCIRNTIMismatch,PASS,canonical_assignment_validation,pre_tx_validation_only,0,typed_dci_rnti_rejection_before_tx
COV-004,wrong_dmrs,2,1024QAM,TDL-A,0,0,PASS,PASS,sixgr:pdsch:DMRSPortUnsupportedForConfiguration,PASS,canonical_dmrs_configuration_validation,pre_tx_validation_only,0,typed_invalid_dmrs_rejection_before_tx
COV-004,wrong_rv,2,1024QAM,TDL-A,0,0,PASS,PASS,sixgr:pdsch:DLSCHCodingPlan:BadInteger,PASS,canonical_dlsch_coding_plan_validation,pre_tx_validation_only,0,typed_invalid_rv_rejection_before_tx
COV-004,reserved_re,2,1024QAM,TDL-A,1,1,PASS,PASS,,PASS,canonical_pdsch_tx_channel_rx,dmrs_backed_resource_selective_effective_layer_channel,1,single_canonical_fading_reserved_tx_channel_rx_execution
COV-004,impairment,2,1024QAM,TDL-A,1,1,PASS,PASS,,PASS,canonical_pdsch_tx_channel_rx,dmrs_backed_resource_selective_effective_layer_channel,1,single_canonical_fading_phase_noise_tx_channel_rx_execution
COV-005,positive,3,256QAM,CDL-C,1,1,PASS,PASS,,PASS,canonical_pdsch_tx_channel_rx,dmrs_backed_resource_selective_effective_layer_channel,1,single_canonical_fading_tx_channel_rx_execution
COV-005,no_signal,3,256QAM,CDL-C,0,1,PASS,PASS,sixgr:pdsch:PDSCHReceiver:NoReceivedSignal,PASS,canonical_receiver_input_validation,receiver_input_validation_before_ofdm,0,typed_all_zero_receiver_rejection
COV-005,wrong_rnti,3,256QAM,CDL-C,0,0,PASS,PASS,sixgr:pdsch:DCIRNTIMismatch,PASS,canonical_assignment_validation,pre_tx_validation_only,0,typed_dci_rnti_rejection_before_tx
COV-005,wrong_dmrs,3,256QAM,CDL-C,0,0,PASS,PASS,sixgr:pdsch:DMRSPortUnsupportedForConfiguration,PASS,canonical_dmrs_configuration_validation,pre_tx_validation_only,0,typed_invalid_dmrs_rejection_before_tx
COV-005,wrong_rv,3,256QAM,CDL-C,0,0,PASS,PASS,sixgr:pdsch:DLSCHCodingPlan:BadInteger,PASS,canonical_dlsch_coding_plan_validation,pre_tx_validation_only,0,typed_invalid_rv_rejection_before_tx
COV-005,reserved_re,3,256QAM,CDL-C,1,1,PASS,PASS,,PASS,canonical_pdsch_tx_channel_rx,dmrs_backed_resource_selective_effective_layer_channel,1,single_canonical_fading_reserved_tx_channel_rx_execution
COV-005,impairment,3,256QAM,CDL-C,1,1,PASS,PASS,,PASS,canonical_pdsch_tx_channel_rx,dmrs_backed_resource_selective_effective_layer_channel,1,single_canonical_fading_phase_noise_tx_channel_rx_execution
