CaseID,TimeDensity,FrequencyDensity,REOffset,PTRSPortSet,AssociatedDMRSPort,PTRSRECount,ExpectedPresent,PresenceReason,CPEBeforeDeg,CPEAfterDeg,EVMBeforePercent,EVMAfterPercent,Status,PlotCoordinates0Based
PTRS-013,2,4,00,0,0,30,1,PTRSPresent,1.4251905289874176,2.0571060821282859e-15,2.879257772307374,1.2255563619155351e-14,PASS,0:0|48:0|96:0|144:0|192:0|240:0|0:4|48:4|96:4|144:4|192:4|240:4|0:6|48:6|96:6|144:6|192:6|240:6|0:8|48:8|96:8|144:8|192:8|240:8|0:10|48:10|96:10|144:10|192:10|240:10
PTRS-014,2,4,01,0,0,30,1,PTRSPresent,6.7255616392315014,3.9070733887766424e-15,13.038094370553486,1.3436025352095762e-14,PASS,2:0|50:0|98:0|146:0|194:0|242:0|2:4|50:4|98:4|146:4|194:4|242:4|2:6|50:6|98:6|146:6|194:6|242:6|2:8|50:8|98:8|146:8|194:8|242:8|2:10|50:10|98:10|146:10|194:10|242:10
PTRS-015,2,4,10,0,0,30,1,PTRSPresent,6.7255616392315014,3.9070733887766424e-15,13.038094370553486,1.3436025352095762e-14,PASS,6:0|54:0|102:0|150:0|198:0|246:0|6:4|54:4|102:4|150:4|198:4|246:4|6:6|54:6|102:6|150:6|198:6|246:6|6:8|54:8|102:8|150:8|198:8|246:8|6:10|54:10|102:10|150:10|198:10|246:10
PTRS-016,2,4,11,0,0,30,1,PTRSPresent,7.4024403489553654,2.7977086708345179e-15,14.48886999576778,1.4135774637362657e-14,PASS,8:0|56:0|104:0|152:0|200:0|248:0|8:4|56:4|104:4|152:4|200:4|248:4|8:6|56:6|104:6|152:6|200:6|248:6|8:8|56:8|104:8|152:8|200:8|248:8|8:10|56:10|104:10|152:10|200:10|248:10
PTRS-017,4,2,00,0,0,36,1,PTRSPresent,3.6639072540826256,2.3934137192475005e-15,7.7897086577172123,1.4115808530854822e-14,PASS,0:0|24:0|48:0|72:0|96:0|120:0|144:0|168:0|192:0|216:0|240:0|264:0|0:6|24:6|48:6|72:6|96:6|120:6|144:6|168:6|192:6|216:6|240:6|264:6|0:10|24:10|48:10|72:10|96:10|120:10|144:10|168:10|192:10|216:10|240:10|264:10
PTRS-018,4,2,01,0,0,36,1,PTRSPresent,3.8173337930935594,1.0201607499052435e-15,8.0695983310616874,1.1205341686312682e-14,PASS,2:0|26:0|50:0|74:0|98:0|122:0|146:0|170:0|194:0|218:0|242:0|266:0|2:6|26:6|50:6|74:6|98:6|122:6|146:6|170:6|194:6|218:6|242:6|266:6|2:10|26:10|50:10|74:10|98:10|122:10|146:10|170:10|194:10|218:10|242:10|266:10
PTRS-019,4,2,10,0,0,36,1,PTRSPresent,3.8173337930935594,1.0201607499052435e-15,8.0695983310616874,1.1205341686312682e-14,PASS,6:0|30:0|54:0|78:0|102:0|126:0|150:0|174:0|198:0|222:0|246:0|270:0|6:6|30:6|54:6|78:6|102:6|126:6|150:6|174:6|198:6|222:6|246:6|270:6|6:10|30:10|54:10|78:10|102:10|126:10|150:10|174:10|198:10|222:10|246:10|270:10
PTRS-020,4,2,11,0,0,36,1,PTRSPresent,5.7787457778514115,3.4229771951213832e-15,10.089861117894996,1.272485534652274e-14,PASS,8:0|32:0|56:0|80:0|104:0|128:0|152:0|176:0|200:0|224:0|248:0|272:0|8:6|32:6|56:6|80:6|104:6|128:6|152:6|176:6|200:6|224:6|248:6|272:6|8:10|32:10|56:10|80:10|104:10|128:10|152:10|176:10|200:10|224:10|248:10|272:10
PTRS-021,4,4,00,0,0,18,1,PTRSPresent,3.8778750072213426,2.9145822686332611e-15,7.3527333109302182,1.3710612897801674e-14,PASS,0:0|48:0|96:0|144:0|192:0|240:0|0:6|48:6|96:6|144:6|192:6|240:6|0:10|48:10|96:10|144:10|192:10|240:10
PTRS-022,4,4,01,0,0,18,1,PTRSPresent,4.2793922446798804,1.8545390356658962e-15,9.5729781766733826,1.1067837678215251e-14,PASS,2:0|50:0|98:0|146:0|194:0|242:0|2:6|50:6|98:6|146:6|194:6|242:6|2:10|50:10|98:10|146:10|194:10|242:10
