CampaignID,OperatingPointID,SNRdB,ChannelModel,Rank,MCSIndex,Modulation,Trials,TBErrors,BLER,ConfidenceLevel,CILower,CIUpper,CIHalfWidth,MinErrorsRequired,StopReason,Status
BLER-AWGN-QPSK,OP-01,-2,AWGN,1,4,QPSK,8,0,0,0.95,0,0.32440756488388,0.16220378244194,1,FIXED_TRIAL_BUDGET_COMPLETE,PASS
BLER-AWGN-QPSK,OP-02,2,AWGN,1,4,QPSK,8,0,0,0.95,0,0.32440756488388,0.16220378244194,1,FIXED_TRIAL_BUDGET_COMPLETE,PASS
BLER-AWGN-QPSK,OP-03,6,AWGN,1,4,QPSK,8,0,0,0.95,0,0.32440756488388,0.16220378244194,1,FIXED_TRIAL_BUDGET_COMPLETE,PASS
BLER-AWGN-QPSK,OP-04,10,AWGN,1,4,QPSK,8,0,0,0.95,0,0.32440756488388,0.16220378244194,1,FIXED_TRIAL_BUDGET_COMPLETE,PASS
BLER-AWGN-64QAM,OP-01,8,AWGN,1,18,64QAM,8,0,0,0.95,0,0.32440756488388,0.16220378244194,1,FIXED_TRIAL_BUDGET_COMPLETE,PASS
BLER-AWGN-64QAM,OP-02,12,AWGN,1,18,64QAM,8,0,0,0.95,0,0.32440756488388,0.16220378244194,1,FIXED_TRIAL_BUDGET_COMPLETE,PASS
BLER-AWGN-64QAM,OP-03,16,AWGN,1,18,64QAM,8,0,0,0.95,0,0.32440756488388,0.16220378244194,1,FIXED_TRIAL_BUDGET_COMPLETE,PASS
BLER-AWGN-64QAM,OP-04,20,AWGN,1,18,64QAM,8,0,0,0.95,0,0.32440756488388,0.16220378244194,1,FIXED_TRIAL_BUDGET_COMPLETE,PASS
BLER-TDL-R2-16QAM,OP-01,5,TDL-A,2,10,16QAM,8,0,0,0.95,0,0.32440756488388,0.16220378244194,1,FIXED_TRIAL_BUDGET_COMPLETE,PASS
BLER-TDL-R2-16QAM,OP-02,10,TDL-A,2,10,16QAM,8,0,0,0.95,0,0.32440756488388,0.16220378244194,1,FIXED_TRIAL_BUDGET_COMPLETE,PASS
BLER-TDL-R2-16QAM,OP-03,15,TDL-A,2,10,16QAM,8,0,0,0.95,0,0.32440756488388,0.16220378244194,1,FIXED_TRIAL_BUDGET_COMPLETE,PASS
BLER-TDL-R2-16QAM,OP-04,20,TDL-A,2,10,16QAM,8,0,0,0.95,0,0.32440756488388,0.16220378244194,1,FIXED_TRIAL_BUDGET_COMPLETE,PASS
BLER-CDL-R4-64QAM,OP-01,10,CDL-C,4,18,64QAM,8,0,0,0.95,0,0.32440756488388,0.16220378244194,1,FIXED_TRIAL_BUDGET_COMPLETE,PASS
BLER-CDL-R4-64QAM,OP-02,15,CDL-C,4,18,64QAM,8,0,0,0.95,0,0.32440756488388,0.16220378244194,1,FIXED_TRIAL_BUDGET_COMPLETE,PASS
BLER-CDL-R4-64QAM,OP-03,20,CDL-C,4,18,64QAM,8,0,0,0.95,0,0.32440756488388,0.16220378244194,1,FIXED_TRIAL_BUDGET_COMPLETE,PASS
BLER-CDL-R4-64QAM,OP-04,25,CDL-C,4,18,64QAM,8,0,0,0.95,0,0.32440756488388,0.16220378244194,1,FIXED_TRIAL_BUDGET_COMPLETE,PASS
BLER-AWGN-1024QAM,OP-01,20,AWGN,1,23,1024QAM,8,0,0,0.95,0,0.32440756488388,0.16220378244194,1,FIXED_TRIAL_BUDGET_COMPLETE,PASS
BLER-AWGN-1024QAM,OP-02,25,AWGN,1,23,1024QAM,8,0,0,0.95,0,0.32440756488388,0.16220378244194,1,FIXED_TRIAL_BUDGET_COMPLETE,PASS
BLER-AWGN-1024QAM,OP-03,30,AWGN,1,23,1024QAM,8,0,0,0.95,0,0.32440756488388,0.16220378244194,1,FIXED_TRIAL_BUDGET_COMPLETE,PASS
BLER-AWGN-1024QAM,OP-04,35,AWGN,1,23,1024QAM,8,0,0,0.95,0,0.32440756488388,0.16220378244194,1,FIXED_TRIAL_BUDGET_COMPLETE,PASS
BLER-AWGN-HARQ-0231,OP-01,-4,AWGN,1,4,QPSK,8,0,0,0.95,0,0.32440756488388,0.16220378244194,1,FIXED_TRIAL_BUDGET_COMPLETE,PASS
BLER-AWGN-HARQ-0231,OP-02,0,AWGN,1,4,QPSK,8,0,0,0.95,0,0.32440756488388,0.16220378244194,1,FIXED_TRIAL_BUDGET_COMPLETE,PASS
BLER-AWGN-HARQ-0231,OP-03,4,AWGN,1,4,QPSK,8,0,0,0.95,0,0.32440756488388,0.16220378244194,1,FIXED_TRIAL_BUDGET_COMPLETE,PASS
BLER-AWGN-HARQ-0231,OP-04,8,AWGN,1,4,QPSK,8,0,0,0.95,0,0.32440756488388,0.16220378244194,1,FIXED_TRIAL_BUDGET_COMPLETE,PASS
BLER-AWGN-PTRS-PN,OP-01,15,AWGN,1,25,256QAM,8,0,0,0.95,0,0.32440756488388,0.16220378244194,1,FIXED_TRIAL_BUDGET_COMPLETE,PASS
BLER-AWGN-PTRS-PN,OP-02,20,AWGN,1,25,256QAM,8,0,0,0.95,0,0.32440756488388,0.16220378244194,1,FIXED_TRIAL_BUDGET_COMPLETE,PASS
BLER-AWGN-PTRS-PN,OP-03,25,AWGN,1,25,256QAM,8,0,0,0.95,0,0.32440756488388,0.16220378244194,1,FIXED_TRIAL_BUDGET_COMPLETE,PASS
BLER-AWGN-PTRS-PN,OP-04,30,AWGN,1,25,256QAM,8,0,0,0.95,0,0.32440756488388,0.16220378244194,1,FIXED_TRIAL_BUDGET_COMPLETE,PASS
