CaseID,SNRdB,ChannelModel,Rank,Codeword,Layer,DataRECount,LLRCount,RateRecoveredBitCount,MeasuredSINRdB,EVMPercent,BER,BLER,TBCRCOK,ChannelEstimateNMSEdB,LDPCIterations,Status
COV-001,120,AWGN,1,0,0,624,2496,500,156.53559774527,2.37778025840356e-14,0,0,1,-313.05943044889,1,PASS
COV-002,120,AWGN,1,0,0,566,4528,500,156.535958814843,1.79380512515307e-14,0,0,1,-343.174195056939,1,PASS
COV-003,65,TDL-A,2,0,0,936,11232,11232,51.0507869871089,0.280195173865767,0,0,1,-49.0198163849706,1,PASS
COV-003,65,TDL-A,2,0,1,936,11232,11232,51.0507869871089,0.280195173865767,0,0,1,-49.0198163849706,1,PASS
COV-004,65,TDL-A,2,0,0,852,17040,17040,49.9853005719622,0.316763382171219,0,0,1,-48.2878657445624,1,PASS
COV-004,65,TDL-A,2,0,1,852,17040,17040,49.9853005719622,0.316763382171219,0,0,1,-48.2878657445624,1,PASS
COV-005,65,CDL-C,3,0,0,705,16920,16920,10.2117372593245,30.8612233056486,0,0,1,-7.82565442572361,1,PASS
COV-005,65,CDL-C,3,0,1,705,16920,16920,10.2117372593245,30.8612233056486,0,0,1,-7.82565442572361,1,PASS
COV-005,65,CDL-C,3,0,2,705,16920,16920,10.2117372593245,30.8612233056486,0,0,1,-7.82565442572361,1,PASS
COV-006,65,CDL-C,3,0,0,648,3888,3888,1.37207246611466,85.3879086297723,0,0,1,-7.16542167092396,1,PASS
COV-006,65,CDL-C,3,0,1,648,3888,3888,1.37207246611466,85.3879086297723,0,0,1,-7.16542167092396,1,PASS
COV-006,65,CDL-C,3,0,2,648,3888,3888,1.37207246611466,85.3879086297723,0,0,1,-7.16542167092396,1,PASS
COV-007,120,AWGN,4,0,0,628,25120,500,156.541920534499,3.07557935642348e-14,0,0,1,-318.843860544524,1,PASS
COV-007,120,AWGN,4,0,1,628,25120,500,156.439385573137,3.07557935642348e-14,0,0,1,-318.843860544524,1,PASS
COV-007,120,AWGN,4,0,2,628,25120,500,156.408923828049,3.07557935642348e-14,0,0,1,-318.843860544524,1,PASS
COV-007,120,AWGN,4,0,3,628,25120,500,156.248128118766,3.07557935642348e-14,0,0,1,-318.843860544524,1,PASS
COV-008,120,AWGN,4,0,0,560,8960,500,156.498212049676,3.37390114501014e-14,0,0,1,-315.524149119441,1,PASS
COV-008,120,AWGN,4,0,1,560,8960,500,156.4731082525,3.37390114501014e-14,0,0,1,-315.524149119441,1,PASS
COV-008,120,AWGN,4,0,2,560,8960,500,156.572664355646,3.37390114501014e-14,0,0,1,-315.524149119441,1,PASS
COV-008,120,AWGN,4,0,3,560,8960,500,156.597200832318,3.37390114501014e-14,0,0,1,-315.524149119441,1,PASS
COV-009,65,TDL-A,5,0,0,864,8640,8640,5.3514250618616,54.0043504550851,0,0,1,-10.7954877730695,1,PASS
COV-009,65,TDL-A,5,0,1,864,8640,8640,5.3514250618616,54.0043504550851,0,0,1,-10.7954877730695,1,PASS
COV-009,65,TDL-A,5,1,2,864,8640,8640,5.3514250618616,54.0043504550851,0,0,1,-10.7954877730695,1,PASS
COV-009,65,TDL-A,5,1,3,864,8640,8640,5.3514250618616,54.0043504550851,0,0,1,-10.7954877730695,1,PASS
COV-009,65,TDL-A,5,1,4,864,8640,8640,5.3514250618616,54.0043504550851,0,0,1,-10.7954877730695,1,PASS
COV-010,65,TDL-A,5,0,0,720,21600,21600,7.87402859942473,40.3922987681779,0,0,1,-12.2315068155987,1,PASS
COV-010,65,TDL-A,5,0,1,720,21600,21600,7.87402859942473,40.3922987681779,0,0,1,-12.2315068155987,1,PASS
COV-010,65,TDL-A,5,1,2,720,21600,21600,7.87402859942473,40.3922987681779,0,0,1,-12.2315068155987,1,PASS
COV-010,65,TDL-A,5,1,3,720,21600,21600,7.87402859942473,40.3922987681779,0,0,1,-12.2315068155987,1,PASS
COV-010,65,TDL-A,5,1,4,720,21600,21600,7.87402859942473,40.3922987681779,0,0,1,-12.2315068155987,1,PASS
COV-011,65,CDL-C,6,0,0,792,19008,19008,-0.820258709026134,109.903857378405,0,0,1,-6.26505564406298,2,PASS
COV-011,65,CDL-C,6,0,1,792,19008,19008,-0.820258709026134,109.903857378405,0,0,1,-6.26505564406298,2,PASS
COV-011,65,CDL-C,6,0,2,792,19008,19008,-0.820258709026134,109.903857378405,0,0,1,-6.26505564406298,2,PASS
COV-011,65,CDL-C,6,1,3,792,19008,19008,-0.820258709026134,109.903857378405,0,0,1,-6.26505564406298,2,PASS
COV-011,65,CDL-C,6,1,4,792,19008,19008,-0.820258709026134,109.903857378405,0,0,1,-6.26505564406298,2,PASS
COV-011,65,CDL-C,6,1,5,792,19008,19008,-0.820258709026134,109.903857378405,0,0,1,-6.26505564406298,2,PASS
COV-012,65,CDL-C,6,0,0,777,37296,37296,0.875314322458299,90.4137086680433,0,0,1,-7.96413884075676,2,PASS
COV-012,65,CDL-C,6,0,1,777,37296,37296,0.875314322458299,90.4137086680433,0,0,1,-7.96413884075676,2,PASS
COV-012,65,CDL-C,6,0,2,777,37296,37296,0.875314322458299,90.4137086680433,0,0,1,-7.96413884075676,2,PASS
COV-012,65,CDL-C,6,1,3,777,37296,37296,0.875314322458299,90.4137086680433,0,0,1,-7.96413884075676,2,PASS
COV-012,65,CDL-C,6,1,4,777,37296,37296,0.875314322458299,90.4137086680433,0,0,1,-7.96413884075676,2,PASS
COV-012,65,CDL-C,6,1,5,777,37296,37296,0.875314322458299,90.4137086680433,0,0,1,-7.96413884075676,2,PASS
COV-013,120,AWGN,7,0,0,480,8640,500,156.65794230944,5.21998298394979e-14,0,0,1,-316.075014198264,1,PASS
COV-013,120,AWGN,7,0,1,480,8640,500,156.404380972051,5.21998298394979e-14,0,0,1,-316.075014198264,1,PASS
COV-013,120,AWGN,7,0,2,480,8640,500,156.384798076395,5.21998298394979e-14,0,0,1,-316.075014198264,1,PASS
COV-013,120,AWGN,7,1,3,480,11520,500,156.500992424175,4.21472267956091e-14,0,0,1,-316.075014198264,1,PASS
COV-013,120,AWGN,7,1,4,480,11520,500,156.629364671227,4.21472267956091e-14,0,0,1,-316.075014198264,1,PASS
COV-013,120,AWGN,7,1,5,480,11520,500,156.588696923553,4.21472267956091e-14,0,0,1,-316.075014198264,1,PASS
COV-013,120,AWGN,7,1,6,480,11520,500,156.37050030276,4.21472267956091e-14,0,0,1,-316.075014198264,1,PASS
COV-014,120,AWGN,7,0,0,518,15540,500,156.459002537967,4.90702627999929e-14,0,0,1,-317.959838175783,1,PASS
COV-014,120,AWGN,7,0,1,518,15540,500,156.38968587528,4.90702627999929e-14,0,0,1,-317.959838175783,1,PASS
COV-014,120,AWGN,7,0,2,518,15540,500,156.498461027121,4.90702627999929e-14,0,0,1,-317.959838175783,1,PASS
COV-014,120,AWGN,7,1,3,518,20720,500,156.694532552574,3.81681720639971e-14,0,0,1,-317.959838175783,1,PASS
COV-014,120,AWGN,7,1,4,518,20720,500,156.638997979498,3.81681720639971e-14,0,0,1,-317.959838175783,1,PASS
COV-014,120,AWGN,7,1,5,518,20720,500,156.48892820207,3.81681720639971e-14,0,0,1,-317.959838175783,1,PASS
COV-014,120,AWGN,7,1,6,518,20720,500,156.48763568855,3.81681720639971e-14,0,0,1,-317.959838175783,1,PASS
COV-015,65,TDL-A,8,0,0,918,58752,58752,10.8905216460782,28.5413109887517,0,0,1,-12.1447559383743,1,PASS
COV-015,65,TDL-A,8,0,1,918,58752,58752,10.8905216460782,28.5413109887517,0,0,1,-12.1447559383743,1,PASS
