VectorFamily,CaseID,ComparedField,OracleImplementation,OracleVersion,OracleArtifactSHA256,ExpectedDigest,ActualDigest,MismatchCount,MaxAbsError,Tolerance,Status
reserved_re,RESERVED-ALL-PASS,"reserved-union and data indices",sixgr.pdsch.oracle.ReservedREUnionSpec,1,e24c181abfecb7ad4adb16f9242e85e01cd147a28ca7d4e63e041507bbb0c04c,d2ff9423ec6bbe6dcf10edf3d952547a139e12876e6ae2eaf936d9e0a5ee900e,d2ff9423ec6bbe6dcf10edf3d952547a139e12876e6ae2eaf936d9e0a5ee900e,0,0,0,PASS
dmrs_positions,DMRS-POSITIONS-ALL,"zero-based DM-RS OFDM symbols",sixgr.pdsch.oracle.DMRSTableSpec,1,c0232e87f14761db3b4d35f3e5f4063741ae0cc485bf972121fc5b87e22cea08,b9fc7dcbaeef295503a7718aef8c2c4c55903d19f02615c448f02e5ba2b2075f,b9fc7dcbaeef295503a7718aef8c2c4c55903d19f02615c448f02e5ba2b2075f,0,0,0,PASS
dmrs_ports,DMRS-PORTS-ALL,"physical port, CDM group, delta, w_f and w_t",sixgr.pdsch.oracle.DMRSTableSpec,1,c0232e87f14761db3b4d35f3e5f4063741ae0cc485bf972121fc5b87e22cea08,f914906aeca20977c49b45e3dfe6e6bc304954bf28e8992851fd73e428298630,f914906aeca20977c49b45e3dfe6e6bc304954bf28e8992851fd73e428298630,0,0,0,PASS
dmrs_sequence,DMRS-SEQUENCE-ALL,"complex DM-RS sequence",sixgr.pdsch.oracle.DMRSSequenceSpec,1,8a8bcdb5fc5183f7714964c695396533764ba64f26fdff1c36c20f943747c5a3,b4d790fb733a2199d5388c31f857458851913c3b86b5ddf8043865383845fa82,b4d790fb733a2199d5388c31f857458851913c3b86b5ddf8043865383845fa82,0,0,9.9999999999999998e-13,PASS
ptrs_indices,PTRS-ALL-PRESENT,"zero-based PT-RS linear indices",sixgr.pdsch.oracle.PTRSIndexSpec,1,6f0d29482e9f31c57dbc76254cfad130d13872c94673acc1dacc5607f6279c8f,aafb06f989aa81f8ba486bb67f225a1fc8a7b52975a4d0e30a2cbb8e7991501e,aafb06f989aa81f8ba486bb67f225a1fc8a7b52975a4d0e30a2cbb8e7991501e,0,0,0,PASS
tbs,TBS-PRODUCTION-001,"transport-block size",sixgr.pdsch.oracle.TBSAndBaseGraphSpec,1,5e9cd4b2ec60a4a35cf4b925d5a0bf458608164e84773d48fbc0501ead285487,120df9b15bb0ca69b56addeace0cd21fb906ff23858dac7da5b22f28b62857fe,120df9b15bb0ca69b56addeace0cd21fb906ff23858dac7da5b22f28b62857fe,0,0,0,PASS
tb_crc,TBCRC-PRODUCTION-001,"CRC-attached transport block",sixgr.pdsch.oracle.CRCSpec,1,0713c2a595ed6b058aea4d4d77b13b49e009d78f8a267f26d1541e55fff89c80,cfeb36c9228a71ef30ffc5b679081a1899ceb3060750144a35784ba7c10434f1,cfeb36c9228a71ef30ffc5b679081a1899ceb3060750144a35784ba7c10434f1,0,0,0,PASS
ldpc_segmentation,SEGMENTATION-SELECTED,"BG, C, Zc, K, N and filler positions",sixgr.pdsch.oracle.LDPCSegmentationSpec,1,a34e22bff8d880839f993b00f0ed09dd8b66a07f1a9edeedface9c7f1c293826,33671ca3f4e7a35cd2f09827532996c65cedc654685b933a6b7d6bf98d15919a,33671ca3f4e7a35cd2f09827532996c65cedc654685b933a6b7d6bf98d15919a,0,0,0,PASS
ldpc_encoding,EXT-LDPC-BG1-Z15,"LDPC mother codeword",py3gpp,0.6.0,1182b03eed6aa44e1af49df827d2712206189a620fd85985e7b795bef11c9aa9,bd995680105ba951a81e671b684f1adddfb691969350cfea0eb39b62f579b058,bd995680105ba951a81e671b684f1adddfb691969350cfea0eb39b62f579b058,0,0,0,PASS
rate_matching,RATE-MATCH-SELECTED,"ordered zero-based mother-code positions",sixgr.pdsch.oracle.RateMatchingIndexSpec,1,8e6aaab82fcd5dce83fdd2de259fc86fe1fa07b524c261abf1a6175a2a99f85e,de5373553bdb9fe19e01d68b1f1ac489af0b2d130f1b6ad17b954b7f999a35c9,de5373553bdb9fe19e01d68b1f1ac489af0b2d130f1b6ad17b954b7f999a35c9,0,0,0,PASS
external_rate_matching,EXT-LDPC-BG1-Z15,"external rate-matched codeword",py3gpp,0.6.0,1182b03eed6aa44e1af49df827d2712206189a620fd85985e7b795bef11c9aa9,da4f27fddfa2a5362521a7b4ab5212fa0fea085b34740afd83308e517970d36a,da4f27fddfa2a5362521a7b4ab5212fa0fea085b34740afd83308e517970d36a,0,0,0,PASS
layer_mapping,LAYER-RANKS-1-8,"codeword-to-layer symbols",sixgr.pdsch.oracle.LayerMapperSpec,1,3785d8185d74b465fc6558fb9c5134932cbc103ffe81c1f62d576221add24321,8f2fff81a6e76181e134ea40717150fd79a71f5a2ee9c88c645f2134b204abd4,8f2fff81a6e76181e134ea40717150fd79a71f5a2ee9c88c645f2134b204abd4,0,0,0,PASS
precoding_application,PRECODING-ALL-SLICES,"W times layer-symbol vector",sixgr.pdsch.oracle.PrecodingMultiplySpec,1,0203a88499686d4bd6aa3a3d3a803cd749473ad46305e669c70a4dd2666ec8d7,03badef81b9cd9457b656b9a9b17c5db187cb9a68912cf67595b5b95dd73b1d8,03badef81b9cd9457b656b9a9b17c5db187cb9a68912cf67595b5b95dd73b1d8,0,0,2e-12,PASS
harq_combining,HARQ-POSITION-AWARE-001,"canonical receiver circular-buffer LLR by mother-code position",sixgr.pdsch.oracle.HARQCombiningSpec,1,5cf12c835925aeba4589a96c749ad1093babd8088eb4f61859715e591158ed53,17a5a5ced2cf7f785e41d182358453c2c1b211a8e7f1edbdba88213ed639b15b,17a5a5ced2cf7f785e41d182358453c2c1b211a8e7f1edbdba88213ed639b15b,0,0,0,PASS
scrambling,SCRAMBLING-ALL,"scrambled bits",sixgr.pdsch.oracle.GoldSequenceSpec,1,3b5c14db6a1e24ba57cd7cee93d019b4b3376cea5ca85fdc15da6b90fcc93c25,6b614314b4d5a7777d5fd4d101cb37653263495ac0eb331ab8cb6543914bdbbf,6b614314b4d5a7777d5fd4d101cb37653263495ac0eb331ab8cb6543914bdbbf,0,0,0,PASS
modulation,MODULATION-ALL-PASS,"unit-power complex constellation symbols",sixgr.pdsch.oracle.QAMMapperSpec,1,594c4010ebefd28e55c2a0a15fe30213e5b34d6a69df0d84cd5b0a14efb22996,fc2fe5229cf1f53324376343306efe6ac9b3d70c10edbe753bd0c36985196490,fc2fe5229cf1f53324376343306efe6ac9b3d70c10edbe753bd0c36985196490,0,0,5.0000000000000002e-14,PASS
receiver_chain,EXT-RX-SISO-16QAM-BG1-001,"frozen waveform -> CRC/TB/stage trace",py3gpp/external_pdsch_waveform,0.6.0,1553103ad3f328fbeca9996b8c9ee8a14a135d16a696040bc1e8df9ab3d9a725,8d37fdc243293eb21866399da79d3d2e22be93880486d17af3f1bad5b57374bf,8d37fdc243293eb21866399da79d3d2e22be93880486d17af3f1bad5b57374bf,0,4.4408920985006262e-16,9.9999999999999998e-13,PASS
