CaseID,Mode,PRG,SymbolGroup,PRBStart,PRBEnd,NPorts,NLayers,MatrixDigest,AppliedMatrixDigest,NormalizationConvention,TXApplicationCount,RXApplicationCount,PowerRelativeError,Status
PREC-001,siso_identity,0,0,0,23,1,1,9ceed2d18cdd27d35c14096ab3f5478a49e0c7861aee5f7e65db04746f76abe5,9ceed2d18cdd27d35c14096ab3f5478a49e0c7861aee5f7e65db04746f76abe5,semi_unitary,1,1,0,PASS
PREC-002,wideband_codebook,0,0,0,23,2,1,86dce1596166df55b6fd77a7c11da66cee6b6c39c97d03250b383ae3a267a298,86dce1596166df55b6fd77a7c11da66cee6b6c39c97d03250b383ae3a267a298,semi_unitary,1,1,2.2204460492503131e-16,PASS
PREC-003,wideband_codebook,0,0,0,23,2,2,d455d87ba0342045b5e913dba4f93a0bbbc1a6fdc9fa8831271f71ed9f685f04,d455d87ba0342045b5e913dba4f93a0bbbc1a6fdc9fa8831271f71ed9f685f04,semi_unitary,1,1,1.8492510260920731e-16,PASS
PREC-004,wideband_noncodebook,0,0,0,23,4,2,0d681a9379f36e7ab6ed8c8db1132d30be3b3d6ae95f6b2545e53ab5442bf89a,0d681a9379f36e7ab6ed8c8db1132d30be3b3d6ae95f6b2545e53ab5442bf89a,semi_unitary,1,1,5.7219584981527968e-17,PASS
PREC-005,prg_codebook,0,0,0,1,4,2,0d681a9379f36e7ab6ed8c8db1132d30be3b3d6ae95f6b2545e53ab5442bf89a,0d681a9379f36e7ab6ed8c8db1132d30be3b3d6ae95f6b2545e53ab5442bf89a,semi_unitary,1,1,5.7219584981527968e-17,PASS
PREC-005,prg_codebook,1,0,2,3,4,2,a61e7462154ebdb5e701bf8e9166d077fa89a1b71dd4b4f2a295da3527557e48,a61e7462154ebdb5e701bf8e9166d077fa89a1b71dd4b4f2a295da3527557e48,semi_unitary,1,1,5.594315114139762e-17,PASS
PREC-005,prg_codebook,2,0,4,5,4,2,b3ebd8af178d2739b642b287d5e66c8ab24f1d066cc95ebdcc8a2c0157d65620,b3ebd8af178d2739b642b287d5e66c8ab24f1d066cc95ebdcc8a2c0157d65620,semi_unitary,1,1,5.594315114139762e-17,PASS
PREC-005,prg_codebook,3,0,6,7,4,2,13f5787d6dc194f9a116d3474a68d309b8562a984a903801ae7af4ddf2e1f3f7,13f5787d6dc194f9a116d3474a68d309b8562a984a903801ae7af4ddf2e1f3f7,semi_unitary,1,1,4.1633363423443364e-17,PASS
PREC-006,prg_noncodebook,0,0,4,7,8,4,65ebd73841dc2ffbcd964403fc4dfb2774c74bdc9023f5e3229b5748df942df2,65ebd73841dc2ffbcd964403fc4dfb2774c74bdc9023f5e3229b5748df942df2,semi_unitary,1,1,2.797441628959478e-16,PASS
PREC-006,prg_noncodebook,1,0,8,11,8,4,635ddc15354af31ae2bfcdf0b6e3a3c886f6ab6bdbbe751b01d7b9fea4abd207,635ddc15354af31ae2bfcdf0b6e3a3c886f6ab6bdbbe751b01d7b9fea4abd207,semi_unitary,1,1,2.9164063044643416e-16,PASS
PREC-006,prg_noncodebook,2,0,12,15,8,4,1edba24c761e82f633ee3841d420359efa4104f5ee1dad8a1189566f9c020015,1edba24c761e82f633ee3841d420359efa4104f5ee1dad8a1189566f9c020015,semi_unitary,1,1,3.1358815597943355e-16,PASS
PREC-007,prb_explicit,0,0,0,0,4,2,0d681a9379f36e7ab6ed8c8db1132d30be3b3d6ae95f6b2545e53ab5442bf89a,0d681a9379f36e7ab6ed8c8db1132d30be3b3d6ae95f6b2545e53ab5442bf89a,semi_unitary,1,1,5.7219584981527968e-17,PASS
PREC-007,prb_explicit,1,0,2,2,4,2,a61e7462154ebdb5e701bf8e9166d077fa89a1b71dd4b4f2a295da3527557e48,a61e7462154ebdb5e701bf8e9166d077fa89a1b71dd4b4f2a295da3527557e48,semi_unitary,1,1,5.594315114139762e-17,PASS
PREC-007,prb_explicit,2,0,4,4,4,2,b3ebd8af178d2739b642b287d5e66c8ab24f1d066cc95ebdcc8a2c0157d65620,b3ebd8af178d2739b642b287d5e66c8ab24f1d066cc95ebdcc8a2c0157d65620,semi_unitary,1,1,5.594315114139762e-17,PASS
PREC-007,prb_explicit,3,0,6,6,4,2,13f5787d6dc194f9a116d3474a68d309b8562a984a903801ae7af4ddf2e1f3f7,13f5787d6dc194f9a116d3474a68d309b8562a984a903801ae7af4ddf2e1f3f7,semi_unitary,1,1,4.1633363423443364e-17,PASS
PREC-007,prb_explicit,4,0,8,8,4,2,41f739eaae929a51b0d3a32864d1203ca2c1e831557de494163a35194c9a364e,41f739eaae929a51b0d3a32864d1203ca2c1e831557de494163a35194c9a364e,semi_unitary,1,1,7.8504622934188746e-17,PASS
