CaseID,Domain,Codeword,Layer,Port,PRB,Symbol,Subcarrier,LinearIndex0Based,Status
MAP-EXPLICIT-001,DATA,0,0,0,0,5,1,61,PASS
MAP-EXPLICIT-001,DATA,0,0,0,0,5,3,63,PASS
MAP-EXPLICIT-001,DATA,0,0,0,0,5,5,65,PASS
MAP-EXPLICIT-001,DATA,0,0,0,0,5,7,67,PASS
MAP-EXPLICIT-001,DATA,0,0,0,0,5,9,69,PASS
MAP-EXPLICIT-001,DATA,0,0,0,0,5,11,71,PASS
MAP-EXPLICIT-001,DATA,0,0,0,0,6,0,72,PASS
MAP-EXPLICIT-001,DATA,0,0,0,0,6,1,73,PASS
MAP-EXPLICIT-001,DATA,0,0,0,0,6,2,74,PASS
MAP-EXPLICIT-001,DATA,0,0,0,0,6,3,75,PASS
MAP-EXPLICIT-001,DATA,0,0,0,0,6,4,76,PASS
MAP-EXPLICIT-001,DATA,0,0,0,0,6,5,77,PASS
MAP-EXPLICIT-001,DATA,0,0,0,0,6,6,78,PASS
MAP-EXPLICIT-001,DATA,0,0,0,0,6,7,79,PASS
MAP-EXPLICIT-001,DATA,0,0,0,0,6,8,80,PASS
MAP-EXPLICIT-001,DATA,0,0,0,0,6,9,81,PASS
MAP-EXPLICIT-001,DATA,0,0,0,0,6,10,82,PASS
MAP-EXPLICIT-001,DATA,0,0,0,0,6,11,83,PASS
MAP-EXPLICIT-001,DATA,0,0,0,0,7,1,85,PASS
MAP-EXPLICIT-001,DATA,0,0,0,0,7,2,86,PASS
MAP-EXPLICIT-001,DATA,0,0,0,0,7,3,87,PASS
MAP-EXPLICIT-001,DATA,0,0,0,0,7,4,88,PASS
MAP-EXPLICIT-001,DATA,0,0,0,0,7,5,89,PASS
MAP-EXPLICIT-001,DATA,0,0,0,0,7,6,90,PASS
MAP-EXPLICIT-001,DATA,0,0,0,0,7,7,91,PASS
MAP-EXPLICIT-001,DATA,0,0,0,0,7,8,92,PASS
MAP-EXPLICIT-001,DATA,0,0,0,0,7,9,93,PASS
MAP-EXPLICIT-001,DATA,0,0,0,0,7,10,94,PASS
MAP-EXPLICIT-001,DATA,0,0,0,0,7,11,95,PASS
MAP-EXPLICIT-001,DATA,0,0,0,0,8,1,97,PASS
MAP-EXPLICIT-001,DATA,0,0,0,0,8,3,99,PASS
MAP-EXPLICIT-001,DATA,0,0,0,0,8,5,101,PASS
MAP-EXPLICIT-001,DATA,0,0,0,0,8,7,103,PASS
MAP-EXPLICIT-001,DATA,0,0,0,0,8,9,105,PASS
MAP-EXPLICIT-001,DATA,0,0,0,0,8,11,107,PASS
MAP-EXPLICIT-001,DATA,0,0,0,0,9,0,108,PASS
MAP-EXPLICIT-001,DATA,0,0,0,0,9,1,109,PASS
MAP-EXPLICIT-001,DATA,0,0,0,0,9,2,110,PASS
MAP-EXPLICIT-001,DATA,0,0,0,0,9,3,111,PASS
MAP-EXPLICIT-001,DATA,0,0,0,0,9,4,112,PASS
MAP-EXPLICIT-001,DATA,0,0,0,0,9,5,113,PASS
