CaseID,Rank,Codeword,Layer,SourceSymbolCount,MappedSymbolCount,MismatchCount,Status
LAYER-R1,1,0,0,6,6,0,PASS
LAYER-R2,2,0,0,12,6,0,PASS
LAYER-R2,2,0,1,12,6,0,PASS
LAYER-R3,3,0,0,18,6,0,PASS
LAYER-R3,3,0,1,18,6,0,PASS
LAYER-R3,3,0,2,18,6,0,PASS
LAYER-R4,4,0,0,24,6,0,PASS
LAYER-R4,4,0,1,24,6,0,PASS
LAYER-R4,4,0,2,24,6,0,PASS
LAYER-R4,4,0,3,24,6,0,PASS
LAYER-R5,5,0,0,12,6,0,PASS
LAYER-R5,5,0,1,12,6,0,PASS
LAYER-R5,5,1,2,18,6,0,PASS
LAYER-R5,5,1,3,18,6,0,PASS
LAYER-R5,5,1,4,18,6,0,PASS
LAYER-R6,6,0,0,18,6,0,PASS
LAYER-R6,6,0,1,18,6,0,PASS
LAYER-R6,6,0,2,18,6,0,PASS
LAYER-R6,6,1,3,18,6,0,PASS
LAYER-R6,6,1,4,18,6,0,PASS
LAYER-R6,6,1,5,18,6,0,PASS
LAYER-R7,7,0,0,18,6,0,PASS
LAYER-R7,7,0,1,18,6,0,PASS
LAYER-R7,7,0,2,18,6,0,PASS
LAYER-R7,7,1,3,24,6,0,PASS
LAYER-R7,7,1,4,24,6,0,PASS
LAYER-R7,7,1,5,24,6,0,PASS
LAYER-R7,7,1,6,24,6,0,PASS
LAYER-R8,8,0,0,24,6,0,PASS
LAYER-R8,8,0,1,24,6,0,PASS
LAYER-R8,8,0,2,24,6,0,PASS
LAYER-R8,8,0,3,24,6,0,PASS
LAYER-R8,8,1,4,24,6,0,PASS
LAYER-R8,8,1,5,24,6,0,PASS
LAYER-R8,8,1,6,24,6,0,PASS
LAYER-R8,8,1,7,24,6,0,PASS
