CaseID,Codeword,TBS,TBCRCType,TBCRCLength,BaseGraph,NumCodeBlocks,CodeBlockCRCType,LiftingSize,K,N,Ncb,FillerBits,RV,K0,EPerCodeBlock,G,RateMatchedBits,CRCOK,Status
TBS-001,0,24,16,16,2,1,,7,70,350,350,30,0,0,350,350,350,1,PASS
TBS-003,0,1416,16,16,2,1,,144,1440,7200,7200,8,1,1872,7200,7200,7200,1,PASS
TBS-004,0,19464,24A,24,1,3,24B,320,7040,21120,21120,1560,2,10560,21120|21120|21120,63360,63360,1,PASS
TBS-010,0,21504,24A,24,1,3,24B,352,7744,23232,23232,1632,3,19712,23232|23232|23232,69696,69696,1,PASS
RES-001,0,64,16,16,2,1,,14,140,700,700,60,0,0,336,336,336,1,PASS
RES-002,0,64,16,16,2,1,,14,140,700,700,60,0,0,288,288,288,1,PASS
RES-003,0,64,16,16,2,1,,14,140,700,700,60,0,0,312,312,312,1,PASS
RES-004,0,64,16,16,2,1,,14,140,700,700,60,0,0,240,240,240,1,PASS
RES-005,0,64,16,16,2,1,,14,140,700,700,60,0,0,276,276,276,1,PASS
RES-006,0,64,16,16,2,1,,14,140,700,700,60,0,0,324,324,324,1,PASS
RES-007,0,64,16,16,2,1,,14,140,700,700,60,0,0,324,324,324,1,PASS
RES-008,0,64,16,16,2,1,,14,140,700,700,60,0,0,312,312,312,1,PASS
RES-009,0,64,16,16,2,1,,14,140,700,700,60,0,0,168,168,168,1,PASS
RES-012,0,64,16,16,2,1,,14,140,700,700,60,0,0,312,312,312,1,PASS
RES-014,0,64,16,16,2,1,,14,140,700,700,60,0,0,384,384,384,1,PASS
