"name","identifier","duration_s"
"test6GLLSMultiUserBeamforming","sixgr:l2:mac:MissingReceivedULTiming","925.5761245"
"testPRACHRuntimeULDirectionAntennaContract","","15.0331677"
"testTRSRuntimeControlGatingEvidenceContract","","12.7968859"
"testRAStageCarrierSlotBinding","sixgr:phy:ra:DecodedRARSlotMismatch","2.7859501"
"testRADownlinkPowerScaling","sixgr:phy:ia:NoLegalMsg4SetupAllocation","5.8730042"
"testRuntimeOperatingAuthority","sixgr:phy:ia:NoLegalMsg4SetupAllocation","8.8909534"
"testLLSRawTrialProvenance","","5.1375989"
"testLLSCoupledTruthHARQRoundTrip","sixgr:l2:mac:MissingReceivedULTiming","23.137413"
"testLLSResultRichness","sixgr:truth:EnabledAllocationUnresolved","374.4722201"
"testLLSReportBundle","sixgr:truth:EnabledAllocationUnresolved","334.1271491"
"testLLSHARQExercise","sixgr:lls6g:config:SelectedK1OutsideCandidateSet","4.1997382"
"testLLSScenarioStatusPropagation","sixgr:pdsch:MissingExecutionProfile","1393.5991097"
"testLLSResolvedFeatureConfigAuthority","","2.9526609"
"testULNoiseVarianceValidation","","9.7282231"
"testPhyBLERReferencePoints","","2.4009749"
"testLLRMagnitudeAfterFix","","1.1308895"
"testGeometryScenarioAudit","","840.5436573"
"testTwoModeAcceptanceGates","","2.3996652"
"testRankExecutionProvenanceExport","sixgr:phy:pdcch:grant_tdra_not_configured","3.4978504"
"testSchedulerHARQStateUnblockAndLineage","sixgr:phy:pdcch:InvalidFeedbackTimingValue","22.9866418"
"testPDCCH6GR","sixgr:lls6g:config:DuplexReciprocityMismatch","8.8241283"
"testPDCCHCausalDCIGrantGate","sixgr:truth:MissingPDCCHControlSlot","1.669378"
"testGeometryHybridAntennaDomain","sixgr:phy:grant:MissingDLCRIForCSIRSBasis","6.0970293"
"testSchedulerPDSCHTransmitAuthority","sixgr:SchedulerBase:InfeasibleGrantDCI","6.61176"
"testDCITDRAFailureDiagnostics","sixgr:phy:pdcch:InvalidFeedbackTimingValue","0.0738195"
"testArtifactVerificationScope","sixgr:e2e:SystemCouplingFailed","36.3931729"
"testPartialCampaignReportHonesty","sixgr:e2e:AttachFailedStrict","7.2976248"
"testCalibrationProvenanceHonesty","sixgr:e2e:SystemCouplingFailed","12.8065006"
"testSystemLevelWaveformReplayEvidence","","2.1932405"
"testSystemLevelCausalCQIFeedback","","4.8481245"
"testSLSInterferenceMuting","","17.5107598"
"testSLSOutputCatalog","","38.5571361"
"testMobilityControlLoop","","26.5538775"
"testNoProxyTruthContract","sixgr:e2e:AttachFailedStrict","16.3681727"
"testE2E_TruthArtifactNaming","sixgr:e2e:SystemCouplingFailed","11.9878418"
"testE2E_QoSvsSemanticReporting","sixgr:e2e:SystemCouplingFailed","17.2418828"
"testE2ETruthChunkMetadata","sixgr:e2e:AttachFailedStrict","10.588006"
"testE2E_DeadlineMissAccounting","sixgr:e2e:SystemCouplingFailed","16.2631578"
"testE2E_SummaryRawConsistency","sixgr:e2e:SystemCouplingFailed","11.2013974"
"testStrictnessMetadataConsistency","sixgr:e2e:AttachFailedStrict","2.4514746"
"testRunScopeConformanceMetadata","sixgr:e2e:AttachFailedStrict","8.2878295"
"testTruthValidationControlCoverage","","1.205122"
"testTruthValidationProfile","sixgr:e2e:AttachFailedStrict","6.4451744"
"test60CellTruthE2ECouplingGuard","sixgr:e2e:SystemCouplingFailed","50.9640895"
"testSchedulerMUMIMOGrouping","sixgr:SchedulerBase:InfeasibleGrantDCI","12.6367458"
"testGrantTraceIntegrity","sixgr:e2e:SystemCouplingFailed","12.7288106"
