CaseID,ProfileID,Fc_GHz,Scenario,TableOrEquation,ExpectedValue,ActualValue,Status
"PL-0033","REL19-UMa",7.5,"UMa","TR38.901-V19.2.0 closed form",76.4597802333288,76.4597802333288,"PASS"
"PL-0034","REL19-UMa",7.5,"UMa","TR38.901-V19.2.0 closed form",86.0348765429039,86.0348765429039,"PASS"
"PL-0035","REL19-UMa",7.5,"UMa","TR38.901-V19.2.0 closed form",78.2674860624968,78.2674860624968,"PASS"
"PL-0036","REL19-UMa",7.5,"UMa","TR38.901-V19.2.0 closed form",89.2460194430805,89.2460194430805,"PASS"
"PL-0037","REL19-UMa",7.5,"UMa","TR38.901-V19.2.0 closed form",83.8320463943073,83.8320463943073,"PASS"
"PL-0038","REL19-UMa",7.5,"UMa","TR38.901-V19.2.0 closed form",99.1307020688602,99.1307020688602,"PASS"
"PL-0039","REL19-UMa",7.5,"UMa","TR38.901-V19.2.0 closed form",89.7580210576809,89.7580210576809,"PASS"
"PL-0040","REL19-UMa",7.5,"UMa","TR38.901-V19.2.0 closed form",109.657387970889,109.657387970889,"PASS"
"PL-0041","REL19-UMa",7.5,"UMa","TR38.901-V19.2.0 closed form",96.1893897794295,96.1893897794295,"PASS"
"PL-0042","REL19-UMa",7.5,"UMa","TR38.901-V19.2.0 closed form",121.08183750025,121.08183750025,"PASS"
"PL-0043","REL19-UMa",7.5,"UMa","TR38.901-V19.2.0 closed form",104.889106646277,104.889106646277,"PASS"
"PL-0044","REL19-UMa",7.5,"UMa","TR38.901-V19.2.0 closed form",136.535698189177,136.535698189177,"PASS"
"PL-0045","REL19-UMa",7.5,"UMa","TR38.901-V19.2.0 closed form",111.503862770025,111.503862770025,"PASS"
"PL-0046","REL19-UMa",7.5,"UMa","TR38.901-V19.2.0 closed form",148.285910430816,148.285910430816,"PASS"
"PL-0047","REL19-UMa",7.5,"UMa","TR38.901-V19.2.0 closed form",129.154439420333,129.154439420333,"PASS"
"PL-0048","REL19-UMa",7.5,"UMa","TR38.901-V19.2.0 closed form",166.927644603698,166.927644603698,"PASS"
"PL-0049","REL19-UMa",15,"UMa","TR38.901-V19.2.0 closed form",82.4803801466085,82.4803801466085,"PASS"
"PL-0050","REL19-UMa",15,"UMa","TR38.901-V19.2.0 closed form",92.0554764561836,92.0554764561836,"PASS"
"PL-0051","REL19-UMa",15,"UMa","TR38.901-V19.2.0 closed form",84.2880859757765,84.2880859757765,"PASS"
"PL-0052","REL19-UMa",15,"UMa","TR38.901-V19.2.0 closed form",95.2666193563601,95.2666193563601,"PASS"
"PL-0053","REL19-UMa",15,"UMa","TR38.901-V19.2.0 closed form",89.8526463075869,89.8526463075869,"PASS"
"PL-0054","REL19-UMa",15,"UMa","TR38.901-V19.2.0 closed form",105.15130198214,105.15130198214,"PASS"
"PL-0055","REL19-UMa",15,"UMa","TR38.901-V19.2.0 closed form",95.7786209709605,95.7786209709605,"PASS"
"PL-0056","REL19-UMa",15,"UMa","TR38.901-V19.2.0 closed form",115.677987884169,115.677987884169,"PASS"
"PL-0057","REL19-UMa",15,"UMa","TR38.901-V19.2.0 closed form",102.209989692709,102.209989692709,"PASS"
"PL-0058","REL19-UMa",15,"UMa","TR38.901-V19.2.0 closed form",127.10243741353,127.10243741353,"PASS"
"PL-0059","REL19-UMa",15,"UMa","TR38.901-V19.2.0 closed form",110.909706559556,110.909706559556,"PASS"
"PL-0060","REL19-UMa",15,"UMa","TR38.901-V19.2.0 closed form",142.556298102457,142.556298102457,"PASS"
"PL-0061","REL19-UMa",15,"UMa","TR38.901-V19.2.0 closed form",117.524462683304,117.524462683304,"PASS"
"PL-0062","REL19-UMa",15,"UMa","TR38.901-V19.2.0 closed form",154.306510344096,154.306510344096,"PASS"
"PL-0063","REL19-UMa",15,"UMa","TR38.901-V19.2.0 closed form",129.757621833933,129.757621833933,"PASS"
"PL-0064","REL19-UMa",15,"UMa","TR38.901-V19.2.0 closed form",172.948244516978,172.948244516978,"PASS"
"PL-0113","REL19-UMi-StreetCanyon",7.5,"UMi-StreetCanyon","TR38.901-V19.2.0 closed form",73.3808971889205,73.3808971889205,"PASS"
"PL-0114","REL19-UMi-StreetCanyon",7.5,"UMi-StreetCanyon","TR38.901-V19.2.0 closed form",80.5070153299743,80.5070153299743,"PASS"
"PL-0115","REL19-UMi-StreetCanyon",7.5,"UMi-StreetCanyon","TR38.901-V19.2.0 closed form",77.9800309170697,77.9800309170697,"PASS"
"PL-0116","REL19-UMi-StreetCanyon",7.5,"UMi-StreetCanyon","TR38.901-V19.2.0 closed form",88.237940120625,88.237940120625,"PASS"
"PL-0117","REL19-UMi-StreetCanyon",7.5,"UMi-StreetCanyon","TR38.901-V19.2.0 closed form",85.7095136147265,85.7095136147265,"PASS"
"PL-0118","REL19-UMi-StreetCanyon",7.5,"UMi-StreetCanyon","TR38.901-V19.2.0 closed form",101.230832464782,101.230832464782,"PASS"
"PL-0119","REL19-UMi-StreetCanyon",7.5,"UMi-StreetCanyon","TR38.901-V19.2.0 closed form",91.9340534833298,91.9340534833298,"PASS"
"PL-0120","REL19-UMi-StreetCanyon",7.5,"UMi-StreetCanyon","TR38.901-V19.2.0 closed form",111.693987577243,111.693987577243,"PASS"
"PL-0121","REL19-UMi-StreetCanyon",7.5,"UMi-StreetCanyon","TR38.901-V19.2.0 closed form",98.2310844132671,98.2310844132671,"PASS"
"PL-0122","REL19-UMi-StreetCanyon",7.5,"UMi-StreetCanyon","TR38.901-V19.2.0 closed form",122.278996711852,122.278996711852,"PASS"
"PL-0123","REL19-UMi-StreetCanyon",7.5,"UMi-StreetCanyon","TR38.901-V19.2.0 closed form",107.444317308973,107.444317308973,"PASS"
"PL-0124","REL19-UMi-StreetCanyon",7.5,"UMi-StreetCanyon","TR38.901-V19.2.0 closed form",136.314661014268,136.314661014268,"PASS"
"PL-0125","REL19-UMi-StreetCanyon",7.5,"UMi-StreetCanyon","TR38.901-V19.2.0 closed form",119.483634808941,119.483634808941,"PASS"
"PL-0126","REL19-UMi-StreetCanyon",7.5,"UMi-StreetCanyon","TR38.901-V19.2.0 closed form",146.939358707989,146.939358707989,"PASS"
"PL-0127","REL19-UMi-StreetCanyon",7.5,"UMi-StreetCanyon","TR38.901-V19.2.0 closed form",131.524363990108,131.524363990108,"PASS"
"PL-0128","REL19-UMi-StreetCanyon",7.5,"UMi-StreetCanyon","TR38.901-V19.2.0 closed form",157.565302210369,157.565302210369,"PASS"
"PL-0129","REL19-UMi-StreetCanyon",15,"UMi-StreetCanyon","TR38.901-V19.2.0 closed form",79.4014971022001,79.4014971022001,"PASS"
"PL-0130","REL19-UMi-StreetCanyon",15,"UMi-StreetCanyon","TR38.901-V19.2.0 closed form",86.9189542376171,86.9189542376171,"PASS"
"PL-0131","REL19-UMi-StreetCanyon",15,"UMi-StreetCanyon","TR38.901-V19.2.0 closed form",84.0006308303493,84.0006308303493,"PASS"
"PL-0132","REL19-UMi-StreetCanyon",15,"UMi-StreetCanyon","TR38.901-V19.2.0 closed form",94.6498790282678,94.6498790282678,"PASS"
"PL-0133","REL19-UMi-StreetCanyon",15,"UMi-StreetCanyon","TR38.901-V19.2.0 closed form",91.7301135280062,91.7301135280062,"PASS"
"PL-0134","REL19-UMi-StreetCanyon",15,"UMi-StreetCanyon","TR38.901-V19.2.0 closed form",107.642771372424,107.642771372424,"PASS"
"PL-0135","REL19-UMi-StreetCanyon",15,"UMi-StreetCanyon","TR38.901-V19.2.0 closed form",97.9546533966094,97.9546533966094,"PASS"
