Scenario,Parameter,Statistic,ExpectedValue,ActualValue,ConfidenceLower,ConfidenceUpper,Status
"BOUNDED_ANALYTICAL_FIELD","SF","spatial_autocorrelation",1,1,1,1,"PASS"
"BOUNDED_ANALYTICAL_FIELD","SF","spatial_autocorrelation",0.818730753077982,0.818730753077982,0.818730753077982,0.818730753077982,"PASS"
"BOUNDED_ANALYTICAL_FIELD","SF","spatial_autocorrelation",0.670320046035639,0.670320046035639,0.670320046035639,0.670320046035639,"PASS"
"BOUNDED_ANALYTICAL_FIELD","SF","spatial_autocorrelation",0.367879441171442,0.367879441171442,0.367879441171442,0.367879441171442,"PASS"
"BOUNDED_ANALYTICAL_FIELD","SF","spatial_autocorrelation",0.135335283236613,0.135335283236613,0.135335283236613,0.135335283236613,"PASS"
"BOUNDED_ANALYTICAL_FIELD","SF","spatial_autocorrelation",0.0183156388887342,0.0183156388887342,0.0183156388887342,0.0183156388887342,"PASS"
"BOUNDED_ANALYTICAL_FIELD","SF","spatial_autocorrelation",4.53999297624849e-05,4.53999297624848e-05,4.53999297624848e-05,4.53999297624848e-05,"PASS"
"BOUNDED_ANALYTICAL_FIELD","SF","spatial_autocorrelation",2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,"PASS"
"BOUNDED_ANALYTICAL_FIELD","SF","spatial_autocorrelation",4.24835425529159e-18,4.24835425529159e-18,4.24835425529159e-18,4.24835425529159e-18,"PASS"
"BOUNDED_ANALYTICAL_FIELD","SF","spatial_autocorrelation",1,1,1,1,"PASS"
"BOUNDED_ANALYTICAL_FIELD","SF","spatial_autocorrelation",0.90483741803596,0.90483741803596,0.90483741803596,0.90483741803596,"PASS"
"BOUNDED_ANALYTICAL_FIELD","SF","spatial_autocorrelation",0.818730753077982,0.818730753077982,0.818730753077982,0.818730753077982,"PASS"
"BOUNDED_ANALYTICAL_FIELD","SF","spatial_autocorrelation",0.606530659712633,0.606530659712633,0.606530659712633,0.606530659712633,"PASS"
"BOUNDED_ANALYTICAL_FIELD","SF","spatial_autocorrelation",0.367879441171442,0.367879441171442,0.367879441171442,0.367879441171442,"PASS"
