TopologyID,SiteID,SectorID,CloneID,X_m,Y_m,Z_m,Orientation_deg,Status
"HEX19-WRAP-0001","SITE-00","SECTOR-00","SITE-00",-400,0,25,0,"PASS"
"HEX19-WRAP-0001","SITE-00","SECTOR-01","SITE-00",-400,0,25,120,"PASS"
"HEX19-WRAP-0001","SITE-00","SECTOR-02","SITE-00",-400,0,25,240,"PASS"
"HEX19-WRAP-0001","SITE-01","SECTOR-00","SITE-01",-300,173.205080756888,25,0,"PASS"
"HEX19-WRAP-0001","SITE-01","SECTOR-01","SITE-01",-300,173.205080756888,25,120,"PASS"
"HEX19-WRAP-0001","SITE-01","SECTOR-02","SITE-01",-300,173.205080756888,25,240,"PASS"
"HEX19-WRAP-0001","SITE-02","SECTOR-00","SITE-02",-200,346.410161513775,25,0,"PASS"
"HEX19-WRAP-0001","SITE-02","SECTOR-01","SITE-02",-200,346.410161513775,25,120,"PASS"
"HEX19-WRAP-0001","SITE-02","SECTOR-02","SITE-02",-200,346.410161513775,25,240,"PASS"
"HEX19-WRAP-0001","SITE-03","SECTOR-00","SITE-03",-300,-173.205080756888,25,0,"PASS"
"HEX19-WRAP-0001","SITE-03","SECTOR-01","SITE-03",-300,-173.205080756888,25,120,"PASS"
"HEX19-WRAP-0001","SITE-03","SECTOR-02","SITE-03",-300,-173.205080756888,25,240,"PASS"
"HEX19-WRAP-0001","SITE-04","SECTOR-00","SITE-04",-200,0,25,0,"PASS"
"HEX19-WRAP-0001","SITE-04","SECTOR-01","SITE-04",-200,0,25,120,"PASS"
"HEX19-WRAP-0001","SITE-04","SECTOR-02","SITE-04",-200,0,25,240,"PASS"
"HEX19-WRAP-0001","SITE-05","SECTOR-00","SITE-05",-100,173.205080756888,25,0,"PASS"
"HEX19-WRAP-0001","SITE-05","SECTOR-01","SITE-05",-100,173.205080756888,25,120,"PASS"
"HEX19-WRAP-0001","SITE-05","SECTOR-02","SITE-05",-100,173.205080756888,25,240,"PASS"
"HEX19-WRAP-0001","SITE-06","SECTOR-00","SITE-06",0,346.410161513775,25,0,"PASS"
"HEX19-WRAP-0001","SITE-06","SECTOR-01","SITE-06",0,346.410161513775,25,120,"PASS"
"HEX19-WRAP-0001","SITE-06","SECTOR-02","SITE-06",0,346.410161513775,25,240,"PASS"
"HEX19-WRAP-0001","SITE-07","SECTOR-00","SITE-07",-200,-346.410161513775,25,0,"PASS"
"HEX19-WRAP-0001","SITE-07","SECTOR-01","SITE-07",-200,-346.410161513775,25,120,"PASS"
"HEX19-WRAP-0001","SITE-07","SECTOR-02","SITE-07",-200,-346.410161513775,25,240,"PASS"
"HEX19-WRAP-0001","SITE-08","SECTOR-00","SITE-08",-100,-173.205080756888,25,0,"PASS"
"HEX19-WRAP-0001","SITE-08","SECTOR-01","SITE-08",-100,-173.205080756888,25,120,"PASS"
"HEX19-WRAP-0001","SITE-08","SECTOR-02","SITE-08",-100,-173.205080756888,25,240,"PASS"
"HEX19-WRAP-0001","SITE-09","SECTOR-00","SITE-09",0,0,25,0,"PASS"
"HEX19-WRAP-0001","SITE-09","SECTOR-01","SITE-09",0,0,25,120,"PASS"
"HEX19-WRAP-0001","SITE-09","SECTOR-02","SITE-09",0,0,25,240,"PASS"
"HEX19-WRAP-0001","SITE-10","SECTOR-00","SITE-10",100,173.205080756888,25,0,"PASS"
"HEX19-WRAP-0001","SITE-10","SECTOR-01","SITE-10",100,173.205080756888,25,120,"PASS"
"HEX19-WRAP-0001","SITE-10","SECTOR-02","SITE-10",100,173.205080756888,25,240,"PASS"
"HEX19-WRAP-0001","SITE-11","SECTOR-00","SITE-11",200,346.410161513775,25,0,"PASS"
"HEX19-WRAP-0001","SITE-11","SECTOR-01","SITE-11",200,346.410161513775,25,120,"PASS"
"HEX19-WRAP-0001","SITE-11","SECTOR-02","SITE-11",200,346.410161513775,25,240,"PASS"
"HEX19-WRAP-0001","SITE-12","SECTOR-00","SITE-12",0,-346.410161513775,25,0,"PASS"
"HEX19-WRAP-0001","SITE-12","SECTOR-01","SITE-12",0,-346.410161513775,25,120,"PASS"
"HEX19-WRAP-0001","SITE-12","SECTOR-02","SITE-12",0,-346.410161513775,25,240,"PASS"
"HEX19-WRAP-0001","SITE-13","SECTOR-00","SITE-13",100,-173.205080756888,25,0,"PASS"
"HEX19-WRAP-0001","SITE-13","SECTOR-01","SITE-13",100,-173.205080756888,25,120,"PASS"
"HEX19-WRAP-0001","SITE-13","SECTOR-02","SITE-13",100,-173.205080756888,25,240,"PASS"
"HEX19-WRAP-0001","SITE-14","SECTOR-00","SITE-14",200,0,25,0,"PASS"
"HEX19-WRAP-0001","SITE-14","SECTOR-01","SITE-14",200,0,25,120,"PASS"
