CaseID,Row0,Col0,ExpectedReal,ActualReal,ExpectedImag,ActualImag,SampleCount,Status
"INT-0001",0,0,1,1,0,0,16,"PASS"
"INT-0002",0,0,1,1,0,0,16,"PASS"
"INT-0003",0,0,1,1,0,0,16,"PASS"
"INT-0004",0,0,1,1,0,0,16,"PASS"
"INT-0005",0,0,1,1,0,0,64,"PASS"
"INT-0006",0,0,1,1,0,0,64,"PASS"
"INT-0007",0,0,1,1,0,0,64,"PASS"
"INT-0008",0,0,1,1,0,0,64,"PASS"
"INT-0009",0,0,1,1,0,0,256,"PASS"
"INT-0010",0,0,0.999999999999999,0.999999999999999,0,0,256,"PASS"
"INT-0011",0,0,1,1,0,0,256,"PASS"
"INT-0012",0,0,1,1,0,0,256,"PASS"
"INT-0013",0,0,1,1,0,0,16,"PASS"
"INT-0013",1,0,0.529605900728861,0.529605900728861,-0.400017700195836,-0.400017700195836,16,"PASS"
"INT-0013",0,1,0.529605900728861,0.529605900728861,0.400017700195836,0.400017700195836,16,"PASS"
"INT-0013",1,1,0.469863031525568,0.469863031525568,0,0,16,"PASS"
"INT-0014",0,0,1,1,0,0,16,"PASS"
"INT-0014",1,0,-0.642927734394673,-0.642927734394673,-0.164743737067385,-0.164743737067385,16,"PASS"
"INT-0014",0,1,-0.642927734394673,-0.642927734394673,0.164743737067385,0.164743737067385,16,"PASS"
"INT-0014",1,1,0.469863031525568,0.469863031525568,0,0,16,"PASS"
"INT-0015",0,0,1,1,0,0,16,"PASS"
"INT-0015",1,0,0.104499015198596,0.104499015198596,0.655420877283687,0.655420877283687,16,"PASS"
"INT-0015",0,1,0.104499015198596,0.104499015198596,-0.655420877283687,-0.655420877283687,16,"PASS"
"INT-0015",1,1,0.469863031525568,0.469863031525568,0,0,16,"PASS"
"INT-0016",0,0,1,1,0,0,16,"PASS"
"INT-0016",1,0,-0.200425111358463,-0.200425111358463,0.632713478040212,0.632713478040212,16,"PASS"
"INT-0016",0,1,-0.200425111358463,-0.200425111358463,-0.632713478040212,-0.632713478040212,16,"PASS"
"INT-0016",1,1,0.469863031525568,0.469863031525568,0,0,16,"PASS"
"INT-0017",0,0,1,1,0,0,64,"PASS"
"INT-0017",1,0,-0.635795250607791,-0.635795250607791,-0.285326956632823,-0.285326956632823,64,"PASS"
"INT-0017",0,1,-0.635795250607791,-0.635795250607791,0.285326956632823,0.285326956632823,64,"PASS"
"INT-0017",1,1,0.493356183101846,0.493356183101846,0,0,64,"PASS"
"INT-0018",0,0,1,1,0,0,64,"PASS"
"INT-0018",1,0,-0.686640782449266,-0.686640782449266,-0.119044146240932,-0.119044146240932,64,"PASS"
"INT-0018",0,1,-0.686640782449266,-0.686640782449266,0.119044146240932,0.119044146240932,64,"PASS"
"INT-0018",1,1,0.493356183101846,0.493356183101846,0,0,64,"PASS"
"INT-0019",0,0,1,1,0,0,64,"PASS"
"INT-0019",1,0,-0.117435824626596,-0.117435824626596,0.686917680636511,0.686917680636511,64,"PASS"
"INT-0019",0,1,-0.117435824626596,-0.117435824626596,-0.686917680636511,-0.686917680636511,64,"PASS"
"INT-0019",1,1,0.493356183101846,0.493356183101846,0,0,64,"PASS"
"INT-0020",0,0,1,1,0,0,64,"PASS"
"INT-0020",1,0,0.630321750884359,0.630321750884359,0.297223086651844,0.297223086651844,64,"PASS"
"INT-0020",0,1,0.630321750884359,0.630321750884359,-0.297223086651844,-0.297223086651844,64,"PASS"
"INT-0020",1,1,0.493356183101846,0.493356183101846,0,0,64,"PASS"
"INT-0021",0,0,1,1,0,0,256,"PASS"
"INT-0021",1,0,0.681056352786463,0.681056352786463,-0.182851182918575,-0.182851182918575,256,"PASS"
"INT-0021",0,1,0.681056352786463,0.681056352786463,0.182851182918575,0.182851182918575,256,"PASS"
"INT-0021",1,1,0.499229470995916,0.499229470995916,0,0,256,"PASS"
"INT-0022",0,0,1,1,0,0,256,"PASS"
"INT-0022",1,0,-0.530529285633029,-0.530529285633029,0.464554612345232,0.464554612345232,256,"PASS"
"INT-0022",0,1,-0.530529285633029,-0.530529285633029,-0.464554612345232,-0.464554612345232,256,"PASS"
"INT-0022",1,1,0.499229470995916,0.499229470995916,0,0,256,"PASS"
"INT-0023",0,0,1,1,0,0,256,"PASS"
"INT-0023",1,0,-0.698400883902502,-0.698400883902502,-0.0975116204855802,-0.0975116204855802,256,"PASS"
"INT-0023",0,1,-0.698400883902502,-0.698400883902502,0.0975116204855802,0.0975116204855802,256,"PASS"
"INT-0023",1,1,0.499229470995916,0.499229470995916,0,0,256,"PASS"
"INT-0024",0,0,1,1,0,0,256,"PASS"
"INT-0024",1,0,0.309474446726685,0.309474446726685,0.633638601719255,0.633638601719255,256,"PASS"
"INT-0024",0,1,0.309474446726685,0.309474446726685,-0.633638601719255,-0.633638601719255,256,"PASS"
"INT-0024",1,1,0.499229470995916,0.499229470995916,0,0,256,"PASS"
"INT-0025",0,0,1,1,0,0,16,"PASS"
"INT-0025",1,0,0.564906653948695,0.564906653948695,-0.348392082116233,-0.348392082116233,16,"PASS"
"INT-0025",2,0,0.372085658834371,0.372085658834371,0.232095960152002,0.232095960152002,16,"PASS"
"INT-0025",0,1,0.564906653948695,0.564906653948695,0.348392082116233,0.348392082116233,16,"PASS"
"INT-0025",1,1,0.469863031525568,0.469863031525568,0,0,16,"PASS"
"INT-0025",2,1,0.13794838910298,0.13794838910298,0.278130751067303,0.278130751067303,16,"PASS"
"INT-0025",0,2,0.372085658834371,0.372085658834371,-0.232095960152002,-0.232095960152002,16,"PASS"
"INT-0025",1,2,0.13794838910298,0.13794838910298,-0.278130751067303,-0.278130751067303,16,"PASS"
"INT-0025",2,2,0.219790062757088,0.219790062757088,0,0,16,"PASS"
"INT-0026",0,0,1,1,0,0,16,"PASS"
"INT-0026",1,0,-0.513852103260564,-0.513852103260564,0.420062598348734,0.420062598348734,16,"PASS"
"INT-0026",2,0,0.438524829384557,0.438524829384557,-0.00349946314921554,-0.00349946314921554,16,"PASS"
