TraceID,LinkID,AbsoluteSlot,Scenario,PLOS,LOSState,TransitionCause,StateAge_slots,Status
"LOS-0001-1","LINK-LOS-0001",0,"UMa",1,"LOS","seeded_spatial_draw",1,"PASS"
"LOS-0001-2","LINK-LOS-0001",1,"UMa",1,"LOS","seeded_spatial_draw",1,"PASS"
"LOS-0002-1","LINK-LOS-0002",0,"UMa",1,"LOS","seeded_spatial_draw",1,"PASS"
"LOS-0002-2","LINK-LOS-0002",1,"UMa",1,"LOS","seeded_spatial_draw",1,"PASS"
"LOS-0003-1","LINK-LOS-0003",0,"UMa",1,"LOS","seeded_spatial_draw",1,"PASS"
"LOS-0003-2","LINK-LOS-0003",1,"UMa",1,"LOS","seeded_spatial_draw",1,"PASS"
"LOS-0004-1","LINK-LOS-0004",0,"UMa",1,"LOS","seeded_spatial_draw",1,"PASS"
"LOS-0004-2","LINK-LOS-0004",1,"UMa",1,"LOS","seeded_spatial_draw",1,"PASS"
"LOS-0005-1","LINK-LOS-0005",0,"UMa",0.649402190333792,"LOS","seeded_spatial_draw",1,"PASS"
"LOS-0005-2","LINK-LOS-0005",1,"UMa",0.649402190333792,"NLOS","seeded_spatial_draw",1,"PASS"
"LOS-0006-1","LINK-LOS-0006",0,"UMa",0.347670836844231,"NLOS","seeded_spatial_draw",1,"PASS"
"LOS-0006-2","LINK-LOS-0006",1,"UMa",0.347670836844231,"LOS","seeded_spatial_draw",1,"PASS"
"LOS-0007-1","LINK-LOS-0007",0,"UMa",0.128047730027544,"LOS","seeded_spatial_draw",1,"PASS"
"LOS-0007-2","LINK-LOS-0007",1,"UMa",0.128047730027544,"NLOS","seeded_spatial_draw",1,"PASS"
"LOS-0008-1","LINK-LOS-0008",0,"UMa",0.0363445842566163,"NLOS","seeded_spatial_draw",1,"PASS"
"LOS-0008-2","LINK-LOS-0008",1,"UMa",0.0363445842566163,"NLOS","seeded_spatial_draw",1,"PASS"
"LOS-0009-1","LINK-LOS-0009",0,"UMa",0.0180001254724225,"LOS","seeded_spatial_draw",1,"PASS"
"LOS-0009-2","LINK-LOS-0009",1,"UMa",0.0180001254724225,"NLOS","seeded_spatial_draw",1,"PASS"
"LOS-0010-1","LINK-LOS-0010",0,"UMa",0.006,"NLOS","seeded_spatial_draw",1,"PASS"
"LOS-0010-2","LINK-LOS-0010",1,"UMa",0.006,"NLOS","seeded_spatial_draw",1,"PASS"
"LOS-0011-1","LINK-LOS-0011",0,"UMa",1,"LOS","seeded_spatial_draw",1,"PASS"
"LOS-0011-2","LINK-LOS-0011",1,"UMa",1,"LOS","seeded_spatial_draw",1,"PASS"
