TopologyID,UEID,CloneSiteID,SectorID,Distance2D_m,Pathloss_dB,Status
"WRAP-0001","UE-0","SITE-00","SECTOR-00",400,95.3225607135648,"PASS"
"WRAP-0001","UE-0","SITE-00","SECTOR-01",400,95.3225607135648,"PASS"
"WRAP-0001","UE-0","SITE-00","SECTOR-02",400,95.3225607135648,"PASS"
"WRAP-0001","UE-0","SITE-01","SECTOR-00",346.410161513775,94.0731733474818,"PASS"
"WRAP-0001","UE-0","SITE-01","SECTOR-01",346.410161513775,94.0731733474818,"PASS"
"WRAP-0001","UE-0","SITE-01","SECTOR-02",346.410161513775,94.0731733474818,"PASS"
"WRAP-0001","UE-0","SITE-02","SECTOR-00",400,95.3225607135648,"PASS"
"WRAP-0001","UE-0","SITE-02","SECTOR-01",400,95.3225607135648,"PASS"
"WRAP-0001","UE-0","SITE-02","SECTOR-02",400,95.3225607135648,"PASS"
"WRAP-0001","UE-0","SITE-03","SECTOR-00",346.410161513775,94.0731733474818,"PASS"
"WRAP-0001","UE-0","SITE-03","SECTOR-01",346.410161513775,94.0731733474818,"PASS"
"WRAP-0001","UE-0","SITE-03","SECTOR-02",346.410161513775,94.0731733474818,"PASS"
"WRAP-0001","UE-0","SITE-04","SECTOR-00",200,89.3019608002851,"PASS"
"WRAP-0001","UE-0","SITE-04","SECTOR-01",200,89.3019608002851,"PASS"
"WRAP-0001","UE-0","SITE-04","SECTOR-02",200,89.3019608002851,"PASS"
"WRAP-0001","UE-0","SITE-05","SECTOR-00",200,89.3019608002851,"PASS"
"WRAP-0001","UE-0","SITE-05","SECTOR-01",200,89.3019608002851,"PASS"
"WRAP-0001","UE-0","SITE-05","SECTOR-02",200,89.3019608002851,"PASS"
"WRAP-0001","UE-0","SITE-06","SECTOR-00",346.410161513775,94.0731733474818,"PASS"
"WRAP-0001","UE-0","SITE-06","SECTOR-01",346.410161513775,94.0731733474818,"PASS"
"WRAP-0001","UE-0","SITE-06","SECTOR-02",346.410161513775,94.0731733474818,"PASS"
"WRAP-0001","UE-0","SITE-07","SECTOR-00",400,95.3225607135648,"PASS"
"WRAP-0001","UE-0","SITE-07","SECTOR-01",400,95.3225607135648,"PASS"
"WRAP-0001","UE-0","SITE-07","SECTOR-02",400,95.3225607135648,"PASS"
"WRAP-0001","UE-0","SITE-08","SECTOR-00",200,89.3019608002851,"PASS"
"WRAP-0001","UE-0","SITE-08","SECTOR-01",200,89.3019608002851,"PASS"
"WRAP-0001","UE-0","SITE-08","SECTOR-02",200,89.3019608002851,"PASS"
"WRAP-0001","UE-0","SITE-09","SECTOR-00",0,43.2813608870055,"PASS"
"WRAP-0001","UE-0","SITE-09","SECTOR-01",0,43.2813608870055,"PASS"
"WRAP-0001","UE-0","SITE-09","SECTOR-02",0,43.2813608870055,"PASS"
"WRAP-0001","UE-0","SITE-10","SECTOR-00",200,89.3019608002851,"PASS"
"WRAP-0001","UE-0","SITE-10","SECTOR-01",200,89.3019608002851,"PASS"
"WRAP-0001","UE-0","SITE-10","SECTOR-02",200,89.3019608002851,"PASS"
"WRAP-0001","UE-0","SITE-11","SECTOR-00",400,95.3225607135648,"PASS"
"WRAP-0001","UE-0","SITE-11","SECTOR-01",400,95.3225607135648,"PASS"
"WRAP-0001","UE-0","SITE-11","SECTOR-02",400,95.3225607135648,"PASS"
"WRAP-0001","UE-0","SITE-12","SECTOR-00",346.410161513775,94.0731733474818,"PASS"
"WRAP-0001","UE-0","SITE-12","SECTOR-01",346.410161513775,94.0731733474818,"PASS"
"WRAP-0001","UE-0","SITE-12","SECTOR-02",346.410161513775,94.0731733474818,"PASS"
"WRAP-0001","UE-0","SITE-13","SECTOR-00",200,89.3019608002851,"PASS"
"WRAP-0001","UE-0","SITE-13","SECTOR-01",200,89.3019608002851,"PASS"
"WRAP-0001","UE-0","SITE-13","SECTOR-02",200,89.3019608002851,"PASS"
