MetricKey,Entity,Statistic,Value,TextValue,Unit,Notes
ue_energy_per_successful_bit,UE,mean,7.78506038198381e-06,not_applicable,J/bit,UE runtime energy divided by successful bits.
ue_energy_per_slot_frame_burst,UE,per_frame_mean,10.8336588873271,not_applicable,J/frame,Average UE energy per frame.
gnb_energy_per_successful_bit,gNB,mean,6.5345672891568e-05,not_applicable,J/bit,gNB runtime energy divided by successful bits.
gnb_active_sleep_duty_cycle,gNB,active_ratio,1,not_applicable,fraction,Active ratio from gNB runtime timeline.
gnb_active_sleep_duty_cycle,gNB,sleep_ratio,0,not_applicable,fraction,Residual ratio not spent in active runtime states.
rf_chain_active_time,gNB,total,0.3145,not_applicable,s,Accumulated gNB RF-chain active time.
bb_processing_energy,gNB,total,2.669663003663,not_applicable,J,Modeled TRX-chain processing energy in the RF energy model.
pdcch_monitoring_energy_metric,UE,total,0.1845,not_applicable,J,UE receive energy while monitoring PDCCH.
pdcch_monitoring_energy,UE,total,0.1845,not_applicable,J,UE receive energy while monitoring PDCCH.
ssb_pbch_common_signal_energy,gNB,total,8.34362264681069,not_applicable,J,gNB common-signal transmit energy.
prach_common_channel_clustering_energy_effect,system,delta_j,13.8436226468107,not_applicable,J,Measured common-signal and PRACH energy while clustering is enabled.
bandwidth_adaptation_energy_effect,system,delta_j,0,not_applicable,J,Measured energy-saving proxy using observed sleep ratio under bandwidth adaptation mode 'bwp_like'.
race_to_sleep_gains,system,fractional_gain,0,not_applicable,fraction,Measured sleep-ratio proxy under the configured sleep-state model.
throughput_per_watt,system,mean,0.0136741415713612,not_applicable,Mbps/W,Throughput per average combined UE+gNB power.
energy_delay_product,system,mean,32.0061730907203,not_applicable,J*s,Energy-delay product over the scenario runtime.
energy_spectral_efficiency_tradeoff,system,mean,0.000136741415713612,not_applicable,(bit/s/Hz)/W,Spectral efficiency per watt proxy.
