Sequence,NDI,RV,ReceivedMCS,NumPRB,RetainedTBSBits,MeasuredDelaySamples,DecodeAttempted,ACKDecision,DeliverTransportBlock
1,1,0,10,6,1064,42,1,0,0
2,1,2,31,8,1064,43,1,1,1
3,1,2,31,8,1064,NaN,0,1,0
4,0,0,10,6,1064,43,1,1,1
