TestID,Mu,SCS_kHz,CyclicPrefix,NRB,Nfft,SampleRate_Hz,CPLengthsSamples,WindowingSamples,OccupiedBandwidth_Hz,GuardbandLow_Hz,GuardbandHigh_Hz,TxGridPower,RxGridPower,NMSE,EVMPercent,AliasingMargin_Hz,Status,IndexConvention
GRID-FR1-030-0080,1,30,normal,217,4096,122880000,[352 288 288 288 288 288 288 288 288 288 288 288 288 288],0,78120000,925000,925000,0.00192012288786482,0.00192012288786482,5.31179878070506e-32,2.30473399348061e-14,44760000,PASS,zero_based_phy_indices
GRID-FR1-030-0090,1,30,normal,245,4096,122880000,[352 288 288 288 288 288 288 288 288 288 288 288 288 288],0,88200000,885000,885000,0.00170068027210884,0.00170068027210884,6.83110157131504e-32,2.61363761285206e-14,34680000,PASS,zero_based_phy_indices
GRID-FR1-030-0100,1,30,normal,273,4096,122880000,[352 288 288 288 288 288 288 288 288 288 288 288 288 288],0,98280000,845000,845000,0.00152625152625153,0.00152625152625153,6.47191540459954e-32,2.54399595215864e-14,24600000,PASS,zero_based_phy_indices
GRID-FR1-060-0010,2,60,normal,11,256,15360000,[26 18 18 18 18 18 18 18 18 18 18 18 18 18],0,7920000,1010000,1010000,0.0378787878787879,0.0378787878787879,3.06158319536767e-32,1.74973803621218e-14,7440000,PASS,zero_based_phy_indices
GRID-FR1-060-0015,2,60,normal,18,256,15360000,[26 18 18 18 18 18 18 18 18 18 18 18 18 18],0,12960000,990000,990000,0.0231481481481481,0.0231481481481481,4.46220379059103e-32,2.11239290630106e-14,2400000,PASS,zero_based_phy_indices
GRID-FR1-060-0020,2,60,normal,24,512,30720000,[52 36 36 36 36 36 36 36 36 36 36 36 36 36],0,17280000,1330000,1330000,0.0173611111111111,0.0173611111111111,3.29023818753664e-32,1.81390137205324e-14,13440000,PASS,zero_based_phy_indices
GRID-FR1-060-0025,2,60,normal,31,512,30720000,[52 36 36 36 36 36 36 36 36 36 36 36 36 36],0,22320000,1310000,1310000,0.0134408602150538,0.0134408602150538,4.85176933790604e-32,2.20267322540272e-14,8400000,PASS,zero_based_phy_indices
GRID-FR1-060-0030,2,60,normal,38,1024,61440000,[104 72 72 72 72 72 72 72 72 72 72 72 72 72],0,27360000,1290000,1290000,0.0109649122807018,0.0109649122807018,3.5547354245719e-32,1.88540060055467e-14,34080000,PASS,zero_based_phy_indices
GRID-FR1-060-0035,2,60,normal,44,1024,61440000,[104 72 72 72 72 72 72 72 72 72 72 72 72 72],0,31680000,1630000,1630000,0.00946969696969697,0.00946969696969697,3.38191295894215e-32,1.83899781374045e-14,29760000,PASS,zero_based_phy_indices
GRID-FR1-060-0040,2,60,normal,51,1024,61440000,[104 72 72 72 72 72 72 72 72 72 72 72 72 72],0,36720000,1610000,1610000,0.00816993464052288,0.00816993464052288,4.55419614862779e-32,2.13405626650934e-14,24720000,PASS,zero_based_phy_indices
GRID-FR1-060-0045,2,60,normal,58,1024,61440000,[104 72 72 72 72 72 72 72 72 72 72 72 72 72],0,41760000,1590000,1590000,0.00718390804597701,0.00718390804597701,4.96100458627473e-32,2.22733126998988e-14,19680000,PASS,zero_based_phy_indices
GRID-FR1-060-0050,2,60,normal,65,1024,61440000,[104 72 72 72 72 72 72 72 72 72 72 72 72 72],0,46800000,1570000,1570000,0.00641025641025641,0.00641025641025641,5.12289907622464e-32,2.26338222053294e-14,14640000,PASS,zero_based_phy_indices
GRID-FR1-060-0060,2,60,normal,79,2048,122880000,[208 144 144 144 144 144 144 144 144 144 144 144 144 144],0,56880000,1530000,1530000,0.00527426160337553,0.00527426160337553,4.04656207250667e-32,2.01160683845196e-14,66000000,PASS,zero_based_phy_indices
GRID-FR1-060-0070,2,60,normal,93,2048,122880000,[208 144 144 144 144 144 144 144 144 144 144 144 144 144],0,66960000,1490000,1490000,0.00448028673835125,0.00448028673835125,3.94945494853762e-32,1.9873235641278e-14,55920000,PASS,zero_based_phy_indices
GRID-FR1-060-0080,2,60,normal,107,2048,122880000,[208 144 144 144 144 144 144 144 144 144 144 144 144 144],0,77040000,1450000,1450000,0.00389408099688474,0.00389408099688474,4.04009377354201e-32,2.00999845112926e-14,45840000,PASS,zero_based_phy_indices
GRID-FR1-060-0090,2,60,normal,121,2048,122880000,[208 144 144 144 144 144 144 144 144 144 144 144 144 144],0,87120000,1410000,1410000,0.0034435261707989,0.0034435261707989,5.90931629600843e-32,2.43090853304036e-14,35760000,PASS,zero_based_phy_indices
GRID-FR1-060-0100,2,60,normal,135,2048,122880000,[208 144 144 144 144 144 144 144 144 144 144 144 144 144],0,97200000,1370000,1370000,0.00308641975308642,0.00308641975308642,6.17301750945017e-32,2.48455579721007e-14,25680000,PASS,zero_based_phy_indices
GRID-FR21-060-0050,2,60,normal,66,1024,61440000,[104 72 72 72 72 72 72 72 72 72 72 72 72 72],0,47520000,1210000,1210000,0.00631313131313131,0.00631313131313131,6.00989057124934e-32,2.45150781586544e-14,13920000,PASS,zero_based_phy_indices
GRID-FR21-060-0100,2,60,normal,132,2048,122880000,[208 144 144 144 144 144 144 144 144 144 144 144 144 144],0,95040000,2450000,2450000,0.00315656565656566,0.00315656565656566,5.53756910917544e-32,2.35320400925535e-14,27840000,PASS,zero_based_phy_indices
GRID-FR21-060-0200,2,60,normal,264,4096,245760000,[416 288 288 288 288 288 288 288 288 288 288 288 288 288],0,190080000,4930000,4930000,0.00157828282828283,0.00157828282828283,6.65344786263193e-32,2.57942781690667e-14,55680000,PASS,zero_based_phy_indices
GRID-FR21-120-0050,3,120,normal,32,512,61440000,[68 36 36 36 36 36 36 36 36 36 36 36 36 36],0,46080000,1900000,1900000,0.0130208333333333,0.0130208333333333,3.75211928241337e-32,1.93703879218083e-14,15360000,PASS,zero_based_phy_indices
GRID-FR21-120-0100,3,120,normal,66,1024,122880000,[136 72 72 72 72 72 72 72 72 72 72 72 72 72],0,95040000,2420000,2420000,0.00631313131313131,0.00631313131313131,6.01536913406389e-32,2.45262494769663e-14,27840000,PASS,zero_based_phy_indices
GRID-FR21-120-0200,3,120,normal,132,2048,245760000,[272 144 144 144 144 144 144 144 144 144 144 144 144 144],0,190080000,4900000,4900000,0.00315656565656566,0.00315656565656566,5.50633889167547e-32,2.34655894698502e-14,55680000,PASS,zero_based_phy_indices
GRID-FR21-120-0400,3,120,normal,264,4096,491520000,[544 288 288 288 288 288 288 288 288 288 288 288 288 288],0,380160000,9860000,9860000,0.00157828282828283,0.00157828282828283,6.53353834791725e-32,2.55607870534482e-14,111360000,PASS,zero_based_phy_indices
GRID-FR22-120-0100,3,120,normal,66,1024,122880000,[136 72 72 72 72 72 72 72 72 72 72 72 72 72],0,95040000,2420000,2420000,0.00631313131313131,0.00631313131313131,5.99754104196308e-32,2.44898775863888e-14,27840000,PASS,zero_based_phy_indices
GRID-FR22-120-0400,3,120,normal,264,4096,491520000,[544 288 288 288 288 288 288 288 288 288 288 288 288 288],0,380160000,9860000,9860000,0.00157828282828283,0.00157828282828283,6.5868497798145e-32,2.56648588147578e-14,111360000,PASS,zero_based_phy_indices
GRID-FR22-480-0400,5,480,normal,66,1024,491520000,[328 72 72 72 72 72 72 72 72 72 72 72 72 72],0,380160000,9680000,9680000,0.00631313131313131,0.00631313131313131,5.93233219112948e-32,2.43563794335888e-14,111360000,PASS,zero_based_phy_indices
GRID-FR22-480-0800,5,480,normal,124,2048,983040000,[656 144 144 144 144 144 144 144 144 144 144 144 144 144],0,714240000,42640000,42640000,0.00336021505376344,0.00336021505376344,5.29394816340636e-32,2.30085813630618e-14,268800000,PASS,zero_based_phy_indices
GRID-FR22-480-1600,5,480,normal,248,4096,1966080000,[1312 288 288 288 288 288 288 288 288 288 288 288 288 288],0,1428480000,85520000,85520000,0.00168010752688172,0.00168010752688172,5.96985720336677e-32,2.44332912301367e-14,537600000,PASS,zero_based_phy_indices
GRID-FR22-960-0400,6,960,normal,33,512,491520000,[292 36 36 36 36 36 36 36 36 36 36 36 36 36],0,380160000,9440000,9440000,0.0126262626262626,0.0126262626262626,4.83523607561146e-32,2.19891702335751e-14,111360000,PASS,zero_based_phy_indices
GRID-FR22-960-0800,6,960,normal,62,1024,983040000,[584 72 72 72 72 72 72 72 72 72 72 72 72 72],0,714240000,42400000,42400000,0.00672043010752688,0.00672043010752688,5.37233406607751e-32,2.31782960246812e-14,268800000,PASS,zero_based_phy_indices
GRID-FR22-960-1600,6,960,normal,124,2048,1966080000,[1168 144 144 144 144 144 144 144 144 144 144 144 144 144],0,1428480000,85280000,85280000,0.00336021505376344,0.00336021505376344,5.23947932357414e-32,2.28899089635021e-14,537600000,PASS,zero_based_phy_indices
GRID-FR22-960-2000,6,960,normal,148,4096,3932160000,[2336 288 288 288 288 288 288 288 288 288 288 288 288 288],0,1704960000,147040000,147040000,0.00281531531531532,0.00281531531531532,3.66960860620849e-32,1.91562225039502e-14,2227200000,PASS,zero_based_phy_indices
OFDM-EXTENDED-CP-60,2,60,extended,24,512,30720000,[128 128 128 128 128 128 128 128 128 128 128 128],0,17280000,1330000,1330000,0.0173611111111111,0.0173611111111111,3.37401788834982e-32,1.83684999070415e-14,13440000,PASS,zero_based_phy_indices
