TestID,Mu,SCS_kHz,CyclicPrefix,ExpectedValid,ResolvedValid,ExpectedSymbolsPerSlot,ResolvedSymbolsPerSlot,ExpectedSlotsPerSubframe,ResolvedSlotsPerSubframe,ExpectedSlotsPerFrame,ResolvedSlotsPerFrame,ErrorID,Status,IndexConvention
NUM-N-00,0,15,normal,TRUE,TRUE,14,14,1,1,10,10,,PASS,zero_based_phy_indices
NUM-N-01,1,30,normal,TRUE,TRUE,14,14,2,2,20,20,,PASS,zero_based_phy_indices
NUM-N-02,2,60,normal,TRUE,TRUE,14,14,4,4,40,40,,PASS,zero_based_phy_indices
NUM-N-03,3,120,normal,TRUE,TRUE,14,14,8,8,80,80,,PASS,zero_based_phy_indices
NUM-N-04,4,240,normal,TRUE,TRUE,14,14,16,16,160,160,,PASS,zero_based_phy_indices
NUM-N-05,5,480,normal,TRUE,TRUE,14,14,32,32,320,320,,PASS,zero_based_phy_indices
NUM-N-06,6,960,normal,TRUE,TRUE,14,14,64,64,640,640,,PASS,zero_based_phy_indices
NUM-E-00,0,15,extended,FALSE,FALSE,NaN,NaN,NaN,NaN,NaN,NaN,sixgr:phy:frame:UnsupportedCyclicPrefixNumerology,PASS,zero_based_phy_indices
NUM-E-01,1,30,extended,FALSE,FALSE,NaN,NaN,NaN,NaN,NaN,NaN,sixgr:phy:frame:UnsupportedCyclicPrefixNumerology,PASS,zero_based_phy_indices
NUM-E-02,2,60,extended,TRUE,TRUE,12,12,4,4,40,40,,PASS,zero_based_phy_indices
NUM-E-03,3,120,extended,FALSE,FALSE,NaN,NaN,NaN,NaN,NaN,NaN,sixgr:phy:frame:UnsupportedCyclicPrefixNumerology,PASS,zero_based_phy_indices
NUM-E-04,4,240,extended,FALSE,FALSE,NaN,NaN,NaN,NaN,NaN,NaN,sixgr:phy:frame:UnsupportedCyclicPrefixNumerology,PASS,zero_based_phy_indices
NUM-E-05,5,480,extended,FALSE,FALSE,NaN,NaN,NaN,NaN,NaN,NaN,sixgr:phy:frame:UnsupportedCyclicPrefixNumerology,PASS,zero_based_phy_indices
NUM-E-06,6,960,extended,FALSE,FALSE,NaN,NaN,NaN,NaN,NaN,NaN,sixgr:phy:frame:UnsupportedCyclicPrefixNumerology,PASS,zero_based_phy_indices
NUM-X-001,NaN,20,normal,FALSE,FALSE,NaN,NaN,NaN,NaN,NaN,NaN,sixgr:phy:frame:UnsupportedSubcarrierSpacing,PASS,zero_based_phy_indices
NUM-X-002,NaN,75,normal,FALSE,FALSE,NaN,NaN,NaN,NaN,NaN,NaN,sixgr:phy:frame:UnsupportedSubcarrierSpacing,PASS,zero_based_phy_indices
NUM-X-003,NaN,0,normal,FALSE,FALSE,NaN,NaN,NaN,NaN,NaN,NaN,sixgr:phy:frame:InvalidSubcarrierSpacing,PASS,zero_based_phy_indices
NUM-X-004,NaN,-30,normal,FALSE,FALSE,NaN,NaN,NaN,NaN,NaN,NaN,sixgr:phy:frame:InvalidSubcarrierSpacing,PASS,zero_based_phy_indices
