TestID,CellID,CCID,BWPID,Frame,Slot,Symbol,CommonDirection,DedicatedDirection,ResolvedDirection,ResolutionSource,AllocationOwner,Status,IndexConvention
TDD-001,0,0,0,0,6,12,U,,U,common,,PASS,zero_based_phy_indices
TDD-001,0,0,0,0,6,13,U,,U,common,,PASS,zero_based_phy_indices
TDD-001,0,0,0,0,7,0,U,,U,common,,PASS,zero_based_phy_indices
TDD-001,0,0,0,0,7,1,U,,U,common,,PASS,zero_based_phy_indices
TDD-001,0,0,0,0,7,2,U,,U,common,,PASS,zero_based_phy_indices
TDD-001,0,0,0,0,7,3,U,,U,common,,PASS,zero_based_phy_indices
TDD-001,0,0,0,0,7,4,U,,U,common,,PASS,zero_based_phy_indices
TDD-001,0,0,0,0,7,5,U,,U,common,,PASS,zero_based_phy_indices
TDD-001,0,0,0,0,7,6,U,,U,common,,PASS,zero_based_phy_indices
TDD-001,0,0,0,0,7,7,U,,U,common,,PASS,zero_based_phy_indices
TDD-001,0,0,0,0,7,8,U,,U,common,,PASS,zero_based_phy_indices
TDD-001,0,0,0,0,7,9,U,,U,common,,PASS,zero_based_phy_indices
TDD-001,0,0,0,0,7,10,U,,U,common,,PASS,zero_based_phy_indices
TDD-001,0,0,0,0,7,11,U,,U,common,,PASS,zero_based_phy_indices
TDD-001,0,0,0,0,7,12,U,,U,common,,PASS,zero_based_phy_indices
TDD-001,0,0,0,0,7,13,U,,U,common,,PASS,zero_based_phy_indices
TDD-001,0,0,0,0,8,0,U,,U,common,,PASS,zero_based_phy_indices
TDD-001,0,0,0,0,8,1,U,,U,common,,PASS,zero_based_phy_indices
TDD-001,0,0,0,0,8,2,U,,U,common,,PASS,zero_based_phy_indices
TDD-001,0,0,0,0,8,3,U,,U,common,,PASS,zero_based_phy_indices
TDD-001,0,0,0,0,8,4,U,,U,common,,PASS,zero_based_phy_indices
TDD-001,0,0,0,0,8,5,U,,U,common,,PASS,zero_based_phy_indices
TDD-001,0,0,0,0,8,6,U,,U,common,,PASS,zero_based_phy_indices
TDD-001,0,0,0,0,8,7,U,,U,common,,PASS,zero_based_phy_indices
TDD-001,0,0,0,0,8,8,U,,U,common,,PASS,zero_based_phy_indices
TDD-001,0,0,0,0,8,9,U,,U,common,,PASS,zero_based_phy_indices
TDD-001,0,0,0,0,8,10,U,,U,common,,PASS,zero_based_phy_indices
TDD-001,0,0,0,0,8,11,U,,U,common,,PASS,zero_based_phy_indices
TDD-001,0,0,0,0,8,12,U,,U,common,,PASS,zero_based_phy_indices
TDD-001,0,0,0,0,8,13,U,,U,common,,PASS,zero_based_phy_indices
TDD-001,0,0,0,0,9,0,U,,U,common,,PASS,zero_based_phy_indices
TDD-001,0,0,0,0,9,1,U,,U,common,,PASS,zero_based_phy_indices
