TestID,Role,FrequencyRange,CenterFrequency_Hz,ChannelBandwidth_MHz,CarrierSCS_kHz,ExpectedValid,ResolvedValid,ExpectedNRB,ResolvedNRB,NStartGrid,OccupiedBandwidth_Hz,GuardbandLow_Hz,GuardbandHigh_Hz,ChannelLowEdge_Hz,ChannelHighEdge_Hz,TransmissionLowEdge_Hz,TransmissionHighEdge_Hz,ActiveBWPStartRB,ActiveBWPSizeRB,ActiveBWPLowEdge_Hz,ActiveBWPHighEdge_Hz,ErrorID,Status,IndexConvention
GRID-FR1-030-0030,gNB_carrier_transmission_bandwidth,FR1,4000000000,30,30,TRUE,TRUE,78,78,0,28080000,945000,945000,3985000000,4015000000,3985960000,4014040000,19,39,3992800000,4006840000,,PASS,zero_based_phy_indices
GRID-FR1-030-0035,gNB_carrier_transmission_bandwidth,FR1,4000000000,35,30,TRUE,TRUE,92,92,0,33120000,925000,925000,3982500000,4017500000,3983440000,4016560000,23,46,3991720000,4008280000,,PASS,zero_based_phy_indices
GRID-FR1-030-0040,gNB_carrier_transmission_bandwidth,FR1,4000000000,40,30,TRUE,TRUE,106,106,0,38160000,905000,905000,3980000000,4020000000,3980920000,4019080000,26,53,3990280000,4009360000,,PASS,zero_based_phy_indices
GRID-FR1-030-0045,gNB_carrier_transmission_bandwidth,FR1,4000000000,45,30,TRUE,TRUE,119,119,0,42840000,1065000,1065000,3977500000,4022500000,3978580000,4021420000,30,59,3989380000,4010620000,,PASS,zero_based_phy_indices
GRID-FR1-030-0050,gNB_carrier_transmission_bandwidth,FR1,4000000000,50,30,TRUE,TRUE,133,133,0,47880000,1045000,1045000,3975000000,4025000000,3976060000,4023940000,33,66,3987940000,4011700000,,PASS,zero_based_phy_indices
GRID-FR1-030-0060,gNB_carrier_transmission_bandwidth,FR1,4000000000,60,30,TRUE,TRUE,162,162,0,58320000,825000,825000,3970000000,4030000000,3970840000,4029160000,40,81,3985240000,4014400000,,PASS,zero_based_phy_indices
GRID-FR1-030-0070,gNB_carrier_transmission_bandwidth,FR1,4000000000,70,30,TRUE,TRUE,189,189,0,68040000,965000,965000,3965000000,4035000000,3965980000,4034020000,47,94,3982900000,4016740000,,PASS,zero_based_phy_indices
GRID-FR1-030-0080,gNB_carrier_transmission_bandwidth,FR1,4000000000,80,30,TRUE,TRUE,217,217,0,78120000,925000,925000,3960000000,4040000000,3960940000,4039060000,54,108,3980380000,4019260000,,PASS,zero_based_phy_indices
GRID-FR1-030-0090,gNB_carrier_transmission_bandwidth,FR1,4000000000,90,30,TRUE,TRUE,245,245,0,88200000,885000,885000,3955000000,4045000000,3955900000,4044100000,61,122,3977860000,4021780000,,PASS,zero_based_phy_indices
GRID-FR1-030-0100,gNB_carrier_transmission_bandwidth,FR1,4000000000,100,30,TRUE,TRUE,273,273,0,98280000,845000,845000,3950000000,4050000000,3950860000,4049140000,68,136,3975340000,4024300000,,PASS,zero_based_phy_indices
GRID-FR1-060-0003,gNB_carrier_transmission_bandwidth,FR1,4000000000,3,60,FALSE,FALSE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,sixgr:phy:frame:UnsupportedBandwidthSCSCombination,PASS,zero_based_phy_indices
GRID-FR1-060-0005,gNB_carrier_transmission_bandwidth,FR1,4000000000,5,60,FALSE,FALSE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,sixgr:phy:frame:UnsupportedBandwidthSCSCombination,PASS,zero_based_phy_indices
GRID-FR1-060-0010,gNB_carrier_transmission_bandwidth,FR1,4000000000,10,60,TRUE,TRUE,11,11,0,7920000,1010000,1010000,3995000000,4005000000,3996040000,4003960000,3,5,3998200000,4001800000,,PASS,zero_based_phy_indices
GRID-FR1-060-0015,gNB_carrier_transmission_bandwidth,FR1,4000000000,15,60,TRUE,TRUE,18,18,0,12960000,990000,990000,3992500000,4007500000,3993520000,4006480000,4,9,3996400000,4002880000,,PASS,zero_based_phy_indices
GRID-FR1-060-0020,gNB_carrier_transmission_bandwidth,FR1,4000000000,20,60,TRUE,TRUE,24,24,0,17280000,1330000,1330000,3990000000,4010000000,3991360000,4008640000,6,12,3995680000,4004320000,,PASS,zero_based_phy_indices
GRID-FR1-060-0025,gNB_carrier_transmission_bandwidth,FR1,4000000000,25,60,TRUE,TRUE,31,31,0,22320000,1310000,1310000,3987500000,4012500000,3988840000,4011160000,8,15,3994600000,4005400000,,PASS,zero_based_phy_indices
GRID-FR1-060-0030,gNB_carrier_transmission_bandwidth,FR1,4000000000,30,60,TRUE,TRUE,38,38,0,27360000,1290000,1290000,3985000000,4015000000,3986320000,4013680000,9,19,3992800000,4006480000,,PASS,zero_based_phy_indices
