TestID,Case,FrequencyRange,CarrierFrequency_Hz,SSBSCS_kHz,Lmax,CandidateIndex,StartSymbol,Slot,Symbol,ExpectedValid,ActualValid,ReasonCode,Status,IndexConvention
SSB-A-00,A,FR1,2000000000,15,4,0,2,0,2,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-A-01,A,FR1,2000000000,15,4,1,8,0,8,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-A-02,A,FR1,2000000000,15,4,2,16,1,2,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-A-03,A,FR1,2000000000,15,4,3,22,1,8,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-B-00,B,FR1,4000000000,30,8,0,4,0,4,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-B-01,B,FR1,4000000000,30,8,1,8,0,8,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-B-02,B,FR1,4000000000,30,8,2,16,1,2,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-B-03,B,FR1,4000000000,30,8,3,20,1,6,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-B-04,B,FR1,4000000000,30,8,4,32,2,4,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-B-05,B,FR1,4000000000,30,8,5,36,2,8,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-B-06,B,FR1,4000000000,30,8,6,44,3,2,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-B-07,B,FR1,4000000000,30,8,7,48,3,6,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-C-00,C,FR1,4000000000,30,8,0,2,0,2,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-C-01,C,FR1,4000000000,30,8,1,8,0,8,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-C-02,C,FR1,4000000000,30,8,2,16,1,2,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-C-03,C,FR1,4000000000,30,8,3,22,1,8,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-C-04,C,FR1,4000000000,30,8,4,30,2,2,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-C-05,C,FR1,4000000000,30,8,5,36,2,8,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
SSB-C-06,C,FR1,4000000000,30,8,6,44,3,2,TRUE,TRUE,ssb_case_candidate_resolved,PASS,zero_based_phy_indices
