TestID,FrequencyRange,DuplexMode,ConfigurationIndex,Format,PeriodFrames,Frame,AbsoluteSlot,StartSymbol,DurationSymbols,FrequencyIndex,ULAvailable,ExpectedValid,ActualValid,ReasonCode,Status,IndexConvention
PRACH-FR1-FDD-LONG-0000,FR1,FDD,16,0,1,0,1,0,14,0,TRUE,TRUE,TRUE,not_applicable_or_ul_available,PASS,zero_based_phy_indices
PRACH-FR1-FDD-SHORT-0000,FR1,FDD,87,A1,16,0,4,0,2,0,TRUE,TRUE,TRUE,not_applicable_or_ul_available,PASS,zero_based_phy_indices
PRACH-FR1-FDD-SHORT-0001,FR1,FDD,87,A1,16,0,4,2,2,0,TRUE,TRUE,TRUE,not_applicable_or_ul_available,PASS,zero_based_phy_indices
PRACH-FR1-FDD-SHORT-0002,FR1,FDD,87,A1,16,0,4,4,2,0,TRUE,TRUE,TRUE,not_applicable_or_ul_available,PASS,zero_based_phy_indices
PRACH-FR1-FDD-SHORT-0003,FR1,FDD,87,A1,16,0,4,6,2,0,TRUE,TRUE,TRUE,not_applicable_or_ul_available,PASS,zero_based_phy_indices
PRACH-FR1-FDD-SHORT-0004,FR1,FDD,87,A1,16,0,4,8,2,0,TRUE,TRUE,TRUE,not_applicable_or_ul_available,PASS,zero_based_phy_indices
PRACH-FR1-FDD-SHORT-0005,FR1,FDD,87,A1,16,0,4,10,2,0,TRUE,TRUE,TRUE,not_applicable_or_ul_available,PASS,zero_based_phy_indices
PRACH-FR1-FDD-SHORT-0006,FR1,FDD,87,A1,16,0,9,0,2,0,TRUE,TRUE,TRUE,not_applicable_or_ul_available,PASS,zero_based_phy_indices
PRACH-FR1-FDD-SHORT-0007,FR1,FDD,87,A1,16,0,9,2,2,0,TRUE,TRUE,TRUE,not_applicable_or_ul_available,PASS,zero_based_phy_indices
PRACH-FR1-FDD-SHORT-0008,FR1,FDD,87,A1,16,0,9,4,2,0,TRUE,TRUE,TRUE,not_applicable_or_ul_available,PASS,zero_based_phy_indices
PRACH-FR1-FDD-SHORT-0009,FR1,FDD,87,A1,16,0,9,6,2,0,TRUE,TRUE,TRUE,not_applicable_or_ul_available,PASS,zero_based_phy_indices
PRACH-FR1-FDD-SHORT-0010,FR1,FDD,87,A1,16,0,9,8,2,0,TRUE,TRUE,TRUE,not_applicable_or_ul_available,PASS,zero_based_phy_indices
PRACH-FR1-FDD-SHORT-0011,FR1,FDD,87,A1,16,0,9,10,2,0,TRUE,TRUE,TRUE,not_applicable_or_ul_available,PASS,zero_based_phy_indices
PRACH-FR1-TDD-SHORT-0000,FR1,TDD,167,B4,1,0,0,0,12,0,TRUE,TRUE,TRUE,not_applicable_or_ul_available,PASS,zero_based_phy_indices
PRACH-FR1-TDD-SHORT-0001,FR1,TDD,167,B4,1,0,1,0,12,0,TRUE,TRUE,TRUE,not_applicable_or_ul_available,PASS,zero_based_phy_indices
PRACH-FR1-TDD-SHORT-0002,FR1,TDD,167,B4,1,0,2,0,12,0,TRUE,TRUE,TRUE,not_applicable_or_ul_available,PASS,zero_based_phy_indices
PRACH-FR1-TDD-SHORT-0003,FR1,TDD,167,B4,1,0,3,0,12,0,TRUE,TRUE,TRUE,not_applicable_or_ul_available,PASS,zero_based_phy_indices
PRACH-FR1-TDD-SHORT-0004,FR1,TDD,167,B4,1,0,4,0,12,0,TRUE,TRUE,TRUE,not_applicable_or_ul_available,PASS,zero_based_phy_indices
PRACH-FR1-TDD-SHORT-0005,FR1,TDD,167,B4,1,0,5,0,12,0,TRUE,TRUE,TRUE,not_applicable_or_ul_available,PASS,zero_based_phy_indices
PRACH-FR1-TDD-SHORT-0006,FR1,TDD,167,B4,1,0,6,0,12,0,TRUE,TRUE,TRUE,not_applicable_or_ul_available,PASS,zero_based_phy_indices
PRACH-FR1-TDD-SHORT-0007,FR1,TDD,167,B4,1,0,7,0,12,0,TRUE,TRUE,TRUE,not_applicable_or_ul_available,PASS,zero_based_phy_indices
PRACH-FR1-TDD-SHORT-0008,FR1,TDD,167,B4,1,0,8,0,12,0,TRUE,TRUE,TRUE,not_applicable_or_ul_available,PASS,zero_based_phy_indices
PRACH-FR1-TDD-SHORT-0009,FR1,TDD,167,B4,1,0,9,0,12,0,TRUE,TRUE,TRUE,not_applicable_or_ul_available,PASS,zero_based_phy_indices
PRACH-FR1-TDD-SHORT-0010,FR1,TDD,167,B4,1,0,10,0,12,0,TRUE,TRUE,TRUE,not_applicable_or_ul_available,PASS,zero_based_phy_indices
PRACH-FR1-TDD-SHORT-0011,FR1,TDD,167,B4,1,0,11,0,12,0,TRUE,TRUE,TRUE,not_applicable_or_ul_available,PASS,zero_based_phy_indices
PRACH-FR1-TDD-SHORT-0012,FR1,TDD,167,B4,1,0,12,0,12,0,TRUE,TRUE,TRUE,not_applicable_or_ul_available,PASS,zero_based_phy_indices
PRACH-FR1-TDD-SHORT-0013,FR1,TDD,167,B4,1,0,13,0,12,0,TRUE,TRUE,TRUE,not_applicable_or_ul_available,PASS,zero_based_phy_indices
PRACH-FR1-TDD-SHORT-0014,FR1,TDD,167,B4,1,0,14,0,12,0,TRUE,TRUE,TRUE,not_applicable_or_ul_available,PASS,zero_based_phy_indices
