RunID,CaseID,A,E,CodingScheme,CRCBits,Segmentation,CodeBlocks,RateMatchingDigest,RoundTripBitErrors,IndependentMismatchCount,Status,RoundTripExecutionE,RoundTripStatus
PUCCH_PHASE05_R18,COD-001,0,0,NO_UCI,0,false,1,fdc7e7a0de7fda24c2f3525dfcfaa5177fbb06b9f5e997730231862b361c2418,0,0,PASS,0,not_applicable_no_payload
PUCCH_PHASE05_R18,COD-002,0,31,NO_UCI,0,false,1,bf23d759de904d924d3ab7e6e43dd9085ef63b10040be18ef7a9bbec386b52e9,0,0,PASS,0,not_applicable_no_payload
PUCCH_PHASE05_R18,COD-003,1,31,SMALL_BLOCK_1_2,0,false,1,3372367d05354493e5a66db50dc293f2d9ba987a346c9eeebf63eb5fd8205113,0,0,PASS,2048,executed_production_encoder_decoder
PUCCH_PHASE05_R18,COD-004,1,64,SMALL_BLOCK_1_2,0,false,1,d9188c15ceaeb8466d7cf98faba6a10326d6a4a7938191a185c5e18aca2fde40,0,0,PASS,2048,executed_production_encoder_decoder
PUCCH_PHASE05_R18,COD-005,1,128,SMALL_BLOCK_1_2,0,false,1,42324f6b6d7c1f0856bd27b8a5fe501d06de02da51eabeeb9bb2f6556dffab2d,0,0,PASS,2048,executed_production_encoder_decoder
PUCCH_PHASE05_R18,COD-006,1,512,SMALL_BLOCK_1_2,0,false,1,359fba9a6a5f66a19441786720ff6df69bb838afd093ec8166b5b8cab845c639,0,0,PASS,2048,executed_production_encoder_decoder
PUCCH_PHASE05_R18,COD-007,1,1088,SMALL_BLOCK_1_2,0,false,1,97dbc4c717d89262564732a391834563f50250a8464b12e4be525a9500c44842,0,0,PASS,2048,executed_production_encoder_decoder
PUCCH_PHASE05_R18,COD-008,1,2048,SMALL_BLOCK_1_2,0,false,1,62c41746e017cc7b1b93ea29ee152ccc5aeb992ceeb2557e4ec9233751cd0c20,0,0,PASS,2048,executed_production_encoder_decoder
PUCCH_PHASE05_R18,COD-009,2,31,SMALL_BLOCK_1_2,0,false,1,67b67b06700468b1dca32bd5f14e0d3d49280122057a7a3b006b4bc169c6a479,0,0,PASS,2048,executed_production_encoder_decoder
PUCCH_PHASE05_R18,COD-010,2,64,SMALL_BLOCK_1_2,0,false,1,cf24ee00b3ba07004c2bd75125af206eba812fb1f8bda0616024cd53c3ad1d10,0,0,PASS,2048,executed_production_encoder_decoder
