RunID,CaseID,SchedulingRequestID,AbsoluteSlot,IsOccasion,PendingPositiveSR,Transmitted,ResourceID,Mismatch,Status
PUCCH_PHASE05_R18,SR-0385,2,9,false,false,false,2,false,PASS
PUCCH_PHASE05_R18,SR-0386,3,9,false,true,false,3,false,PASS
PUCCH_PHASE05_R18,SR-0387,4,12,false,false,false,4,false,PASS
PUCCH_PHASE05_R18,SR-0388,1,12,false,true,false,1,false,PASS
PUCCH_PHASE05_R18,SR-0389,2,15,false,false,false,2,false,PASS
PUCCH_PHASE05_R18,SR-0390,3,15,false,true,false,3,false,PASS
PUCCH_PHASE05_R18,SR-0391,4,18,false,false,false,4,false,PASS
PUCCH_PHASE05_R18,SR-0392,1,18,false,true,false,1,false,PASS
PUCCH_PHASE05_R18,SR-0393,2,21,false,false,false,2,false,PASS
PUCCH_PHASE05_R18,SR-0394,3,21,false,true,false,3,false,PASS
PUCCH_PHASE05_R18,SR-0395,4,24,false,false,false,4,false,PASS
PUCCH_PHASE05_R18,SR-0396,1,24,false,true,false,1,false,PASS
PUCCH_PHASE05_R18,SR-0397,2,0,false,false,false,2,false,PASS
PUCCH_PHASE05_R18,SR-0398,3,0,false,true,false,3,false,PASS
PUCCH_PHASE05_R18,SR-0399,4,3,true,false,false,4,false,PASS
PUCCH_PHASE05_R18,SR-0400,1,3,true,true,true,1,false,PASS
PUCCH_PHASE05_R18,SR-0401,2,6,false,false,false,2,false,PASS
PUCCH_PHASE05_R18,SR-0402,3,6,false,true,false,3,false,PASS
PUCCH_PHASE05_R18,SR-0403,4,9,false,false,false,4,false,PASS
PUCCH_PHASE05_R18,SR-0404,1,9,false,true,false,1,false,PASS
PUCCH_PHASE05_R18,SR-0405,2,12,false,false,false,2,false,PASS
PUCCH_PHASE05_R18,SR-0406,3,12,false,true,false,3,false,PASS
PUCCH_PHASE05_R18,SR-0407,4,15,false,false,false,4,false,PASS
PUCCH_PHASE05_R18,SR-0408,1,15,false,true,false,1,false,PASS
PUCCH_PHASE05_R18,SR-0409,2,18,false,false,false,2,false,PASS
PUCCH_PHASE05_R18,SR-0410,3,18,false,true,false,3,false,PASS
PUCCH_PHASE05_R18,SR-0411,4,21,false,false,false,4,false,PASS
PUCCH_PHASE05_R18,SR-0412,1,21,false,true,false,1,false,PASS
PUCCH_PHASE05_R18,SR-0413,2,24,false,false,false,2,false,PASS
PUCCH_PHASE05_R18,SR-0414,3,24,false,true,false,3,false,PASS
