RunID,CaseID,SpatialRelationID,ReferenceSignalType,ReferenceSignalID,PathlossReferenceRSID,P0PUCCHID,ClosedLoopIndex,StateAgeSlots,SelectedBeamID,AppliedBeamID,MismatchCount,Status
PUCCH_PHASE05_R18,SPAT-001,1,SSB,11,21,1,1,0,1,1,0,PASS
PUCCH_PHASE05_R18,SPAT-002,1,SSB,11,,1,1,100,NONE,NONE,0,PASS
PUCCH_PHASE05_R18,SPAT-003,2,SSB,11,,1,1,0,NONE,NONE,0,PASS
PUCCH_PHASE05_R18,SPAT-004,2,SSB,11,,1,1,100,NONE,NONE,0,PASS
PUCCH_PHASE05_R18,SPAT-005,3,SSB,11,,1,1,0,NONE,NONE,0,PASS
PUCCH_PHASE05_R18,SPAT-006,3,SSB,11,,1,1,100,NONE,NONE,0,PASS
PUCCH_PHASE05_R18,SPAT-007,4,SSB,11,,1,1,0,NONE,NONE,0,PASS
PUCCH_PHASE05_R18,SPAT-008,4,SSB,11,,1,1,100,NONE,NONE,0,PASS
PUCCH_PHASE05_R18,SPAT-009,1,SSB,12,,2,0,0,NONE,NONE,0,PASS
PUCCH_PHASE05_R18,SPAT-010,1,SSB,12,,2,0,100,NONE,NONE,0,PASS
PUCCH_PHASE05_R18,SPAT-011,2,SSB,12,22,2,0,0,2,2,0,PASS
PUCCH_PHASE05_R18,SPAT-012,2,SSB,12,,2,0,100,NONE,NONE,0,PASS
PUCCH_PHASE05_R18,SPAT-013,3,SSB,12,,2,0,0,NONE,NONE,0,PASS
PUCCH_PHASE05_R18,SPAT-014,3,SSB,12,,2,0,100,NONE,NONE,0,PASS
PUCCH_PHASE05_R18,SPAT-015,4,SSB,12,,2,0,0,NONE,NONE,0,PASS
PUCCH_PHASE05_R18,SPAT-016,4,SSB,12,,2,0,100,NONE,NONE,0,PASS
PUCCH_PHASE05_R18,SPAT-017,1,SSB,13,,3,1,0,NONE,NONE,0,PASS
PUCCH_PHASE05_R18,SPAT-018,1,SSB,13,,3,1,100,NONE,NONE,0,PASS
PUCCH_PHASE05_R18,SPAT-019,2,SSB,13,,3,1,0,NONE,NONE,0,PASS
PUCCH_PHASE05_R18,SPAT-020,2,SSB,13,,3,1,100,NONE,NONE,0,PASS
PUCCH_PHASE05_R18,SPAT-021,3,SSB,13,23,3,1,0,3,3,0,PASS
PUCCH_PHASE05_R18,SPAT-022,3,SSB,13,,3,1,100,NONE,NONE,0,PASS
PUCCH_PHASE05_R18,SPAT-023,4,SSB,13,,3,1,0,NONE,NONE,0,PASS
PUCCH_PHASE05_R18,SPAT-024,4,SSB,13,,3,1,100,NONE,NONE,0,PASS
PUCCH_PHASE05_R18,SPAT-025,1,NZP_CSI_RS,11,21,1,1,0,1,1,0,PASS
PUCCH_PHASE05_R18,SPAT-026,1,NZP_CSI_RS,11,,1,1,100,NONE,NONE,0,PASS
PUCCH_PHASE05_R18,SPAT-027,2,NZP_CSI_RS,11,,1,1,0,NONE,NONE,0,PASS
PUCCH_PHASE05_R18,SPAT-028,2,NZP_CSI_RS,11,,1,1,100,NONE,NONE,0,PASS
PUCCH_PHASE05_R18,SPAT-029,3,NZP_CSI_RS,11,,1,1,0,NONE,NONE,0,PASS
PUCCH_PHASE05_R18,SPAT-030,3,NZP_CSI_RS,11,,1,1,100,NONE,NONE,0,PASS
PUCCH_PHASE05_R18,SPAT-031,4,NZP_CSI_RS,11,,1,1,0,NONE,NONE,0,PASS
PUCCH_PHASE05_R18,SPAT-032,4,NZP_CSI_RS,11,,1,1,100,NONE,NONE,0,PASS
PUCCH_PHASE05_R18,SPAT-033,1,NZP_CSI_RS,12,,2,0,0,NONE,NONE,0,PASS
