RunID,CaseID,PDSCHEndSlot,K1,K1Source,DueSlot,ExpectedDueSlot,SlotSymbolOwnership,StartSymbol,NumSymbols,SymbolShiftApplied,Legal,ExpectedLegal,Status
PUCCH_PHASE05_R18,K1-0001,0,1,decoded_dci,1,1,DDDDDDDDDDDDDD,0,2,false,false,false,PASS
PUCCH_PHASE05_R18,K1-0002,0,1,decoded_dci,1,1,DDDDDDDDDDDDDD,10,4,false,false,false,PASS
PUCCH_PHASE05_R18,K1-0003,0,1,decoded_dci,1,1,DDDDDDDDDDDDDD,12,2,false,false,false,PASS
PUCCH_PHASE05_R18,K1-0004,0,1,decoded_dci,1,1,DDDDDDDDDDDDDD,13,2,false,false,false,PASS
PUCCH_PHASE05_R18,K1-0005,0,2,decoded_dci,2,2,UUUUUUUUUUUUUU,0,2,false,true,true,PASS
PUCCH_PHASE05_R18,K1-0006,0,2,decoded_dci,2,2,UUUUUUUUUUUUUU,10,4,false,true,true,PASS
PUCCH_PHASE05_R18,K1-0007,0,2,decoded_dci,2,2,UUUUUUUUUUUUUU,12,2,false,true,true,PASS
PUCCH_PHASE05_R18,K1-0008,0,2,decoded_dci,2,2,UUUUUUUUUUUUUU,13,2,false,false,false,PASS
PUCCH_PHASE05_R18,K1-0009,0,3,decoded_dci,3,3,DDDDDDDDDDFFUU,0,2,false,false,false,PASS
PUCCH_PHASE05_R18,K1-0010,0,3,decoded_dci,3,3,DDDDDDDDDDFFUU,10,4,false,false,false,PASS
PUCCH_PHASE05_R18,K1-0011,0,3,decoded_dci,3,3,DDDDDDDDDDFFUU,12,2,false,true,true,PASS
PUCCH_PHASE05_R18,K1-0012,0,3,decoded_dci,3,3,DDDDDDDDDDFFUU,13,2,false,false,false,PASS
PUCCH_PHASE05_R18,K1-0013,0,4,decoded_dci,4,4,UUUUUUUUUUUUUU,0,2,false,true,true,PASS
PUCCH_PHASE05_R18,K1-0014,0,4,decoded_dci,4,4,UUUUUUUUUUUUUU,10,4,false,true,true,PASS
