RunID,CaseID,P0dBm,PathlossdB,BandwidthTermdB,DeltaFdB,DeltaTFdB,TPCAdjustmentdB,PCMAXdBm,RequestedPowerdBm,AppliedPowerdBm,MeasuredWaveformPowerdBm,PowerError_dB,Clipped,Status
PUCCH_PHASE05_R18,PWR-001,-80,70,0,0,0.669467896306,0,23.0,-9.3305,-9.3305,-9.3305,0,false,PASS
PUCCH_PHASE05_R18,PWR-002,-80,100,0,0,0.969100130081,1,23.0,21.9691,21.9691,21.9691,0,false,PASS
PUCCH_PHASE05_R18,PWR-003,-80,130,0,0,1.249387366083,3,23.0,54.2494,23,23,0,true,PASS
PUCCH_PHASE05_R18,PWR-004,-90,70,3.0103,0,1.512676753306,-2,23.0,-17.477,-17.477,-17.477,-1.8829e-13,false,PASS
PUCCH_PHASE05_R18,PWR-005,-90,100,3.0103,0,1.760912590557,0,23.0,14.7712,14.7712,14.7712,-1.8829e-13,false,PASS
PUCCH_PHASE05_R18,PWR-006,-90,130,3.0103,0,1.995723549052,1,23.0,46.006,23,23,0,true,PASS
PUCCH_PHASE05_R18,PWR-007,-80,70,6.0206,0,2.218487496164,3,23.0,1.2391,1.2391,1.2391,6.2439e-13,false,PASS
PUCCH_PHASE05_R18,PWR-008,-80,100,6.0206,0,2.430380486863,-2,23.0,26.451,23,23,0,true,PASS
PUCCH_PHASE05_R18,PWR-009,-80,130,6.0206,0,2.632414347746,0,23.0,58.653,23,23,0,true,PASS
PUCCH_PHASE05_R18,PWR-010,-90,70,9.0309,0,2.8254658997,1,23.0,-7.1436,-7.1436,-7.1436,4.3698e-13,false,PASS
PUCCH_PHASE05_R18,PWR-011,-90,100,9.0309,0,3.01029995664,3,23.0,25.0412,23,23,0,true,PASS
PUCCH_PHASE05_R18,PWR-012,-90,130,9.0309,0,0.347621062592,-2,23.0,47.3785,23,23,0,true,PASS
PUCCH_PHASE05_R18,PWR-013,-90,70,3.0103,1,0.669467896306,0,23.0,-15.3202,-15.3202,-15.3202,-1.8829e-13,false,PASS
PUCCH_PHASE05_R18,PWR-014,-90,100,3.0103,1,0.969100130081,1,23.0,15.9794,15.9794,15.9794,8.118e-13,false,PASS
PUCCH_PHASE05_R18,PWR-015,-90,130,3.0103,1,1.249387366083,3,23.0,48.2597,23,23,0,true,PASS
PUCCH_PHASE05_R18,PWR-016,-100,70,6.0206,1,1.512676753306,-2,23.0,-23.4667,-23.4667,-23.4667,-3.7659e-13,false,PASS
PUCCH_PHASE05_R18,PWR-017,-100,100,6.0206,1,1.760912590557,0,23.0,8.7815,8.7815,8.7815,6.235e-13,false,PASS
PUCCH_PHASE05_R18,PWR-018,-100,130,6.0206,1,1.995723549052,1,23.0,40.0163,23,23,0,true,PASS
PUCCH_PHASE05_R18,PWR-019,-90,70,9.0309,1,2.218487496164,3,23.0,-4.7506,-4.7506,-4.7506,4.361e-13,false,PASS
PUCCH_PHASE05_R18,PWR-020,-90,100,9.0309,1,2.430380486863,-2,23.0,20.4613,20.4613,20.4613,4.3698e-13,false,PASS
PUCCH_PHASE05_R18,PWR-021,-90,130,9.0309,1,2.632414347746,0,23.0,52.6633,23,23,0,true,PASS
PUCCH_PHASE05_R18,PWR-022,-100,70,12.0412,1,2.8254658997,1,23.0,-13.1333,-13.1333,-13.1333,2.4869e-13,false,PASS
PUCCH_PHASE05_R18,PWR-023,-100,100,12.0412,1,3.01029995664,3,23.0,19.0515,19.0515,19.0515,2.4869e-13,false,PASS
PUCCH_PHASE05_R18,PWR-024,-100,130,12.0412,1,0.347621062592,-2,23.0,41.3888,23,23,0,true,PASS
