RunID,CaseID,ResourceA,ResourceB,ExactREOverlap,Orthogonal,ResolutionAction,ExpectedAction,UnresolvedCollision,StateDigestBefore,StateDigestAfter,Status
PUCCH_PHASE05_R18,COL-001,PUCCH_HARQ,PUCCH_SR,false,false,TRANSMIT_BOTH,TRANSMIT_BOTH,false,11745f9645a12de73fcadaf1d12239ca87d02d8d3d610f831e69e45554fbe441,9ff4432eff90db3c1a19d6b17a75d7be399dda97ed81acfc22ab0f6c66c41503,PASS
PUCCH_PHASE05_R18,COL-002,PUCCH_HARQ,PUCCH_SR,true,false,MULTIPLEX_ON_HARQ_RESOURCE,MULTIPLEX_ON_HARQ_RESOURCE,false,ccb30c9dbea44ef86d7105c173da6113b1ea6054352088d22ed0420567f11e9c,270e978d010ca07cb1b345ce3199e3af5a038d1b353d642f2fd6f7d47ccac429,PASS
PUCCH_PHASE05_R18,COL-003,PUCCH_HARQ,PUCCH_CSI,true,false,COMBINE_UCI_ON_SELECTED_LONG_RESOURCE,COMBINE_UCI_ON_SELECTED_LONG_RESOURCE,false,b0bfcca2e249aa6499142f9543c2d13ed79363c07e19c85c2b57d015bb90c3aa,c2df03e1d87977c2362f857cfed7ee1b0382cba980ac40f799526d6c4fb31966,PASS
PUCCH_PHASE05_R18,COL-004,PUCCH_HARQ,PUSCH,true,false,MULTIPLEX_UCI_ON_PUSCH,MULTIPLEX_UCI_ON_PUSCH,false,6dc0e992a16e9b92bbf31c91d00cb8fa90186674f37611f6df33b6374f985a03,078a3cf03015be18e85fa519b066a707e4aac5f05395495372a3809be2b5d6c7,PASS
PUCCH_PHASE05_R18,COL-005,PUCCH_CSI,SRS,true,false,APPLY_PRIORITY_AND_CANCEL_LOSER,APPLY_PRIORITY_AND_CANCEL_LOSER,false,9afd38f9fdc6bb8e9b1518c21b039dc0da3ab78a130a39e588b1d89557288642,55898b753694d12bb9069ed90203a1183908d6d298f37f246eb7e7b91d15d9e8,PASS
PUCCH_PHASE05_R18,COL-006,PUCCH_SR,PRACH,true,false,APPLY_PRIORITY_AND_CANCEL_LOSER,APPLY_PRIORITY_AND_CANCEL_LOSER,false,9bad8f110625209490ecca14b82412790c9e9589317bd6bc9225c4d7334eeb10,90695bcdab541a09ee4bbafafde4f44cc72241b87f794356a5fc4aee32593725,PASS
PUCCH_PHASE05_R18,COL-007,PUCCH_HARQ,PUCCH_HARQ,false,true,TRANSMIT_BOTH_ORTHOGONAL,TRANSMIT_BOTH_ORTHOGONAL,false,2add3a19fc38cd515fbc23af13efc9768f9c3e633cc2528b8bc20de435eb8612,f64ee513ad285f73b0565174cc7fa8a34b3b85deeef6596d3d27518192815c9e,PASS
PUCCH_PHASE05_R18,COL-008,PUCCH_HARQ,PUCCH_HARQ,true,false,COLLISION_DETECTED,COLLISION_DETECTED,false,a1101f3da0f39b01c6b219c656fc071b68d5db02100ac24d8f20278488d7ddbd,4e5f753ff9a47496ce60d6f8d30a156679a56e76d52fa05f5742e497408f3dad,PASS
PUCCH_PHASE05_R18,COL-009,PUCCH_HARQ,PUCCH_SR,false,false,TRANSMIT_BOTH,TRANSMIT_BOTH,false,0b7e5c5be01b3e7d2081fc0bf3896d417c110848a9be632e75506a869a25f36f,0b1143fa2d3561131f38c5ccf57b95398695e8c66a71f630207f596d0fee45ac,PASS
PUCCH_PHASE05_R18,COL-010,PUCCH_HARQ,PUCCH_SR,true,false,MULTIPLEX_ON_HARQ_RESOURCE,MULTIPLEX_ON_HARQ_RESOURCE,false,c9eead20a10ac7a8c148080cc0c84ad15254e023e7ebebe49169afc8432fc30b,ed06a3bf17f3c8377942134ad592322c017c93fa22d304883b7aed8b759daa3c,PASS
PUCCH_PHASE05_R18,COL-011,PUCCH_HARQ,PUCCH_CSI,true,false,COMBINE_UCI_ON_SELECTED_LONG_RESOURCE,COMBINE_UCI_ON_SELECTED_LONG_RESOURCE,false,ef2cf88376f71056283dbb51fd8207a19e1cd4110b02d82781b2c51446bbbf25,319c208ab68395a76be8b30bc34cc7418d048eb399b3d71f1796556b2609e7bc,PASS
