RunID,CaseID,ReportType,HARQACKBits,SRBits,CSIPart1Bits,CSIPart2Bits,ConfigurationEpoch,ReportProvenance,Status
PUCCH_PHASE05_R18,UCI-001,CSI1,0,0,4,0,1,decoded_configured_procedure_state,PASS
PUCCH_PHASE05_R18,UCI-002,CSI1+CSI2,0,0,4,2,1,decoded_configured_procedure_state,PASS
PUCCH_PHASE05_R18,UCI-003,CSI1+CSI2,0,0,4,8,1,decoded_configured_procedure_state,PASS
PUCCH_PHASE05_R18,UCI-004,CSI1+CSI2,0,0,4,24,1,decoded_configured_procedure_state,PASS
PUCCH_PHASE05_R18,UCI-005,CSI1,0,0,11,0,1,decoded_configured_procedure_state,PASS
PUCCH_PHASE05_R18,UCI-006,CSI1+CSI2,0,0,11,2,1,decoded_configured_procedure_state,PASS
PUCCH_PHASE05_R18,UCI-007,CSI1+CSI2,0,0,11,8,1,decoded_configured_procedure_state,PASS
PUCCH_PHASE05_R18,UCI-008,CSI1+CSI2,0,0,11,24,1,decoded_configured_procedure_state,PASS
PUCCH_PHASE05_R18,UCI-009,CSI1,0,0,20,0,1,decoded_configured_procedure_state,PASS
PUCCH_PHASE05_R18,UCI-010,CSI1+CSI2,0,0,20,2,1,decoded_configured_procedure_state,PASS
PUCCH_PHASE05_R18,UCI-011,CSI1+CSI2,0,0,20,8,1,decoded_configured_procedure_state,PASS
PUCCH_PHASE05_R18,UCI-012,CSI1+CSI2,0,0,20,24,1,decoded_configured_procedure_state,PASS
PUCCH_PHASE05_R18,UCI-013,SR,0,1,0,0,1,decoded_configured_procedure_state,PASS
PUCCH_PHASE05_R18,UCI-014,SR+CSI1,0,1,4,0,1,decoded_configured_procedure_state,PASS
PUCCH_PHASE05_R18,UCI-015,SR+CSI1+CSI2,0,1,4,2,1,decoded_configured_procedure_state,PASS
PUCCH_PHASE05_R18,UCI-016,SR+CSI1+CSI2,0,1,4,8,1,decoded_configured_procedure_state,PASS
PUCCH_PHASE05_R18,UCI-017,SR+CSI1+CSI2,0,1,4,24,1,decoded_configured_procedure_state,PASS
PUCCH_PHASE05_R18,UCI-018,SR+CSI1,0,1,11,0,1,decoded_configured_procedure_state,PASS
PUCCH_PHASE05_R18,UCI-019,SR+CSI1+CSI2,0,1,11,2,1,decoded_configured_procedure_state,PASS
PUCCH_PHASE05_R18,UCI-020,SR+CSI1+CSI2,0,1,11,8,1,decoded_configured_procedure_state,PASS
PUCCH_PHASE05_R18,UCI-021,SR+CSI1+CSI2,0,1,11,24,1,decoded_configured_procedure_state,PASS
PUCCH_PHASE05_R18,UCI-022,SR+CSI1,0,1,20,0,1,decoded_configured_procedure_state,PASS
PUCCH_PHASE05_R18,UCI-023,SR+CSI1+CSI2,0,1,20,2,1,decoded_configured_procedure_state,PASS
PUCCH_PHASE05_R18,UCI-024,SR+CSI1+CSI2,0,1,20,8,1,decoded_configured_procedure_state,PASS
PUCCH_PHASE05_R18,UCI-025,SR+CSI1+CSI2,0,1,20,24,1,decoded_configured_procedure_state,PASS
PUCCH_PHASE05_R18,UCI-026,SR+CSI1,0,2,4,0,1,decoded_configured_procedure_state,PASS
PUCCH_PHASE05_R18,UCI-027,SR+CSI1+CSI2,0,2,4,2,1,decoded_configured_procedure_state,PASS
PUCCH_PHASE05_R18,UCI-028,SR+CSI1+CSI2,0,2,4,8,1,decoded_configured_procedure_state,PASS
PUCCH_PHASE05_R18,UCI-029,SR+CSI1+CSI2,0,2,4,24,1,decoded_configured_procedure_state,PASS
PUCCH_PHASE05_R18,UCI-030,SR+CSI1,0,2,11,0,1,decoded_configured_procedure_state,PASS
PUCCH_PHASE05_R18,UCI-031,SR+CSI1+CSI2,0,2,11,2,1,decoded_configured_procedure_state,PASS
PUCCH_PHASE05_R18,UCI-032,SR+CSI1+CSI2,0,2,11,8,1,decoded_configured_procedure_state,PASS
PUCCH_PHASE05_R18,UCI-033,SR+CSI1+CSI2,0,2,11,24,1,decoded_configured_procedure_state,PASS
PUCCH_PHASE05_R18,UCI-034,SR+CSI1,0,2,20,0,1,decoded_configured_procedure_state,PASS
PUCCH_PHASE05_R18,UCI-035,SR+CSI1+CSI2,0,2,20,2,1,decoded_configured_procedure_state,PASS
PUCCH_PHASE05_R18,UCI-036,SR+CSI1+CSI2,0,2,20,8,1,decoded_configured_procedure_state,PASS
PUCCH_PHASE05_R18,UCI-037,SR+CSI1+CSI2,0,2,20,24,1,decoded_configured_procedure_state,PASS
PUCCH_PHASE05_R18,UCI-038,HARQ,1,0,0,0,1,decoded_configured_procedure_state,PASS
PUCCH_PHASE05_R18,UCI-039,HARQ+CSI1,1,0,4,0,1,decoded_configured_procedure_state,PASS
PUCCH_PHASE05_R18,UCI-040,HARQ+CSI1+CSI2,1,0,4,2,2,decoded_configured_procedure_state,PASS
PUCCH_PHASE05_R18,UCI-041,HARQ+CSI1+CSI2,1,0,4,8,2,decoded_configured_procedure_state,PASS
PUCCH_PHASE05_R18,UCI-042,HARQ+CSI1+CSI2,1,0,4,24,2,decoded_configured_procedure_state,PASS
PUCCH_PHASE05_R18,UCI-043,HARQ+CSI1,1,0,11,0,2,decoded_configured_procedure_state,PASS
PUCCH_PHASE05_R18,UCI-044,HARQ+CSI1+CSI2,1,0,11,2,2,decoded_configured_procedure_state,PASS
PUCCH_PHASE05_R18,UCI-045,HARQ+CSI1+CSI2,1,0,11,8,2,decoded_configured_procedure_state,PASS
PUCCH_PHASE05_R18,UCI-046,HARQ+CSI1+CSI2,1,0,11,24,2,decoded_configured_procedure_state,PASS
PUCCH_PHASE05_R18,UCI-047,HARQ+CSI1,1,0,20,0,2,decoded_configured_procedure_state,PASS
PUCCH_PHASE05_R18,UCI-048,HARQ+CSI1+CSI2,1,0,20,2,2,decoded_configured_procedure_state,PASS
PUCCH_PHASE05_R18,UCI-049,HARQ+CSI1+CSI2,1,0,20,8,2,decoded_configured_procedure_state,PASS
PUCCH_PHASE05_R18,UCI-050,HARQ+CSI1+CSI2,1,0,20,24,2,decoded_configured_procedure_state,PASS
