RunID,CaseID,Format,NumSymbols,UCIBits,NumPRBs,Hopping,Interlaced,RepetitionSlots,Valid,ExpectedValid,ParameterMutated,ErrorID,Status
PUCCH_PHASE05_R18,FMT-0042,0,4,1707,1,true,false,1,false,false,false,sixgr:phy:pucch:InvalidFormatPayload,PASS
PUCCH_PHASE05_R18,FMT-0043,0,7,2,1,false,false,1,false,false,false,sixgr:phy:pucch:InvalidSymbolAllocation,PASS
PUCCH_PHASE05_R18,FMT-0044,0,7,2,1,true,false,1,false,false,false,sixgr:phy:pucch:InvalidSymbolAllocation,PASS
PUCCH_PHASE05_R18,FMT-0045,0,7,3,1,false,false,1,false,false,false,sixgr:phy:pucch:InvalidFormatPayload,PASS
PUCCH_PHASE05_R18,FMT-0046,0,7,3,1,true,false,1,false,false,false,sixgr:phy:pucch:InvalidFormatPayload,PASS
PUCCH_PHASE05_R18,FMT-0047,0,7,11,1,false,false,1,false,false,false,sixgr:phy:pucch:InvalidFormatPayload,PASS
PUCCH_PHASE05_R18,FMT-0048,0,7,11,1,true,false,1,false,false,false,sixgr:phy:pucch:InvalidFormatPayload,PASS
PUCCH_PHASE05_R18,FMT-0049,0,7,20,1,false,false,1,false,false,false,sixgr:phy:pucch:InvalidFormatPayload,PASS
PUCCH_PHASE05_R18,FMT-0050,0,7,20,1,true,false,1,false,false,false,sixgr:phy:pucch:InvalidFormatPayload,PASS
PUCCH_PHASE05_R18,FMT-0051,0,7,1706,1,false,false,1,false,false,false,sixgr:phy:pucch:InvalidFormatPayload,PASS
PUCCH_PHASE05_R18,FMT-0052,0,7,1706,1,true,false,1,false,false,false,sixgr:phy:pucch:InvalidFormatPayload,PASS
PUCCH_PHASE05_R18,FMT-0053,0,7,1707,1,false,false,1,false,false,false,sixgr:phy:pucch:InvalidFormatPayload,PASS
PUCCH_PHASE05_R18,FMT-0054,0,7,1707,1,true,false,1,false,false,false,sixgr:phy:pucch:InvalidFormatPayload,PASS
PUCCH_PHASE05_R18,FMT-0055,0,14,1,1,false,false,1,false,false,false,sixgr:phy:pucch:InvalidSymbolAllocation,PASS
PUCCH_PHASE05_R18,FMT-0056,0,14,1,1,true,false,1,false,false,false,sixgr:phy:pucch:InvalidSymbolAllocation,PASS
PUCCH_PHASE05_R18,FMT-0057,0,14,2,1,false,false,1,false,false,false,sixgr:phy:pucch:InvalidSymbolAllocation,PASS
PUCCH_PHASE05_R18,FMT-0058,0,14,2,1,true,false,1,false,false,false,sixgr:phy:pucch:InvalidSymbolAllocation,PASS
PUCCH_PHASE05_R18,FMT-0059,0,14,3,1,false,false,1,false,false,false,sixgr:phy:pucch:InvalidFormatPayload,PASS
PUCCH_PHASE05_R18,FMT-0060,0,14,3,1,true,false,1,false,false,false,sixgr:phy:pucch:InvalidFormatPayload,PASS
PUCCH_PHASE05_R18,FMT-0061,0,14,1707,1,false,false,1,false,false,false,sixgr:phy:pucch:InvalidFormatPayload,PASS
PUCCH_PHASE05_R18,FMT-0062,0,14,1707,1,true,false,1,false,false,false,sixgr:phy:pucch:InvalidFormatPayload,PASS
PUCCH_PHASE05_R18,FMT-0063,0,15,0,1,false,false,1,false,false,false,sixgr:phy:pucch:InvalidFormatPayload,PASS
PUCCH_PHASE05_R18,FMT-0064,0,15,0,1,true,false,1,false,false,false,sixgr:phy:pucch:InvalidFormatPayload,PASS
PUCCH_PHASE05_R18,FMT-0065,0,15,2,1,false,false,1,false,false,false,sixgr:phy:pucch:InvalidSymbolAllocation,PASS
PUCCH_PHASE05_R18,FMT-0066,0,15,2,1,true,false,1,false,false,false,sixgr:phy:pucch:InvalidSymbolAllocation,PASS
PUCCH_PHASE05_R18,FMT-0067,0,15,3,1,false,false,1,false,false,false,sixgr:phy:pucch:InvalidFormatPayload,PASS
PUCCH_PHASE05_R18,FMT-0068,0,15,3,1,true,false,1,false,false,false,sixgr:phy:pucch:InvalidFormatPayload,PASS
PUCCH_PHASE05_R18,FMT-0069,0,15,12,1,false,false,1,false,false,false,sixgr:phy:pucch:InvalidFormatPayload,PASS
PUCCH_PHASE05_R18,FMT-0070,0,15,12,1,true,false,1,false,false,false,sixgr:phy:pucch:InvalidFormatPayload,PASS
PUCCH_PHASE05_R18,FMT-0071,0,15,1707,1,false,false,1,false,false,false,sixgr:phy:pucch:InvalidFormatPayload,PASS
PUCCH_PHASE05_R18,FMT-0072,0,15,1707,1,true,false,1,false,false,false,sixgr:phy:pucch:InvalidFormatPayload,PASS
PUCCH_PHASE05_R18,FMT-0073,1,1,1,1,false,false,1,false,false,false,sixgr:phy:pucch:InvalidSymbolAllocation,PASS
PUCCH_PHASE05_R18,FMT-0074,1,1,1,1,true,false,1,false,false,false,sixgr:phy:pucch:InvalidSymbolAllocation,PASS
PUCCH_PHASE05_R18,FMT-0075,1,1,2,1,false,false,1,false,false,false,sixgr:phy:pucch:InvalidSymbolAllocation,PASS
PUCCH_PHASE05_R18,FMT-0076,1,1,2,1,true,false,1,false,false,false,sixgr:phy:pucch:InvalidSymbolAllocation,PASS
PUCCH_PHASE05_R18,FMT-0077,1,1,3,1,false,false,1,false,false,false,sixgr:phy:pucch:InvalidFormatPayload,PASS
PUCCH_PHASE05_R18,FMT-0078,1,1,3,1,true,false,1,false,false,false,sixgr:phy:pucch:InvalidFormatPayload,PASS
PUCCH_PHASE05_R18,FMT-0079,1,1,1707,1,false,false,1,false,false,false,sixgr:phy:pucch:InvalidFormatPayload,PASS
PUCCH_PHASE05_R18,FMT-0080,1,1,1707,1,true,false,1,false,false,false,sixgr:phy:pucch:InvalidFormatPayload,PASS
PUCCH_PHASE05_R18,FMT-0081,1,2,0,1,false,false,1,false,false,false,sixgr:phy:pucch:InvalidFormatPayload,PASS
PUCCH_PHASE05_R18,FMT-0082,1,2,0,1,true,false,1,false,false,false,sixgr:phy:pucch:InvalidFormatPayload,PASS
PUCCH_PHASE05_R18,FMT-0083,1,2,2,1,false,false,1,false,false,false,sixgr:phy:pucch:InvalidSymbolAllocation,PASS
PUCCH_PHASE05_R18,FMT-0084,1,2,2,1,true,false,1,false,false,false,sixgr:phy:pucch:InvalidSymbolAllocation,PASS
PUCCH_PHASE05_R18,FMT-0085,1,2,3,1,false,false,1,false,false,false,sixgr:phy:pucch:InvalidFormatPayload,PASS
PUCCH_PHASE05_R18,FMT-0086,1,2,3,1,true,false,1,false,false,false,sixgr:phy:pucch:InvalidFormatPayload,PASS
PUCCH_PHASE05_R18,FMT-0087,1,2,12,1,false,false,1,false,false,false,sixgr:phy:pucch:InvalidFormatPayload,PASS
PUCCH_PHASE05_R18,FMT-0088,1,2,12,1,true,false,1,false,false,false,sixgr:phy:pucch:InvalidFormatPayload,PASS
PUCCH_PHASE05_R18,FMT-0089,1,2,1707,1,false,false,1,false,false,false,sixgr:phy:pucch:InvalidFormatPayload,PASS
PUCCH_PHASE05_R18,FMT-0090,1,2,1707,1,true,false,1,false,false,false,sixgr:phy:pucch:InvalidFormatPayload,PASS
PUCCH_PHASE05_R18,FMT-0091,1,3,2,1,false,false,1,false,false,false,sixgr:phy:pucch:InvalidSymbolAllocation,PASS
PUCCH_PHASE05_R18,FMT-0092,1,3,2,1,true,false,1,false,false,false,sixgr:phy:pucch:InvalidSymbolAllocation,PASS
PUCCH_PHASE05_R18,FMT-0093,1,3,3,1,false,false,1,false,false,false,sixgr:phy:pucch:InvalidFormatPayload,PASS
PUCCH_PHASE05_R18,FMT-0094,1,3,3,1,true,false,1,false,false,false,sixgr:phy:pucch:InvalidFormatPayload,PASS
PUCCH_PHASE05_R18,FMT-0095,1,3,11,1,false,false,1,false,false,false,sixgr:phy:pucch:InvalidFormatPayload,PASS
PUCCH_PHASE05_R18,FMT-0096,1,3,11,1,true,false,1,false,false,false,sixgr:phy:pucch:InvalidFormatPayload,PASS
PUCCH_PHASE05_R18,FMT-0097,1,3,20,1,false,false,1,false,false,false,sixgr:phy:pucch:InvalidFormatPayload,PASS
PUCCH_PHASE05_R18,FMT-0098,1,3,20,1,true,false,1,false,false,false,sixgr:phy:pucch:InvalidFormatPayload,PASS
PUCCH_PHASE05_R18,FMT-0099,1,3,1706,1,false,false,1,false,false,false,sixgr:phy:pucch:InvalidFormatPayload,PASS
PUCCH_PHASE05_R18,FMT-0100,1,3,1706,1,true,false,1,false,false,false,sixgr:phy:pucch:InvalidFormatPayload,PASS
PUCCH_PHASE05_R18,FMT-0101,1,3,1707,1,false,false,1,false,false,false,sixgr:phy:pucch:InvalidFormatPayload,PASS
