RunID,CaseID,OUCI,ReportSource,SelectedSetID,ResourceSource,RRCConfigurationEpoch,SelectionMismatchCount,DefaultOrHashUsed,Status
PUCCH_PHASE05_R18,RSET-001,1,HARQ_DYNAMIC,0,SET_0,4,0,false,PASS
PUCCH_PHASE05_R18,RSET-002,2,HARQ_DYNAMIC,0,SET_0,4,0,false,PASS
PUCCH_PHASE05_R18,RSET-003,3,HARQ_DYNAMIC,1,SET_1,4,0,false,PASS
PUCCH_PHASE05_R18,RSET-004,3,HARQ_DYNAMIC,1,SET_1,4,0,false,PASS
PUCCH_PHASE05_R18,RSET-005,11,HARQ_DYNAMIC,1,SET_1,4,0,false,PASS
PUCCH_PHASE05_R18,RSET-006,20,HARQ_DYNAMIC,1,SET_1,4,0,false,PASS
PUCCH_PHASE05_R18,RSET-007,21,HARQ_DYNAMIC,2,SET_2,4,0,false,PASS
PUCCH_PHASE05_R18,RSET-008,64,HARQ_DYNAMIC,2,SET_2,4,0,false,PASS
PUCCH_PHASE05_R18,RSET-009,100,HARQ_DYNAMIC,2,SET_2,4,0,false,PASS
PUCCH_PHASE05_R18,RSET-010,101,HARQ_DYNAMIC,3,SET_3,4,0,false,PASS
PUCCH_PHASE05_R18,RSET-011,101,HARQ_DYNAMIC,3,SET_3,4,0,false,PASS
PUCCH_PHASE05_R18,RSET-012,512,HARQ_DYNAMIC,3,SET_3,4,0,false,PASS
PUCCH_PHASE05_R18,RSET-013,1706,HARQ_DYNAMIC,3,SET_3,4,0,false,PASS
PUCCH_PHASE05_R18,RSET-014,1707,HARQ_DYNAMIC,,,4,0,false,PASS
PUCCH_PHASE05_R18,RSET-015,1,HARQ_SPS,,SPS_ENTRY_0,4,0,false,PASS
PUCCH_PHASE05_R18,RSET-016,2,HARQ_SPS,,SPS_ENTRY_0,4,0,false,PASS
PUCCH_PHASE05_R18,RSET-017,3,HARQ_SPS,,SPS_ENTRY_1,4,0,false,PASS
PUCCH_PHASE05_R18,RSET-018,3,HARQ_SPS,,SPS_ENTRY_1,4,0,false,PASS
PUCCH_PHASE05_R18,RSET-019,11,HARQ_SPS,,SPS_ENTRY_1,4,0,false,PASS
PUCCH_PHASE05_R18,RSET-020,20,HARQ_SPS,,SPS_ENTRY_1,4,0,false,PASS
PUCCH_PHASE05_R18,RSET-021,21,HARQ_SPS,,SPS_ENTRY_2,4,0,false,PASS
PUCCH_PHASE05_R18,RSET-022,64,HARQ_SPS,,SPS_ENTRY_2,4,0,false,PASS
PUCCH_PHASE05_R18,RSET-023,100,HARQ_SPS,,SPS_ENTRY_2,4,0,false,PASS
PUCCH_PHASE05_R18,RSET-024,101,HARQ_SPS,,SPS_ENTRY_3,4,0,false,PASS
PUCCH_PHASE05_R18,RSET-025,101,HARQ_SPS,,SPS_ENTRY_3,4,0,false,PASS
PUCCH_PHASE05_R18,RSET-026,512,HARQ_SPS,,SPS_ENTRY_3,4,0,false,PASS
PUCCH_PHASE05_R18,RSET-027,1706,HARQ_SPS,,SPS_ENTRY_3,4,0,false,PASS
PUCCH_PHASE05_R18,RSET-028,1707,HARQ_SPS,,,4,0,false,PASS
PUCCH_PHASE05_R18,RSET-029,1,HARQ_SR,0,SET_0,4,0,false,PASS
PUCCH_PHASE05_R18,RSET-030,2,HARQ_SR,0,SET_0,4,0,false,PASS
PUCCH_PHASE05_R18,RSET-031,3,HARQ_SR,1,SET_1,4,0,false,PASS
PUCCH_PHASE05_R18,RSET-032,3,HARQ_SR,1,SET_1,4,0,false,PASS
PUCCH_PHASE05_R18,RSET-033,11,HARQ_SR,1,SET_1,4,0,false,PASS
PUCCH_PHASE05_R18,RSET-034,20,HARQ_SR,1,SET_1,4,0,false,PASS
PUCCH_PHASE05_R18,RSET-035,21,HARQ_SR,2,SET_2,4,0,false,PASS
PUCCH_PHASE05_R18,RSET-036,64,HARQ_SR,2,SET_2,4,0,false,PASS
PUCCH_PHASE05_R18,RSET-037,100,HARQ_SR,2,SET_2,4,0,false,PASS
PUCCH_PHASE05_R18,RSET-038,101,HARQ_SR,3,SET_3,4,0,false,PASS
PUCCH_PHASE05_R18,RSET-039,101,HARQ_SR,3,SET_3,4,0,false,PASS
PUCCH_PHASE05_R18,RSET-040,512,HARQ_SR,3,SET_3,4,0,false,PASS
PUCCH_PHASE05_R18,RSET-041,1706,HARQ_SR,3,SET_3,4,0,false,PASS
PUCCH_PHASE05_R18,RSET-042,1707,HARQ_SR,,,4,0,false,PASS
PUCCH_PHASE05_R18,RSET-043,1,SR_ONLY,,SR_CONFIG_RESOURCE,4,0,false,PASS
PUCCH_PHASE05_R18,RSET-044,2,SR_ONLY,,SR_CONFIG_RESOURCE,4,0,false,PASS
PUCCH_PHASE05_R18,RSET-045,3,SR_ONLY,,SR_CONFIG_RESOURCE,4,0,false,PASS
PUCCH_PHASE05_R18,RSET-046,3,SR_ONLY,,SR_CONFIG_RESOURCE,4,0,false,PASS
PUCCH_PHASE05_R18,RSET-047,11,SR_ONLY,,SR_CONFIG_RESOURCE,4,0,false,PASS
PUCCH_PHASE05_R18,RSET-048,20,SR_ONLY,,SR_CONFIG_RESOURCE,4,0,false,PASS
PUCCH_PHASE05_R18,RSET-049,21,SR_ONLY,,SR_CONFIG_RESOURCE,4,0,false,PASS
PUCCH_PHASE05_R18,RSET-050,64,SR_ONLY,,SR_CONFIG_RESOURCE,4,0,false,PASS
PUCCH_PHASE05_R18,RSET-051,100,SR_ONLY,,SR_CONFIG_RESOURCE,4,0,false,PASS
PUCCH_PHASE05_R18,RSET-052,101,SR_ONLY,,SR_CONFIG_RESOURCE,4,0,false,PASS
PUCCH_PHASE05_R18,RSET-053,101,SR_ONLY,,SR_CONFIG_RESOURCE,4,0,false,PASS
PUCCH_PHASE05_R18,RSET-054,512,SR_ONLY,,SR_CONFIG_RESOURCE,4,0,false,PASS
PUCCH_PHASE05_R18,RSET-055,1706,SR_ONLY,,SR_CONFIG_RESOURCE,4,0,false,PASS
PUCCH_PHASE05_R18,RSET-056,1707,SR_ONLY,,,4,0,false,PASS
PUCCH_PHASE05_R18,RSET-057,1,CSI_ONLY,,CSI_REPORT_RESOURCE,4,0,false,PASS
PUCCH_PHASE05_R18,RSET-058,2,CSI_ONLY,,CSI_REPORT_RESOURCE,4,0,false,PASS
