RunID,CaseID,ReportID,ReportPriority,Part,FieldName,FieldWidth,BitOffset,Bits,ExpectedBits,Mismatch,Status
PUCCH_PHASE05_R18,CSI-001,1,0,1,fieldA,4,0,0111,0111,false,PASS
PUCCH_PHASE05_R18,CSI-002,1,0,1,fieldA,4,0,0011,0011,false,PASS
PUCCH_PHASE05_R18,CSI-002,1,0,2,fieldB,2,0,00,00,false,PASS
PUCCH_PHASE05_R18,CSI-003,1,0,1,fieldA,4,0,1001,1001,false,PASS
PUCCH_PHASE05_R18,CSI-003,1,0,2,fieldB,8,0,11010001,11010001,false,PASS
PUCCH_PHASE05_R18,CSI-004,1,0,1,fieldA,4,0,0100,0100,false,PASS
PUCCH_PHASE05_R18,CSI-004,1,0,2,fieldB,24,0,101010100101100111001101,101010100101100111001101,false,PASS
PUCCH_PHASE05_R18,CSI-005,1,0,1,fieldA,8,0,01010111,01010111,false,PASS
PUCCH_PHASE05_R18,CSI-006,1,0,1,fieldA,8,0,00001011,00001011,false,PASS
PUCCH_PHASE05_R18,CSI-006,1,0,2,fieldB,2,0,01,01,false,PASS
PUCCH_PHASE05_R18,CSI-007,1,0,1,fieldA,8,0,01100000,01100000,false,PASS
PUCCH_PHASE05_R18,CSI-007,1,0,2,fieldB,8,0,00101111,00101111,false,PASS
PUCCH_PHASE05_R18,CSI-008,1,0,1,fieldA,8,0,10010100,10010100,false,PASS
PUCCH_PHASE05_R18,CSI-008,1,0,2,fieldB,24,0,010011100000010100001001,010011100000010100001001,false,PASS
PUCCH_PHASE05_R18,CSI-009,1,0,1,fieldA,12,0,011010100010,011010100010,false,PASS
PUCCH_PHASE05_R18,CSI-010,1,0,1,fieldA,12,0,110100100111,110100100111,false,PASS
PUCCH_PHASE05_R18,CSI-010,1,0,2,fieldB,2,0,10,10,false,PASS
PUCCH_PHASE05_R18,CSI-011,1,0,1,fieldA,12,0,000101101110,000101101110,false,PASS
PUCCH_PHASE05_R18,CSI-011,1,0,2,fieldB,8,0,00001100,00001100,false,PASS
PUCCH_PHASE05_R18,CSI-012,1,0,1,fieldA,12,0,011100001001,011100001001,false,PASS
PUCCH_PHASE05_R18,CSI-012,1,0,2,fieldB,24,0,110101111100100010111110,110101111100100010111110,false,PASS
PUCCH_PHASE05_R18,CSI-013,1,0,1,fieldA,20,0,10010000100110111000,10010000100110111000,false,PASS
PUCCH_PHASE05_R18,CSI-014,1,0,1,fieldA,20,0,00101001000001010101,00101001000001010101,false,PASS
PUCCH_PHASE05_R18,CSI-014,1,0,2,fieldB,2,0,00,00,false,PASS
PUCCH_PHASE05_R18,CSI-015,1,0,1,fieldA,20,0,01000101010111100101,01000101010111100101,false,PASS
PUCCH_PHASE05_R18,CSI-015,1,0,2,fieldB,8,0,10110101,10110101,false,PASS
PUCCH_PHASE05_R18,CSI-016,1,0,1,fieldA,20,0,00101001101100100001,00101001101100100001,false,PASS
