RunID,CaseID,Format,Slot,Symbol,PRB,Subcarrier,Hop,REOwner,DMRSPort,CyclicShift,OCCIndex,SequenceDigest,IndexDigest,CollisionCount,Status
PUCCH_PHASE05_R18,WAVE-F0,0,0,12,2,0,0,UCI,0,0,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,8e083fb7992b05c07b995b2986c2c175b9595c412c863d47559d8ffa0c650e20,0,PASS
PUCCH_PHASE05_R18,WAVE-F0,0,0,12,2,1,0,UCI,0,0,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,8e083fb7992b05c07b995b2986c2c175b9595c412c863d47559d8ffa0c650e20,0,PASS
PUCCH_PHASE05_R18,WAVE-F0,0,0,12,2,2,0,UCI,0,0,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,8e083fb7992b05c07b995b2986c2c175b9595c412c863d47559d8ffa0c650e20,0,PASS
PUCCH_PHASE05_R18,WAVE-F0,0,0,12,2,3,0,UCI,0,0,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,8e083fb7992b05c07b995b2986c2c175b9595c412c863d47559d8ffa0c650e20,0,PASS
PUCCH_PHASE05_R18,WAVE-F0,0,0,12,2,4,0,UCI,0,0,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,8e083fb7992b05c07b995b2986c2c175b9595c412c863d47559d8ffa0c650e20,0,PASS
PUCCH_PHASE05_R18,WAVE-F0,0,0,12,2,5,0,UCI,0,0,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,8e083fb7992b05c07b995b2986c2c175b9595c412c863d47559d8ffa0c650e20,0,PASS
PUCCH_PHASE05_R18,WAVE-F0,0,0,12,2,6,0,UCI,0,0,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,8e083fb7992b05c07b995b2986c2c175b9595c412c863d47559d8ffa0c650e20,0,PASS
PUCCH_PHASE05_R18,WAVE-F0,0,0,12,2,7,0,UCI,0,0,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,8e083fb7992b05c07b995b2986c2c175b9595c412c863d47559d8ffa0c650e20,0,PASS
PUCCH_PHASE05_R18,WAVE-F0,0,0,12,2,8,0,UCI,0,0,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,8e083fb7992b05c07b995b2986c2c175b9595c412c863d47559d8ffa0c650e20,0,PASS
PUCCH_PHASE05_R18,WAVE-F0,0,0,12,2,9,0,UCI,0,0,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,8e083fb7992b05c07b995b2986c2c175b9595c412c863d47559d8ffa0c650e20,0,PASS
PUCCH_PHASE05_R18,WAVE-F0,0,0,12,2,10,0,UCI,0,0,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,8e083fb7992b05c07b995b2986c2c175b9595c412c863d47559d8ffa0c650e20,0,PASS
PUCCH_PHASE05_R18,WAVE-F0,0,0,12,2,11,0,UCI,0,0,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,8e083fb7992b05c07b995b2986c2c175b9595c412c863d47559d8ffa0c650e20,0,PASS
