Direction,FeedbackForDirection,Frame,Slot,ScheduledAbsoluteSlot,SourceSlot,UEIndex,UEID,RNTI,ServingCell,BaseStationID,ComponentCarrier,ActiveULBWP,HarqID,NDI,RV,IsRetransmission,TBSBits,ExpectedAck,ObservedAck,DecodedAck,FalseAck,FalseNack,MissedFeedback,FeedbackOutcome,FeedbackOutcomeReason,ExpectedHARQCurrentDecodeOK,ExpectedHARQCombinedDecodeOK,CurrentDecodeOK,CombinedDecodeOK,UCIBitCount,UCIType,PRIValue,PRIProvenance,FirstCCE,NumCCE,PUCCHGrantId,PUCCHGrantSource,PhysicalPUCCHOccasionId,LogicalFeedbackCount,LogicalPUCCHGrantIdSet,HARQACKCodebookOrderingSource,PUSCHUCITransmissionSlot,PUSCHUCIDeliverySlot,PUCCHGrantState,GrantScheduledFlag,GrantExecutedFlag,MultiplexedOnPUSCH,PUSCHGrantContextId,MultiplexedBitIndex,PUSCHUCIDecodeOk,CanceledAtSweepBoundary,CancellationSweepPoint,CancellationBoundarySlot,CancellationReason,RightCensored,CensorBoundarySlot,CensorReason,CensorScope,RequestedFormat,ResolvedFormat,FormatAdaptationReason,PUCCHResourceId,PUCCHPRBStart,PUCCHPRBCount,PUCCHSymbolStart,PUCCHNumSymbols,ControlResourceSource,ControlResourceValidity,ConfiguredSNR_dB,AppliedAWGNSNR_dB,ChannelModel,DopplerHz,TimingEstimateUsed,UseIdealTimingSync,InterferenceMode,InterferenceContributorCount,InterferenceAggregatedRxPower_dBm,InterferencePowerSource,FullInterfererChannelTruthUsed,BitsCompared,BitErrors,DetectionMetric,DetectionThreshold,DetectionThresholdSource,DetectionMetricStatus,DetectorPeakMetric,DetectorNoiseFloor,DTXFlag,DTXReason,PUCCHDecodeOk,UCIContentMatch,RuntimeStateUpdated,RuntimeStateConsumer,ControlStateChanged,StateChangeApplied,ControlStateChangeDefinition,Status,Crash,CrashSource,CrashMessage,Notes,DataReceiveSymbolStartSample,DataReceiveSymbolEndSampleExclusive,DataDecodeAvailableAtSample,DataReceiveSampleRateHz,DataReceiveTimingSource,DataReceiveTimingEvidenceJSON,HARQProtocolDecisionEvidenceJSON
UL,DL,1,9,9,3,1,1,1,1,1,0,0,0,NaN,NaN,0,2088,1,0,0,0,0,1,DTX,receiver_reported_dtx,1,1,0,0,2,harq_ack,0,single_configured_resource,NaN,NaN,shared_component_ack_1,runtime_harq_feedback_due_scheduler,pucchoccasion:due=9:ue=1:rnti=1:cell=1:cc=0:ulbwp=0,2,shared_component_ack_1|shared_component_ack_6,source_slot_then_harq_process_runtime_order,NaN,NaN,waveform_observed_feedback_decode_failed,1,1,0,,NaN,0,0,NaN,NaN,,0,NaN,,,0,0,none_strict_assignment,0,0,1,12,2,declared_component_feedback_fixture,1,12,NaN,CDL-A,6.17653958096594,0,0,none,0,NaN,,0,0,2,0.316864728345981,0.42,yaml.pucch.detection_threshold_format0_two_symbols,,NaN,NaN,0,,0,0,1,HARQEntity.onFeedback,0,0,harq_feedback_consumed_by_runtime_harq_and_scheduler,FAIL,0,,,"Waveform-backed PUCCH through typed report, assignment and oracle-free receiver.",16467,23047,23047,7680000,actual_received_reference_alignment_and_executed_OFDM_symbol_lengths,"{""ContractVersion"":""received_data_symbol_timing/v1"",""Direction"":""DL"",""RNTI"":1,""GrantContextId"":""DL|cell=1|ue=1|rnti=1|frame=1|slot=3"",""DataAbsoluteSlot"":2,""SymbolAllocation"":[2,12],""SampleRateHz"":7.68E+6,""ObservationStartSample"":15360,""ObservationEndSampleExclusive"":23047,""AppliedTimingCorrectionSamples"":7,""ReceivedSymbolStartSample"":16467,""ReceivedSymbolEndSampleExclusive"":23047,""ResultAvailableAtSample"":23047,""Source"":""actual_received_reference_alignment_and_executed_OFDM_symbol_lengths"",""ProcessingBudgetIncluded"":false}",
UL,DL,1,9,9,6,1,1,1,1,1,0,0,1,NaN,NaN,0,2088,0,0,0,0,0,1,DTX,receiver_reported_dtx,0,0,0,0,2,harq_ack,0,single_configured_resource,NaN,NaN,shared_component_ack_6,runtime_harq_feedback_due_scheduler,pucchoccasion:due=9:ue=1:rnti=1:cell=1:cc=0:ulbwp=0,2,shared_component_ack_1|shared_component_ack_6,source_slot_then_harq_process_runtime_order,NaN,NaN,waveform_observed_feedback_decode_failed,1,1,0,,NaN,0,0,NaN,NaN,,0,NaN,,,0,0,none_strict_assignment,0,0,1,12,2,declared_component_feedback_fixture,1,12,NaN,CDL-A,6.17653958096594,0,0,none,0,NaN,,0,0,2,0.316864728345981,0.42,yaml.pucch.detection_threshold_format0_two_symbols,,NaN,NaN,0,,0,0,1,HARQEntity.onFeedback,0,0,harq_feedback_consumed_by_runtime_harq_and_scheduler,FAIL,0,,,"Waveform-backed PUCCH through typed report, assignment and oracle-free receiver.",39502,46082,46087,7680000,actual_received_reference_alignment_and_executed_OFDM_symbol_lengths,"{""ContractVersion"":""received_data_symbol_timing/v1"",""Direction"":""DL"",""RNTI"":1,""GrantContextId"":""DL|cell=1|ue=1|rnti=1|frame=1|slot=6"",""DataAbsoluteSlot"":5,""SymbolAllocation"":[2,12],""SampleRateHz"":7.68E+6,""ObservationStartSample"":38400,""ObservationEndSampleExclusive"":46087,""AppliedTimingCorrectionSamples"":2,""ReceivedSymbolStartSample"":39502,""ReceivedSymbolEndSampleExclusive"":46082,""ResultAvailableAtSample"":46087,""Source"":""actual_received_reference_alignment_and_executed_OFDM_symbol_lengths"",""ProcessingBudgetIncluded"":false}",
