RunID,FamilyID,ResponseMetric,ModelTerm,Estimate,StdError,CILower,CIUpper,PValue,AdjustedPValue,EffectSize,ModelFamily,SampleCount,Status
pusch_impact_20260726T140352Z,F35,BLER,main_1,1.3323e-17,1.0392e-16,-1.9036e-16,2.17e-16,1,1,1.3323e-17,executed_component_linear_main_effect,12,PASS
pusch_impact_20260726T140352Z,F36,BLER,main_1,-2.3215e-16,1.3009e-16,-4.8712e-16,2.2833e-17,1,1,-2.3215e-16,executed_component_linear_main_effect,15,PASS
pusch_impact_20260726T140352Z,F37,BLER,main_1,0,0,0,0,1,1,0,executed_component_linear_main_effect,15,PASS
pusch_impact_20260726T140352Z,F38,BLER,main_1,1.9372e-17,1.8766e-17,-1.741e-17,5.6154e-17,1,1,1.9372e-17,executed_component_linear_main_effect,18,PASS
pusch_impact_20260726T140352Z,F39,BLER,main_1,0.33333,3.1016e-16,0.33333,0.33333,0.18888,0.18888,0.33333,executed_component_linear_main_effect,12,PASS
pusch_impact_20260726T140352Z,F40,BLER,main_1,6.281e-17,0.12254,-0.24017,0.24017,1,1,6.281e-17,executed_component_linear_main_effect,16,PASS
pusch_impact_20260726T140352Z,F41,BLER,main_1,1.7419e-17,1.3597e-16,-2.4909e-16,2.8393e-16,1,1,1.7419e-17,executed_component_linear_main_effect,12,PASS
pusch_impact_20260726T140352Z,F42,BLER,main_1,9.8391e-18,3.3565e-18,3.2603e-18,1.6418e-17,1,1,9.8391e-18,executed_component_linear_main_effect,48,PASS
pusch_impact_20260726T140352Z,F43,BLER,main_1,3.0741e-17,6.727e-18,1.7556e-17,4.3926e-17,1,1,3.0741e-17,executed_component_linear_main_effect,12,PASS
pusch_impact_20260726T140352Z,F44,BLER,main_1,-3.1035e-17,9.9487e-17,-2.2603e-16,1.6396e-16,1,1,-3.1035e-17,executed_component_linear_main_effect,13,PASS
pusch_impact_20260726T140352Z,F45,BLER,main_1,-2.3873e-17,2.4576e-17,-7.2041e-17,2.4296e-17,1,1,-2.3873e-17,executed_component_linear_main_effect,20,PASS
pusch_impact_20260726T140352Z,F46,BLER,main_1,-8.5596e-18,3.3808e-17,-7.4822e-17,5.7703e-17,1,1,-8.5596e-18,executed_component_linear_main_effect,15,PASS
pusch_impact_20260726T140352Z,F47,BLER,main_1,2.6222e-18,3.8306e-18,-4.8859e-18,1.013e-17,1,1,2.6222e-18,executed_component_linear_main_effect,18,PASS
pusch_impact_20260726T140352Z,F48,BLER,main_1,0.2,7.4023e-17,0.2,0.2,0.36788,0.36788,0.2,executed_component_linear_main_effect,16,PASS
pusch_impact_20260726T140352Z,F49,BLER,main_1,2.4912e-17,3.6428e-17,-4.6488e-17,9.6312e-17,1,1,2.4912e-17,executed_component_linear_main_effect,32,PASS
pusch_impact_20260726T140352Z,F50,BLER,main_1,7.4875e-17,2.2204e-16,-3.6033e-16,5.1008e-16,1,1,7.4875e-17,executed_component_linear_main_effect,6,PASS
pusch_impact_20260726T140352Z,F51,BLER,main_1,2.4912e-17,3.6428e-17,-4.6488e-17,9.6312e-17,1,1,2.4912e-17,executed_component_linear_main_effect,32,PASS
pusch_impact_20260726T140352Z,F52,BLER,main_1,1.3323e-17,1.0392e-16,-1.9036e-16,2.17e-16,1,1,1.3323e-17,executed_component_linear_main_effect,12,PASS
