RunID,ExperimentID,OperatingPointID,DMRSRE,PTRSRE,DataRE,ReferenceOverheadFraction,DMRSConfigType,DMRSAdditionalPosition,DMRSLength,PortCount,ChannelEstimationNMSE,PortLeakage_dB,CPERMSE_deg,EVMBeforePercent,EVMAfterPercent,BLER,Goodput_bps,Status
pusch_impact_20260726T140352Z,F01-E001,P00,624,0,7488,0.076923,1,1,1,1,0.037492,-300,0,79.5769,79.5769,1,0,PASS
pusch_impact_20260726T140352Z,F01-E002,P01,624,0,7488,0.076923,1,1,1,1,0.029561,-300,0,60.0306,60.0306,1,0,PASS
pusch_impact_20260726T140352Z,F01-E003,P02,624,0,7488,0.076923,1,1,1,1,0.020058,-300,0,68.8203,68.8203,1,0,PASS
pusch_impact_20260726T140352Z,F01-E004,P03,624,0,7488,0.076923,1,1,1,1,0.0042176,-300,0,68.1684,68.1684,1,0,PASS
pusch_impact_20260726T140352Z,F01-E005,P04,624,0,7488,0.076923,1,1,1,1,0.027575,-300,0,55.0737,55.0737,1,0,PASS
pusch_impact_20260726T140352Z,F01-E006,P05,624,0,7488,0.076923,1,1,1,1,0.0032084,-300,0,62.0681,62.0681,1,0,PASS
pusch_impact_20260726T140352Z,F01-E007,P06,624,0,7488,0.076923,1,1,1,1,0.01309,-300,0,58.3994,58.3994,1,0,PASS
pusch_impact_20260726T140352Z,F02-E001,B0.5,624,0,7488,0.076923,1,1,1,1,0.0078859,-300,0,60.8597,60.8597,1,0,PASS
pusch_impact_20260726T140352Z,F02-E002,B0.75,624,0,7488,0.076923,1,1,1,1,0.016989,-300,0,66.1457,66.1457,1,0,PASS
pusch_impact_20260726T140352Z,F02-E003,B1.0,624,0,7488,0.076923,1,1,1,1,0.0025952,-300,0,64.6085,64.6085,1,0,PASS
pusch_impact_20260726T140352Z,F02-E004,B1.25,624,0,7488,0.076923,1,1,1,1,0.01991,-300,0,64.6356,64.6356,1,0,PASS
pusch_impact_20260726T140352Z,F02-E005,B1.5,624,0,7488,0.076923,1,1,1,1,0.031826,-300,0,65.3238,65.3238,1,0,PASS
pusch_impact_20260726T140352Z,F02-E006,B2.0,624,0,7488,0.076923,1,1,1,1,0.01009,-300,0,66.3185,66.3185,1,0,PASS
pusch_impact_20260726T140352Z,F03-E001,C0,624,0,7488,0.076923,1,1,1,1,0.010142,-300,0,65.1602,65.1602,1,0,PASS
pusch_impact_20260726T140352Z,F03-E002,C3,624,0,7488,0.076923,1,1,1,1,0.0017225,-300,0,59.5258,59.5258,1,0,PASS
pusch_impact_20260726T140352Z,F03-E003,C11,624,0,7488,0.076923,1,1,1,1,0.0078673,-300,0,67.2229,67.2229,1,0,PASS
pusch_impact_20260726T140352Z,F03-E004,C20,624,0,7488,0.076923,1,1,1,1,0.017495,-300,0,72.5638,72.5638,1,0,PASS
pusch_impact_20260726T140352Z,F03-E005,C40,624,0,7488,0.076923,1,1,1,1,0.0089004,-300,0,66.0589,66.0589,1,0,PASS
pusch_impact_20260726T140352Z,F03-E006,C80,624,0,7488,0.076923,1,1,1,1,0.018999,-300,0,58.563,58.563,1,0,PASS
pusch_impact_20260726T140352Z,F03-E007,C160,624,0,7488,0.076923,1,1,1,1,0.0022389,-300,0,62.6573,62.6573,1,0,PASS
pusch_impact_20260726T140352Z,F04-E001,S-6_DATA,624,0,7488,0.076923,1,1,1,1,0.023225,-300,0,175.5549,175.5549,1,0,PASS
pusch_impact_20260726T140352Z,F04-E002,S-6_UCI_ONLY,624,0,7488,0.076923,1,1,1,1,0.006919,-300,0,209.589,209.589,1,0,PASS
pusch_impact_20260726T140352Z,F04-E003,S-2_DATA,624,0,7488,0.076923,1,1,1,1,0.0081656,-300,0,113.1291,113.1291,1,0,PASS
pusch_impact_20260726T140352Z,F04-E004,S-2_UCI_ONLY,624,0,7488,0.076923,1,1,1,1,0.014583,-300,0,138.9623,138.9623,1,0,PASS
pusch_impact_20260726T140352Z,F04-E005,S2_DATA,624,0,7488,0.076923,1,1,1,1,0.026549,-300,0,73.9751,73.9751,1,0,PASS
pusch_impact_20260726T140352Z,F04-E006,S2_UCI_ONLY,624,0,7488,0.076923,1,1,1,1,0.035718,-300,0,78.6961,78.6961,1,0,PASS
pusch_impact_20260726T140352Z,F04-E007,S6_DATA,624,0,7488,0.076923,1,1,1,1,0.0088607,-300,0,46.2362,46.2362,1,0,PASS
pusch_impact_20260726T140352Z,F04-E008,S6_UCI_ONLY,624,0,7488,0.076923,1,1,1,1,0.0045555,-300,0,51.4893,51.4893,1,0,PASS
pusch_impact_20260726T140352Z,F05-E001,M4_10,2496,0,29952,0.076923,1,1,1,4,0.051554,0,0,55.0285,55.0285,1,0,PASS
pusch_impact_20260726T140352Z,F05-E002,M10_4,2496,0,29952,0.076923,1,1,1,4,0.022637,0,0,63.5483,63.5483,1,0,PASS
pusch_impact_20260726T140352Z,F05-E003,M10_10,2496,0,29952,0.076923,1,1,1,4,0.0082343,0,0,68.2446,68.2446,1,0,PASS
pusch_impact_20260726T140352Z,F05-E004,M20_10,2496,0,29952,0.076923,1,1,1,4,0.0041718,0,0,59.7819,59.7819,1,0,PASS
pusch_impact_20260726T140352Z,F06-E001,T24,624,0,7488,0.076923,1,1,1,1,0.020746,-300,0,58.6241,58.6241,1,0,PASS
pusch_impact_20260726T140352Z,F06-E002,T25,624,0,7488,0.076923,1,1,1,1,0.0046457,-300,0,62.2663,62.2663,1,0,PASS
pusch_impact_20260726T140352Z,F06-E003,T40,624,0,7488,0.076923,1,1,1,1,0.056102,-300,0,83.708,83.708,1,0,PASS
pusch_impact_20260726T140352Z,F06-E004,T41,624,0,7488,0.076923,1,1,1,1,0.0015134,-300,0,61.9734,61.9734,1,0,PASS
pusch_impact_20260726T140352Z,F06-E005,T292,624,0,7488,0.076923,1,1,1,1,0.018837,-300,0,70.0848,70.0848,1,0,PASS
pusch_impact_20260726T140352Z,F06-E006,T293,624,0,7488,0.076923,1,1,1,1,0.0090188,-300,0,69.9638,69.9638,1,0,PASS
pusch_impact_20260726T140352Z,F06-E007,T3824,624,0,7488,0.076923,1,1,1,1,0.003129,-300,0,60.2826,60.2826,1,0,PASS
pusch_impact_20260726T140352Z,F06-E008,T3825,624,0,7488,0.076923,1,1,1,1,0.013772,-300,0,57.8266,57.8266,1,0,PASS
pusch_impact_20260726T140352Z,F06-E009,T8424,624,0,7488,0.076923,1,1,1,1,0.012001,-300,0,64.0397,64.0397,1,0,PASS
pusch_impact_20260726T140352Z,F06-E010,T8425,624,0,7488,0.076923,1,1,1,1,0.0035301,-300,0,64.9338,64.9338,1,0,PASS
pusch_impact_20260726T140352Z,F06-E011,T10000,624,0,7488,0.076923,1,1,1,1,0.0010274,-300,0,63.898,63.898,1,0,PASS
pusch_impact_20260726T140352Z,F06-E012,T20000,624,0,7488,0.076923,1,1,1,1,0.0086798,-300,0,64.3679,64.3679,1,0,PASS
pusch_impact_20260726T140352Z,F07-E001,I2_L0.75,624,0,7488,0.076923,1,1,1,1,0.0069883,-300,0,65.8804,65.8804,1,0,PASS
pusch_impact_20260726T140352Z,F07-E002,I2_L1.0,624,0,7488,0.076923,1,1,1,1,0.0017535,-300,0,62.4735,62.4735,1,0,PASS
pusch_impact_20260726T140352Z,F07-E003,I2_L1.25,624,0,7488,0.076923,1,1,1,1,0.0076309,-300,0,61.0139,61.0139,1,0,PASS
pusch_impact_20260726T140352Z,F07-E004,I4_L0.75,624,0,7488,0.076923,1,1,1,1,0.0082154,-300,0,69.7997,69.7997,1,0,PASS
pusch_impact_20260726T140352Z,F07-E005,I4_L1.0,624,0,7488,0.076923,1,1,1,1,0.00053552,-300,0,63.3273,63.3273,1,0,PASS
pusch_impact_20260726T140352Z,F07-E006,I4_L1.25,624,0,7488,0.076923,1,1,1,1,0.02619,-300,0,75.0344,75.0344,1,0,PASS
pusch_impact_20260726T140352Z,F07-E007,I6_L0.75,624,0,7488,0.076923,1,1,1,1,0.0050334,-300,0,68.0383,68.0383,1,0,PASS
pusch_impact_20260726T140352Z,F07-E008,I6_L1.0,624,0,7488,0.076923,1,1,1,1,0.0087053,-300,0,66.0023,66.0023,1,0,PASS
pusch_impact_20260726T140352Z,F07-E009,I6_L1.25,624,0,7488,0.076923,1,1,1,1,0.034805,-300,0,55.0405,55.0405,1,0,PASS
pusch_impact_20260726T140352Z,F07-E010,I8_L0.75,624,0,7488,0.076923,1,1,1,1,0.01161,-300,0,60.4876,60.4876,1,0,PASS
pusch_impact_20260726T140352Z,F07-E011,I8_L1.0,624,0,7488,0.076923,1,1,1,1,0.013098,-300,0,71.8852,71.8852,1,0,PASS
pusch_impact_20260726T140352Z,F07-E012,I8_L1.25,624,0,7488,0.076923,1,1,1,1,0.0033135,-300,0,67.0889,67.0889,1,0,PASS
pusch_impact_20260726T140352Z,F07-E013,I12_L0.75,624,0,7488,0.076923,1,1,1,1,0.012088,-300,0,71.068,71.068,1,0,PASS
pusch_impact_20260726T140352Z,F07-E014,I12_L1.0,624,0,7488,0.076923,1,1,1,1,0.02273,-300,0,55.6567,55.6567,1,0,PASS
pusch_impact_20260726T140352Z,F07-E015,I12_L1.25,624,0,7488,0.076923,1,1,1,1,0.013688,-300,0,61.5358,61.5358,1,0,PASS
pusch_impact_20260726T140352Z,F07-E016,I20_L0.75,624,0,7488,0.076923,1,1,1,1,0.007041,-300,0,68.0289,68.0289,1,0,PASS
pusch_impact_20260726T140352Z,F07-E017,I20_L1.0,624,0,7488,0.076923,1,1,1,1,0.014535,-300,0,58.1753,58.1753,1,0,PASS
pusch_impact_20260726T140352Z,F07-E018,I20_L1.25,624,0,7488,0.076923,1,1,1,1,0.017235,-300,0,57.5246,57.5246,1,0,PASS
pusch_impact_20260726T140352Z,F08-E001,none,624,0,7488,0.076923,1,1,1,1,0.0050274,-300,0,65.8806,65.8806,1,0,PASS
pusch_impact_20260726T140352Z,F08-E002,crc_fail,624,0,7488,0.076923,1,1,1,1,0.00053922,-300,0,60.8163,60.8163,1,0,PASS
pusch_impact_20260726T140352Z,F08-E003,wrong_rnti,624,0,7488,0.076923,1,1,1,1,0.0052581,-300,0,69.9227,69.9227,1,0,PASS
pusch_impact_20260726T140352Z,F08-E004,stale_bwp,624,0,7488,0.076923,1,1,1,1,0.00083799,-300,0,61.5714,61.5714,1,0,PASS
pusch_impact_20260726T140352Z,F08-E005,stale_epoch,624,0,7488,0.076923,1,1,1,1,0.006519,-300,0,59.9073,59.9073,1,0,PASS
pusch_impact_20260726T140352Z,F08-E006,invalid_k2,624,0,7488,0.076923,1,1,1,1,0.0066641,-300,0,69.2322,69.2322,1,0,PASS
pusch_impact_20260726T140352Z,F08-E007,invalid_mcs,624,0,7488,0.076923,1,1,1,1,0.015353,-300,0,74.2812,74.2812,1,0,PASS
pusch_impact_20260726T140352Z,F08-E008,invalid_harq,624,0,7488,0.076923,1,1,1,1,0.014892,-300,0,61.8713,61.8713,1,0,PASS
pusch_impact_20260726T140352Z,F08-E009,stale_srs,624,0,7488,0.076923,1,1,1,1,0.0014822,-300,0,65.7408,65.7408,1,0,PASS
pusch_impact_20260726T140352Z,F08-E010,invalid_tpmi,624,0,7488,0.076923,1,1,1,1,0.00041401,-300,0,62.9705,62.9705,1,0,PASS
pusch_impact_20260726T140352Z,F08-E011,ul_symbol_unavailable,624,0,7488,0.076923,1,1,1,1,0.0029431,-300,0,65.4097,65.4097,1,0,PASS
pusch_impact_20260726T140352Z,F08-E012,resource_collision,624,0,7488,0.076923,1,1,1,1,0.0024571,-300,0,63.3004,63.3004,1,0,PASS
pusch_impact_20260726T140352Z,F09-E001,periodic_low_dynamic,624,0,7488,0.076923,1,1,1,1,0.0091998,-300,0,60.434,60.434,1,0,PASS
pusch_impact_20260726T140352Z,F09-E002,periodic_low_cg_type1,624,0,7488,0.076923,1,1,1,1,0.013631,-300,0,69.4065,69.4065,1,0,PASS
pusch_impact_20260726T140352Z,F09-E003,periodic_low_cg_type2,624,0,7488,0.076923,1,1,1,1,0.024161,-300,0,69.4463,69.4463,1,0,PASS
pusch_impact_20260726T140352Z,F09-E004,periodic_high_dynamic,624,0,7488,0.076923,1,1,1,1,0.0016901,-300,0,61.9308,61.9308,1,0,PASS
pusch_impact_20260726T140352Z,F09-E005,periodic_high_cg_type1,624,0,7488,0.076923,1,1,1,1,0.008026,-300,0,58.9704,58.9704,1,0,PASS
pusch_impact_20260726T140352Z,F09-E006,periodic_high_cg_type2,624,0,7488,0.076923,1,1,1,1,0.0013322,-300,0,61.083,61.083,1,0,PASS
pusch_impact_20260726T140352Z,F09-E007,bursty_dynamic,624,0,7488,0.076923,1,1,1,1,0.0056167,-300,0,61.2872,61.2872,1,0,PASS
pusch_impact_20260726T140352Z,F09-E008,bursty_cg_type1,624,0,7488,0.076923,1,1,1,1,0.031833,-300,0,76.1426,76.1426,1,0,PASS
